SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net															
#duplication of the line for adding the bonus not written n the articles but present in the original template in  rsrd_template.lst																	
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE						
5	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=5|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Coffin Sanctuary ~ Vampire|Childrren of the Night (Lesser) ~ Vampire|Damage Reduction ~ Vampire|Vulnerability (Lesser) ~ Vampire			BONUS:STAT|WIS|2	BONUS:VAR|GaseousFormPerDay|2	BONUS:VAR|VampireDamageReduction|5								
6	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=6|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Fast Healing (Lesser) ~ Vampire			BONUS:STAT|STR|2	BONUS:STAT|INT|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:VAR|FastHealing|1|TYPE=Racial							
7	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=7|-1|PRERACE:1,RACESUBTYPE=Human	PREALIGN:LE,NE,CE	ABILITY:Special Ability|AUTOMATIC|Dominate ~ VAMPIRE TEMPLATE|Gaseous Form ~ VAMPIRE TEMPLATE|Children of the Night ~ VAMPIRE TEMPLATE|Vampire Weaknesses ~ VAMPIRE TEMPLATE|Energy Drain (Lesser) ~ Vampire|Undeath ~ Vampire|Create Spawn (Lesser) ~ Vampire			BONUS:STAT|DEX|2										
8	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=8|-1|PRERACE:1,RACESUBTYPE=Human	PREALIGN:LE,NE,CE	ABILITY:Special Ability|AUTOMATIC|Energy Drain ~ VAMPIRE TEMPLATE|Create Spawn ~ VAMPIRE TEMPLATE|Turn Resistance ~ VAMPIRE TEMPLATE|Turn Resistance			BONUS:STAT|CHA|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:VAR|VampireDamageReduction|5	BONUS:VAR|FastHealing|5|TYPE=Racial	BONUS:VAR|TurnResistBonus|4						
																	
# Class Name																	
CLASS:Half Dragon		TYPE:PC.Monster.Template	ABB:HDrg	MAXLEVEL:3	SOURCEPAGE:SP												
CLASS:Half Dragon	!PREMULT:2,[PRETEMPLATE:1,Undead],[PRETEMPLATE:1,Incorporeal]																
CLASS:Half Dragon	STARTSKILLPTS:0																
SUBCLASS:Half Dragon (Black)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Acid			BONUS:VAR|AcidResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Acid ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Acid													
SUBCLASS:Half Dragon (Blue)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity			BONUS:VAR|ElectricityResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Electricity ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity													
SUBCLASS:Half Dragon (Brass)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Fire			BONUS:VAR|FireResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Fire ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Fire													
SUBCLASS:Half Dragon (Bronze)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity			BONUS:VAR|ElectricityResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Electricity ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity													
SUBCLASS:Half Dragon (Copper)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Acid			BONUS:VAR|AcidResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Acid ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Acid													
SUBCLASS:Half Dragon (Gold)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Fire			BONUS:VAR|FireResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Fire ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Fire													
SUBCLASS:Half Dragon (Green)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Acid			BONUS:VAR|AcidResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Acid ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Acid													
SUBCLASS:Half Dragon (Red)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Fire			BONUS:VAR|FireResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Fire ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Fire													
SUBCLASS:Half Dragon (Silver)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Cold			BONUS:VAR|ColdResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Cold ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Cold													
SUBCLASS:Half Dragon (White)																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance To Cold			BONUS:VAR|ColdResistanceBonus|HalfDragonResistances										
SUBCLASSLEVEL:2				ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Cold ~ Half Dragon													
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Immunity To Cold													
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Dragon;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	HITDIE:%up1|CLASS.TYPE=Monster	ABILITY:Special Ability|AUTOMATIC|Resistances (Lesser) ~ Half Dragon|Darkvision ~ Half Dragon|Low-Light Vision ~ Half Dragon			BONUS:STAT|STR|2	BONUS:STAT|INT|2	BONUS:VAR|HalfDragonResistances|10	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK							
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Dragon;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis		TEMPLATE:CHOOSE:Bite ~ Claw (Fine)|Bite ~ Claw (Diminutive)|Bite ~ Claw (Tiny)|Bite ~ Claw (Small)|Bite ~ Claw (Medium)|Bite ~ Claw (Large)|Bite ~ Claw (Huge)|Bite ~ Claw (Gargantuan)|Bite ~ Claw (Colossal)	BONUS:STAT|STR|2	BONUS:STAT|CON|2	BONUS:VAR|HalfDragonResistances|10	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	BONUS:VAR|HalfDragonBreathDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDice|3					
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Dragon;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Dragonize ~ Half Dragon		TEMPLATE:CHOOSE:Half Dragon Wings ~ Normal|Half Dragon Wings ~ Fast	BONUS:STAT|STR|4	BONUS:STAT|CHA|2		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK		BONUS:VAR|BreathWeaponDice|3					
																	
CLASS:Half Fiend		TYPE:PC.Monster.Template	ABB:HFnd	MAXLEVEL:4	SOURCEPAGE:SP												
CLASS:Half Fiend	!PREMULT:2,[PRETEMPLATE:1|Undead],[PRETEMPLATE:1,Incorporeal]	!PRETEMPLATE:1,Half Fiend	PRESTAT:1,INT=4	PREALIGN:LE,NE,CE													
CLASS:Half Fiend	STARTSKILLPTS:0				DEFINE:SpellLikeCasterLVL|0	DEFINE:HalfFiendLVL|0	DEFINE:HalfFiendClassLVL|0										
1							BONUS:VAR|SpellLikeCasterLVL|TL-CL	BONUS:VAR|HalfFiendLVL|CL	BONUS:VAR|HalfFiendClassLVL|TL-CL								
#																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Darkvision ~ Half Fiend|Spell-Like Abilities ~ Half Fiend	TEMPLATE:Assign Race Type ~ Outsider	TEMPLATE:CHOOSE:Claw (Fine)|Claw (Diminutive)|Claw (Tiny)|Claw (Small)|Claw (Medium)|Claw (Large)|Claw (Huge)|Claw (Gargantuan)|Claw (Colossal)	BONUS:STAT|DEX|2	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK									
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Resistances ~ Half Fiend|Spell Resistance ~ Half Fiend		TEMPLATE:CHOOSE:Bite (Fine)|Bite (Diminutive)|Bite (Tiny)|Bite (Small)|Bite (Medium)|Bite (Large)|Bite (Huge)|Bite (Gargantuan)|Bite (Colossal)	BONUS:VAR|HalfFiendResistances|5	BONUS:VAR|HalfFiendSpellResistance|min(TL-CL,25)|TYPE=Racial									
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Damage Reduction ~ Half Fiend|Smite Good|Smite Good ~ Half Fiend			BONUS:VAR|HalfFiendResistances|5	BONUS:VAR|HalfFiendDamageReduction|5	BONUS:VAR|HalfFiendDamageReduction|5|PREVARGTEQ:HalfFiendClassLVL,12								
4	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=4|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Bat Wings				BONUS:VAR|HalfFiendSpellResistance|min(TL-CL+10,35)|TYPE=Racial									
																	
CLASS:Lich		TYPE:PC.Monster.Template	ABB:Lch	MAXLEVEL:4	SOURCEPAGE:SP												
CLASS:Lich	!PRETEMPLATE:1|Lich	PRERACE:1,RACETYPE=Humanoid	PREFEAT:1,Craft Wondrous Item	PRETEXT:Must have a caster level 11.													
CLASS:Lich	STARTSKILLPTS:0									DEFINE:LichAbilityDC|0	DEFINE:VAR|LichLVL|0	DEFINE:VAR|LichClassLVL|0					
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Lich;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Resistances ~ Lich|Skills ~ Lich|Touch Attack (Lesser) ~ Lich|Paralyzing Touch (Lesser) ~ Lich			BONUS:STAT|INT|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	BONUS:VAR|LichResistances|5	BONUS:VAR|LichSkills|2	BONUS:VAR|LichAbilityDC|10+(LichClassLVL/2)+CHA	BONUS:VAR|LichLVL|CL	BONUS:VAR|LichClassLVL|TL-CL				
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Lich;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Touch Attack ~ Lich|Paralyzing Touch (Medium) ~ Lich|Damage Reduction ~ Lich|Fear Aura|Fortification					BONUS:VAR|LichResistances|5	BONUS:VAR|LichSkills|2	BONUS:VAR|LichDamageReduction|5	BONUS:VAR|FearAuraRadius|10	BONUS:VAR|FearAuraDC|LichAbilityDC	BONUS:VAR|FortificationPower|1			
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Lich;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Paralyzing Touch (Greater) ~ Lich			BONUS:STAT|WIS|2	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	BONUS:VAR|LichResistances|10	BONUS:VAR|LichSkills|2	BONUS:VAR|LichDamageReduction|5	BONUS:VAR|FearAuraRadius|20	BONUS:VAR|FortificationPower|1				
4	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Lich;LEVEL=4|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Paralyzing Touch ~ Lich Template|Turn Resistance|Immunity To Cold|Immunity To Electricity|Immunity To Polymorph		TEMPLATE:Undeath ~ Lich	BONUS:STAT|CHA|2	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	BONUS:VAR|TurnResistBonus|4	BONUS:VAR|LichSkills|2	BONUS:VAR|LichDamageReduction|5	BONUS:VAR|FearAuraRadius|30					
																	
CLASS:Ghost		TYPE:PC.Monster.Template	ABB:Gho	MAXLEVEL:5	SOURCEPAGE:SP												
CLASS:Ghost	!PRETEMPLATE:1|Ghost	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Plant	PRESTAT:1,CHA=6														
CLASS:Ghost	STARTSKILLPTS:0							DEFINE:GhostAbilityDC|0									
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Ghost;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Alertness|Dodge	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Skills ~ Ghost|Manifestation	TEMPLATE:Assign Subtype ~ Incorporeal|Undeath ~ Ghost		BONUS:VAR|Maneuverability|5	BONUS:VAR|GhostSkill|2	BONUS:VAR|GhostAbilityDC|10+(TL-CL)/2+CHA								
2				ABILITY:Special Ability|AUTOMATIC|Turn Resistance			BONUS:STAT|CHA|2	BONUS:VAR|TurnResistBonus|2	BONUS:ABILITYPOOL|Ghost Class Ability Lesser|1								
3				ABILITY:Special Ability|AUTOMATIC|Rejuvenation				BONUS:VAR|GhostSkill|2									
4							BONUS:STAT|CHA|2	BONUS:VAR|GhostSkill|2	BONUS:VAR|TurnResistBonus|2	BONUS:ABILITYPOOL|Ghost Class Ability Major|1							
5								BONUS:VAR|GhostSkill|2									
																	
CLASS:Half Fey		TYPE:PC.Monster.Template	ABB:HFey	MAXLEVEL:2	SOURCEPAGE:SP												
CLASS:Half Fey	!PRETEMPLATE:1,Incorporeal	!PRETEMPLATE:1,Half Fiend	PRESTAT:1,INT=4	PREALIGN:LE,NE,CE													
CLASS:Half Fey	STARTSKILLPTS:0				DEFINE:SpellLikeCasterLVL|0	DEFINE:HalfFeyLVL|0	DEFINE:HalfFeyClassLVL|0										
1							BONUS:VAR|SpellLikeCasterLVL|TL-CL	BONUS:VAR|HalfFiendLVL|CL	BONUS:VAR|HalfFiendClassLVL|TL-CL								
#																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Darkvision ~ Half Fiend|Spell-Like Abilities ~ Half Fiend	TEMPLATE:Assign Race Type ~ Outsider	TEMPLATE:CHOOSE:Claw (Fine)|Claw (Diminutive)|Claw (Tiny)|Claw (Small)|Claw (Medium)|Claw (Large)|Claw (Huge)|Claw (Gargantuan)|Claw (Colossal)	BONUS:STAT|DEX|2	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK									
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Resistances ~ Half Fiend|Spell Resistance ~ Half Fiend		TEMPLATE:CHOOSE:Bite (Fine)|Bite (Diminutive)|Bite (Tiny)|Bite (Small)|Bite (Medium)|Bite (Large)|Bite (Huge)|Bite (Gargantuan)|Bite (Colossal)	BONUS:VAR|HalfFiendResistances|5	BONUS:VAR|HalfFiendSpellResistance|min(TL-CL,25)|TYPE=Racial									
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Damage Reduction ~ Half Fiend|Smite Good|Smite Good ~ Half Fiend			BONUS:VAR|HalfFiendResistances|5	BONUS:VAR|HalfFiendDamageReduction|5	BONUS:VAR|HalfFiendDamageReduction|5|PREVARGTEQ:HalfFiendClassLVL,12								
4	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Half Fiend;LEVEL=4|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Bat Wings				BONUS:VAR|HalfFiendSpellResistance|min(TL-CL+10,35)|TYPE=Racial									
																	
CLASS:Wererat		TYPE:PC.Monster.Template.Lycanthrope	ABB:LWRat	MAXLEVEL:3	SOURCEPAGE:SP												
CLASS:Wererat	!PRETEMPLATE:1|Wererat|Lycanthrope	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Giant															
CLASS:Wererat	STARTSKILLPTS:0							DEFINE:NoTypeTraits|1									
SUBCLASS:Wererat ~ Natural Lycanthrope																	
SUBCLASSLEVEL:1						TEMPLATE:Natural Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
SUBCLASSLEVEL:3							BONUS:VAR|WereratDamageReduction|5										
SUBCLASS:Wererat ~ Afflicted Lycanthrope																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Control Shape ~ Lycanthrope		TEMPLATE:Afflicted Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Wererat;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Alertness	ABILITY:Special Ability|AUTOMATIC|Alternate Form Dire Rat ~ Wererat|Low-Light Vision ~ Wererat	ABILITY:Special Ability|VIRTUAL|Disease|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)	TEMPLATE:Assign Subtype ~ Shapechanger	BONUS:STAT|WIS|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								
1				ABILITY:Special Ability|AUTOMATIC|Skills ~ Dire Rat			BONUS:MOVEADD|TYPE.Climb|-10|PRETEMPLATE:1,Lycanthrope (Animal Form)	BONUS:SKILL|Swim|8|TYPE=Racial	BONUS:SKILL|Climb,Swim|DEX-STR|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Wererat;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Iron Will|Weapon Finesse	ABILITY:Special Ability|AUTOMATIC|Damage Reduction ~ Wererat|Rat Empathy|Alternate Form Hybrid ~ Wererat			BONUS:VAR|WereratDamageReduction|5										
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Wererat;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human	PRECLASS:1,Wererat ~ Natural Lycanthrope														
CLASS:Dire Rat Lycanthrope	HD:8	TYPE:PC.Monster	ABB:LDRat	MAXLEVEL:1	SOURCEPAGE:SP	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE								
CLASS:Dire Rat Lycanthrope	PRECLASS:1,Wererat																
CLASS:Dire Rat Lycanthrope	STARTSKILLPTS:2	CSKILL:Control Shape|Hide|Listen|Move Silently|Spot|Swim									DEFINE:AnimalCon|0	DEFINE:AnimalDex|0	DEFINE:AnimalAC|0	DEFINE:AnimalMove|40	DEFINE:AnimalHD|0	DEFINE:AnimalSize|0	
1				ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|VIRTUAL|Bite ~ Wererat|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)						BONUS:VAR|AnimalCon|2	BONUS:VAR|AnimalDex|6	BONUS:VAR|AnimalAC|1		BONUS:VAR|AnimalHD|1	BONUS:VAR|AnimalSize|3|TYPE=Racial	
1				ABILITY:Special Ability|VIRTUAL|Disease|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)			BONUS:MOVEADD|TYPE.Climb|-10|PRETEMPLATE:1,Lycanthrope (Animal Form)	BONUS:SKILL|Climb,Swim|DEX-STR|PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)									
																	
CLASS:Wereboar		TYPE:PC.Monster.Template.Lycanthrope	ABB:LWBoar	MAXLEVEL:3	SOURCEPAGE:SP												
CLASS:Wereboar	!PRETEMPLATE:1|Wereboar|Lycanthrope	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Giant															
CLASS:Wereboar	STARTSKILLPTS:0							DEFINE:NoTypeTraits|1									
SUBCLASS:Wereboar ~ Natural Lycanthrope																	
SUBCLASSLEVEL:1						TEMPLATE:Natural Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
SUBCLASSLEVEL:3							BONUS:VAR|WereboarDamageReduction|5										
SUBCLASS:Wereboar ~ Afflicted Lycanthrope																	
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Control Shape ~ Lycanthrope		TEMPLATE:Afflicted Lycanthrope ~ Template Class											
SUBCLASSLEVEL:2																	
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Wereboar;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Alertness	ABILITY:Special Ability|AUTOMATIC|Alternate Form Boar ~ Wereboar|Low-Light Vision ~ Wereboar		TEMPLATE:Assign Subtype ~ Shapechanger	BONUS:STAT|WIS|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)								
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Wereboar;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Iron Will|Toughness	ABILITY:Special Ability|AUTOMATIC|Alternate Form Hybrid ~ Wereboar|Boar Empathy|Damage Reduction ~ Wereboar			BONUS:VAR|WereboarDamageReduction|5										
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Wereboar;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human	PRECLASS:1,Wereboar ~ Natural Lycanthrope														
