SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																								
																										
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier		Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus
Paeliryon Fingernail	OUTPUTNAME:Fingernail	PROFICIENCY:WEAPON|Paeliryon Fingernail		TYPE:Weapon.Natural.Melee.Reach.Piercing.Slashing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:H	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x2				REACH:30			SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Baatezu (Paeliryon)					
Disenchanter Tongue	OUTPUTNAME:Tongue	PROFICIENCY:WEAPON|Disenchanter Tongue		TYPE:Weapon.Natural.Melee.Reach.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:H	DAMAGE:0	CRITRANGE:1	CRITMULT:x2				REACH:15			SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Disenchanter					
																										
# Natural Ranged Weapon																										
Throath Dart		PROFICIENCY:WEAPON|Throath Dart		TYPE:Weapon.Natural.Ranged.Finesseable.Thrown.Piercing.Poison	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2					RANGE:150	SPROP:poison	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Astral Stalker					
Spit Fire		PROFICIENCY:WEAPON|Spit Fire		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch.Fire	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x2					RANGE:20	SPROP:1d4 fire also to creatures within 5-ft	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Dracotaur					
Exploding Nodule		PROFICIENCY:WEAPON|Exploding Nodule		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch.Fire	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:H	DAMAGE:5d6	CRITRANGE:1	CRITMULT:x2					RANGE:10	SPROP:5d6 fire also to creatures within 10-ft	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Giant (Geriviar)					
Harpoon Spider Fang	OUTPUTNAME:Fang	PROFICIENCY:WEAPON|Harpoon Spider Fang		TYPE:Weapon.Natural.Ranged.Finesseable.Thrown.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2					RANGE:20	SPROP:Harpooning. No further range increment.	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Harpoon Spider					
Vile Spew		PROFICIENCY:WEAPON|Vile Spew		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:100	SPROP:See text	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Runehound					
Splinterspit		PROFICIENCY:WEAPON|Splinterspit		TYPE:Weapon.Natural.Ranged.Finesseable.Thrown.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2					RANGE:30	SPROP:See text	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Splinterwaif					
Spark Stream		PROFICIENCY:WEAPON|Spark Stream		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x2					RANGE:30	SPROP:See text	SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Zezir					
Poison Spray		PROFICIENCY:WEAPON|Poison Spray		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch.Poison	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:30	SPROP:Poison	SOURCEPAGE:BoVD	MODS:NO	PRERACE:1,Kython (Slaughterking)					
Spittle		PROFICIENCY:WEAPON|Spittle		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch.Acid	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2					RANGE:30	SPROP:Fortitude DC 18 or Blindness	SOURCEPAGE:LoM	MODS:NO	PRERACE:1,Gibbering Mouther (LoM)					
Bonespear Horn		PROFICIENCY:WEAPON|Bonespear Horn		TYPE:Weapon.Natural.Ranged.Finesseable.Thrown.Piercing.Poison	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x2					RANGE:60	SPROP:No further range increment.	SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Bonespear					
Flame Snake Magma Spit	OUTPUTNAME:Magma Spit	PROFICIENCY:WEAPON|Flame Snake Magma Spit		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch.Fire	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:3d6	CRITRANGE:1	CRITMULT:x2					RANGE:30	SPROP:Reflex DC 16 or catch fire.	SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Flame Snake (Lesser)
Winged Warrior Spike		PROFICIENCY:WEAPON|Winged Warrior Spike		TYPE:Weapon.Natural.Ranged.Finesseable.Thrown.Piercing.Poison	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2					RANGE:90	SPROP:poison	SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Astral Stalker					
