#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
CATEGORY=Special Ability|Breath Weapon ~ Cone of Slow.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Weakening Gas.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Line of Acid.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Line of Fire.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Line of Lightning.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Prismatic Spray.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Distraction.MOD	DESC:Fort DC %1|10+(HD/2)+CON																																									
CATEGORY=Special Ability|Explosion.MOD	DESC:Ref DC %1 half|ExplosionDC	DEFINE:ExplosionDC|10+(HD/2)+CON																																								
CATEGORY=Special Ability|Immunity To Ability Damage.MOD	SERVESAS:ABILITY=Special Ability|Immunity To Strength Damage|Immunity To Dexterity Damage|Immunity To Constitution Damage|Immunity To Intelligence Damage|Immunity To Wisdom Damage|Immunity To Charisma Damage																																									
CATEGORY=Special Ability|Immunity To Ability Drain.MOD	SERVESAS:ABILITY=Special Ability|Immunity To Strength Drain|Immunity To Dexterity Drain|Immunity To Constitution Drain|Immunity To Intelligence Drain|Immunity To Wisdom Drain|Immunity To Charisma Drain																																									
CATEGORY=Special Ability|Ki Strike.MOD	DEFINE:KiStrikeHoly|0	DEFINE:KiStrikeColdIron|0		DESC:Magic and Lawful and Cold Iron|PREVARGTEQ:KiStrikeMagic,1,KiStrikeLawful,1,KiStrikeColdIron,1																																						
CATEGORY=Special Ability|Misty Breath.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Regeneration.MOD	DESC:%1|RegenerationRate																																									
CATEGORY=Special Ability|Sneak Attack.MOD	SERVESAS:ABILITY=Special Ability|Sudden Strike																																									
CATEGORY=Special Ability|Summon Mount.MOD	COMPANIONLIST:Special Mount|Dragonnel,Sea Tiger|FOLLOWERADJUSTMENT:-4|PRECLASS:1,Paladin=9	COMPANIONLIST:Special Mount|Felldrake (Spiked)|FOLLOWERADJUSTMENT:-6|PRECLASS:1,Paladin=11	COMPANIONLIST:Special Mount|Megaloceros|PRECLASS:1,Knight of the Iron Glacier=1																																							
CATEGORY=Special Ability|Svirfneblin Gnome Nondetection.MOD	SERVESAS:ABILITY=Special Ability|Nondetection																																									
																																										
# Racial Ability Name	CATEGORY	TYPE	VISIBLE	SAB:			DEFINE				BONUS				STACK	MULT	CHOOSE	SELECT																								
Abishai Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES								BONUS:VAR|AcidResistanceBonus|10	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|RegenerationRate|HD	BONUS:VAR|TelepathyRange|100					ABILITY:Special Ability|AUTOMATIC|Summon Baatezu ~ Abishai|Immunity To Fire|Immunity To Poison|Resistance To Cold|Resistance To Acid|Regeneration|See In Darkness|Telepathy|Vulnerability To Holy Water	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Animate Dead|Disguise Self|Charm Person|Command|Desecrate|Detect Alignment|Major Image|Suggestion|Scare												SOURCEPAGE:Mon										
Abomination Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:Abomination do not eat/sleep/breathe. Immune to critical hits, they cannot be flanked,  and they never suffer sneak attack damage. Immune to disease, poison, stunning and sleep effects,  and death effects.							BONUS:ABILITYPOOL|Abomination Strenght|2	BONUS:ABILITYPOOL|Abomination Weakness|2							ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting	ABILITY:Special Ability|AUTOMATIC|Immunity To Fear	ABILITY:Special Ability|AUTOMATIC|Immunity To Enchantment											SOURCEPAGE:DD										
Alkilith Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:half damage from bludgeoning wepons.																												SOURCEPAGE:FFo										
Aoa Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:FireResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:ElectricityResistanceBonus|20	BONUS:SKILL|Hide|-6|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Dispelling Touch|Reflective Spell Resistance|Immunity To Gaze|Resistance To Fire|Resistance To Cold|Resistance To Electricity|Resistance To Sonic	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Detect Magic,10+CHA	DEFINE:SonicResistanceBonus|20											SOURCEPAGE:FFo										
Baatezu Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:MM										
Canomorph Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																ABILITY:Special Ability|AUTOMATIC|Change Shape|Command Fiendish Hound|Scent													SOURCEPAGE:FFo										
CATEGORY=Special Ability|Archon Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Resistance to Poison	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial																																								
Changeling Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:Nep										
Crossroads Guardian Qualities	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:Guardians must stay within 50 feet of the crossroads they protects.	VISION:Darkvision (60')	ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects	ABILITY:Special Ability|AUTOMATIC|Immunity To Critical Hits|Immunity To Non-lethal Damage|Immunity To Ability Drain																									SOURCEPAGE:MoF										
Dark One Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:ShadowCloakPerDay|3											ABILITY:Special Ability|AUTOMATIC|Shadow Cloak|Sneak Attack|Light Sensitivity|Dark One Skills													SOURCEPAGE:FFo										
Deathless Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:Deathless do not eat/sleep/breathe. Immune to damage to STR/DEX/CON as well as to fatigue and exhaustion effects. Immune to any effect that requires a Fortitude save (unless it works on objects or is harmless). Not at risk from death from massive damage (but destroyed when reduced to 0 hp).																												SOURCEPAGE:MM										
Demodand Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																ABILITY:Special Ability|AUTOMATIC|Freedom of Movement (Sp always active)|Immunity To Poison													SOURCEPAGE:FFo										
Deva Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Immunity To Electricity|Protective Aura													SOURCEPAGE:FFo										
Eladrin Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																AUTO:EQUIP|Energon Energy Ray	ABILITY:Special Ability|AUTOMATIC|Explosion												SOURCEPAGE:MM										
Energon Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:MM										
Ethergaunt Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:EthergauntLanguage|1											ABILITY:Special Ability|AUTOMATIC|Enslave|Stupefying Gaze|Immunity To Arcane Spells|Material Jaunt|Total Vision													SOURCEPAGE:FFo										
Fensir Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																ABILITY:Special Ability|AUTOMATIC|Rock Throwing|Rock Catching|Vulnerability To Sunlight	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Transmute Mud to Rock,15+CHA|Transmute Rock to Mud,15+CHA												SOURCEPAGE:Fro										
Flame Snake Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES								BONUS:SKILL|Climb|8|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Heat|Scent|Flame Snake Skills													SOURCEPAGE:FFo										
Formian Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:FireResistanceBonus|20	DEFINE:ElectricityResistanceBonus|20	DEFINE:SonicResistanceBonus|20									ABILITY:Special Ability|AUTOMATIC|Hive Mind|Immunity To Cold|Immunity To Petrification|Immunity To Poison|Resistance To Fire|Resistance To Electricity|Resistance To Sonic													SOURCEPAGE:FFo										
Guardinal Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:+4 racial bonus on saving throws against poison.																												SOURCEPAGE:MM										
Kython Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:Nep										
Living Construct Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:Living Construct do not eat/sleep/breathe but benefit from the effect of consumable spells and magic item.. Living Constructs are Immune to poison/ sleep effects/ paralysis/ disease/ nausea/ fatigue/ exhaustion/ and necromancy effects.																												SOURCEPAGE:MM										
Nerra Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																ABILITY:Special Ability|AUTOMATIC|Mirror Jump|Reflective Spell Resistance|Immunity To Gaze|Vulnerability To Sonic													SOURCEPAGE:FFo										
Piaga Funesta Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:MM3										
Rilmani Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:AcidResistanceBonus|20	DEFINE:SonicResistanceBonus|20	DEFINE:RilmaniCasterLVL|0									ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Poison|Resistance To Acid|Resistance To Sonic|Change Shape	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=RilmaniCasterLVL|Comprehend Languages|Detect Chaos|Detect Evil|Detect Good|Detect Law|Detect Magic|Detect Thoughts,12+CHA|Feather Fall,11+CHA|Sanctuary|Tongues												SOURCEPAGE:FFo										
Sarkrith Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:MaskScentPerDay|1											ABILITY:Special Ability|AUTOMATIC|Mask Scent|Scent													SOURCEPAGE:FFo										
Tanar'ri Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:MM3										
Throat Dart	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:UNLOCK.CON																								SOURCEPAGE:MM3										
Varrangoin Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES					DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10	DEFINE:FireResistanceBonus|10								ABILITY:Special Ability|AUTOMATIC|Vulnerability to Sunlight|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance To Fire													SOURCEPAGE:FFo										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
#	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES																													SOURCEPAGE:										
																																										
# Skills ability																																										
Artisan Master Skills	CATEGORY:Special Ability	TYPE:ArtisanMasterSkills	VISIBLE:DISPLAY	STACK:NO	MULT:YES	CHOOSE:NOCHOICE	ADD:FEAT|Skill Focus																																			
### class																																										
### races																																										
Aasimar Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 racial bonus on Listen and Spot checks.																												SOURCEPAGE:FRCS										
Ahuizotl Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered.																												SOURCEPAGE:MM3										
Air Drake Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when airborne in temperate or warm desert environments..																												SOURCEPAGE:Drac										
Arctic Fox Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide check when while in snow, ice or tundra areas.																												SOURCEPAGE:Fro										
Arctic Penguin Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:Fro										
Arctic Sea Otter Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:Fro										
Arctic Seal Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:Fro										
Arctic Walrus Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:Fro										
Artisan Skill Level	CATEGORY:Special Ability	TYPE:SkillLevel	VISIBLE:NO				DEFINE:ArtisanSkillLVL|0				BONUS:VAR|SkillLVL|ArtisanSkillLVL																					SOURCEPAGE:DD										
Ash Rat Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:In smoky or fog areas, an Ash rat gains a +8 bonus on Hide checks.																												SOURCEPAGE:MM2										
Avalancher Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in rocky or montanious terrain. It can always take 10 on a Climb check even if rushed or threatened.																												SOURCEPAGE:MM3										
Axebeak Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any Spot check during daylight.																												SOURCEPAGE:AaEG										
Axebeak Speed	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Axebeak run at five times the speed instead of four.																												SOURCEPAGE:AaEG										
Bariaur Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 racial bonus on Will saves against spells and spell-like abilities.																												SOURCEPAGE:EXD										
Base Skill Level	CATEGORY:Special Ability	TYPE:SkillLevel.SkillLevelBase.SpecialQuality	VISIBLE:YES	DESC:Skill Level %1|SkillLVL	DESC:Apprentice|PREVARLTEQ:SkillLVL,4	DESC:Journeyman|PREMULT:2,[PREVARGTEQ:SkillLVL,5],[PREVARLTEQ:SkillLVL,11]	DESC:Master|PREMULT:2,[PREVARGTEQ:SkillLVL,12],[PREVARLTEQ:SkillLVL,15]	DESC:Grand Master|PREVARGTEQ:SkillLVL,16	DESC:Helpers %1|(SkillLVL-4)|PREVARGTEQ:SkillLVL,5	DEFINE:SkillLVL|0																						SOURCEPAGE:DD										
Battlebriar Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in aboveground natural environment, despite the size.																												SOURCEPAGE:MM3										
Beast of Malar Panther Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+12 racial bonus to Hide checks made in areas of tall grass or heavy undergrowth.																												SOURCEPAGE:Mon										
Blackstone Gigant Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Blood Hawk Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Spot checks during daylight.																												SOURCEPAGE:FFo										
Bloodstriker Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 Racial bonus on Hide checks when in they burrow underground to hide.																												SOURCEPAGE:MM3										
Bog Giant Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered. +8 racial bonus on Hide checks in swamp areas.																												SOURCEPAGE:FFo										
Brass Golem Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+20 competence bonus on Wilderness Lore checks for the purpose of tracking a foe designated by its creator or in connection with any other goal set by its creator.																												SOURCEPAGE:MM2										
Bullywug Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+6 racial bonus to Hide checks when in marshes.																												SOURCEPAGE:Mon										
Cave Troll Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 Racial bonus on Survival checks when traking by scent.																												SOURCEPAGE:MM3										
Chaos Roc Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A creature that is flung by a chaos roc after being snatched travels 100 feet and takes 10d6 points of damage.																												SOURCEPAGE:MM2										
Chelicera Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:MM3										
Cildabrin Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:LoM										
Cloud Ray Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A creature that is flung by a cloud ray after being snatched travels 100 feet and takes 10d6 points of damage.																												SOURCEPAGE:MM2										
Corpse Tearer Linnorm Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A creature that is flung by a corpse tearer linnorm after being snatched travels 110 feet and takes 11d6 points of damage.																												SOURCEPAGE:MM2										
Crawling Head Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Crimson Death Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A crimson death's misty form makes it difficult to spot in fog. Before feeding the creature receive a +8 bonus on Hide checks in smokey and foggy areas. After it has fed the bonus drops to +4 because of its red coloration.																												SOURCEPAGE:MM2										
Cuprilach Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Dark One Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks when in shadowy areas. +4 racial bonus on Move Silently checks when in shadowy areas.																												SOURCEPAGE:FFo										
Darkweaver Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Desert Landwyrm Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in temperate or warm desert. This bonus on Hide checks increases to +8 when immobile.																												SOURCEPAGE:Drac										
Desmodu Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on saves against sonic effects																												SOURCEPAGE:MM2										
Dire Polar Bear Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. +12 racial bonus on Hide checks when in snowy areas. 																												SOURCEPAGE:Fro										
Dodge Giant (Lesser)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+1 Dodge bonus to Armor Class against monsters																												SOURCEPAGE:PGtF										
Dragon Eel Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:MM3										
Dread Blosson Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+10 Racial bonus on Hide checks when in forested area.																												SOURCEPAGE:MM3										
Dread Linnorm Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A creature that is flung by a dread linnorm after being snatched travels 120 feet and takes 12d6 points of damage.																												SOURCEPAGE:MM2										
Drowned Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:MM3										
Dwarf Attacks (Giant)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+1 racial bonus on attack rolls against giants.																												SOURCEPAGE:FRCS										
Dwarf Hide	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 racial bonus on Hide checks.																												SOURCEPAGE:PGtF										
Dwarf Senses	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+1 racial bonus on Listen and Spot checks.																												SOURCEPAGE:FRCS										
Dwarf Silence	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 racial bonus on Move Silently checks.																												SOURCEPAGE:FRCS										
Earth Drake Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:additional +4 racial bonus on Hide checks when in rocky environments.																												SOURCEPAGE:Drac										
Elemental Weird Ice Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard.																												SOURCEPAGE:Fro										
Elf Coral Low Light Vision	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Coral Elves see four times as far as a human in condition of dim light.																												SOURCEPAGE:Ssh										
Elf Kelp Low Light Vision	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Kelp Elves see five times as far as a human in condition of dim light.																												SOURCEPAGE:Ssh										
Elsewhale Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check. +4 racial bonus on Spot and Listen checks until can see using Blindsight.																												SOURCEPAGE:PH										
Embrac Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 Racial bonus on Hide checks when in underground or rocky areas due to its coloration.																												SOURCEPAGE:MM3										
Ethereal Dragon Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks when on the Ethereal Plane.																												SOURCEPAGE:Drac										
