SOURCELONG:DandD Wiki	SOURCESHORT:ddw	SOURCEWEB:http://www.dandwiki.com																																												
																																														
# BASICS																																														
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Intuit	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your Wisdom score begins 1 higher and you gain a +1 bonus to all Wis-based skill checks.																	SOURCEPAGE:ddw	BONUS:SKILL|STAT.WIS|1	BONUS:STAT|WIS|1			
Knowledgeable	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your Intelligence score begins 1 higher and you gain a +1 bonus to all Int-based skill checks.																	SOURCEPAGE:ddw	BONUS:SKILL|STAT.INT|1	BONUS:STAT|INT|1			
Limit Breaker	TYPE:General	VISIBLE:YES				PREFEAT:1,Diehard					PRELEVEL:MIN=6				PRESTAT:1,CON=13					PRECHECKBASE:1,Fortitude=6				DESC:You suddenly feel an inner strength replacing the weakness you felt only moments earlier. Your movements grow faster, attacks are stronger, and you feel as though you can fight anew. Once per encounter, when your hit points drop below 0, you can choose to take a fortitude save (DC 15+damage dealt) or become unconscious and stable. Success means you are granted temporary hit points for 1 round per character level equal to your Constitution score. You are treated as not being disabled and able to act normally during those rounds. You also gain a +10 ft bonus to movement, a +2 bonus to Strength, and a +1 morale bonus to attack and will saves. Failure of the save means you can act as though disabled. At the end of every one of your turns, you lose 1 temporary hit point. If you lose all of your temporary hit points, the save can't be attempted again and you fall unconscious and do not automatically become stable (overriding Diehard). Either way, after the duration is up, you become exhausted and take an additional 1d6 Str ability damage.																	SOURCEPAGE:ddw					
Linked Resistance	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar														PRETEXT:Famialiar with SR.				DESC:As a standard action when touching your familiar you can share in your familiar's SR until your next action.																	SOURCEPAGE:ddw					
Lycan Heritage	TYPE:General.Shifter	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Shapechanger				DESC:You gain a +3 Fort saving throws against transmutation effects.														BONUS:VAR|LycanHeritageFeats|1			SOURCEPAGE:ddw	DEFINE:EldritchBloodFeats|0				
Lycan Legacy	TYPE:General.Shifter	VISIBLE:YES				PREFEAT:1,Lycan Heritage					PRELEVEL:MIN=9									PRERACE:1,RACESUBTYPE=Shapechanger				DESC:You gain the following spell-like abilities, each usable once per day: Sharptooth (Spell Compendium), Confusion, and Baleful Polymorph. You caster level equals your character level and save DCs are Charisma based.														BONUS:VAR|LycanHeritageFeats|1			SOURCEPAGE:ddw	SPELLS:Lycan Legacy|TIMES=1|CASTERLEVEL=TL|Sharptooth,14+CHA|Confusion,14+CHA|Baleful Polymorph,15+CHA				
Lycan Power	TYPE:General.Shifter	VISIBLE:YES				PREFEAT:1,Lycan Heritage														PRERACE:1,RACESUBTYPE=Shapechanger				DESC:You caster level and save DCs for transmutation spells and warlock invocations increase by 1.										BONUS:DC|SCHOOL.Transmutation|1				BONUS:VAR|LycanHeritageFeats|1			SOURCEPAGE:ddw	BONUS:VAR|InvocationDC|1				
Lycan Presence	TYPE:General.Shifter	VISIBLE:YES				PREFEAT:1,Lycan Heritage					PRELEVEL:MIN=6									PRERACE:1,RACESUBTYPE=Shapechanger				DESC:You gain the following spell-like abilities usable once per day: Moon Lust (Spell Compendium), Rage, Bite of the Werewolf (Spell Compendium). Your caster level equals your character level and save DCs are Charisma based.														BONUS:VAR|LycanHeritageFeats|1			SOURCEPAGE:ddw	SPELLS:Lycan Presence|TIMES=1|CASTERLEVEL=TL|Moon Lust,11+CHA|Rage,13+CHA|Bite of the Werewolf				
Lycan Skin	TYPE:General.Shifter	VISIBLE:YES				PREFEAT:1,Lycan Heritage														PRERACE:1,RACESUBTYPE=Shapechanger				DESC:You gain damage reduction (overcome by silver) equal to 1 + the number of feats you have that list Lycan Heritage as a prerequisite (including such feats that you take after gaining this one). For example, if you have Lycan Skin and Lycan Presence, you would have damage reduction 3/silver. This value stacks with any similar damage reduction you might have from your type, subtype, race, or class, but not from other sources, such as spells or magic items.														BONUS:VAR|LycanHeritageFeats|1			SOURCEPAGE:ddw	DR:Silver/LycanHeritageDR	DEFINE:LycanHeritageDR|0	BONUS:VAR|LycanHeritageDR|1+LycanHeritageFeat		
Master Alchemist	TYPE:General	VISIBLE:YES			PRECLASS:1,SPELLCASTER=5	PREFEAT:1,Great Alchemist	PREFEAT:1,Skill Focus(Craft (Alchemy))																	DESC:Triple the amount of silver pieces every time you make a Craft (alchemy) check to determine how far along you are in crafting alchemy items.																	SOURCEPAGE:ddw					
Master Artisan	TYPE:General	VISIBLE:YES										PRESKILL:1,TYPE.Craft=8												DESC:Select a Craft skill when you learn this feat. When working in a well-equipped workshop (5,000gp value or better), with at least two assistants (who need not be skilled), you can produce craft goods of this type at an increased rate. Calculate production in gold pieces per week, instead of the usual silver pieces per week resulting in a crafting rate ten times faster than normal.	STACK:NO	MULT:YES	CHOOSE:SKILL|RANKS=8[TYPE=Craft]														SOURCEPAGE:ddw	SELECT:1				
Master Battlecaster	TYPE:General	VISIBLE:YES		PREATT:6		PREFEAT:1,Combat Cating						PRESKILL:1,Concentration=8								PRESPELLTYPE:1,ANY=2				DESC:During a full attack action, you may sacrifice a single attack of your highest attack bonus in order to cast a spell with a casting time of one standard action or less. Casting a spell in combat in this manner is difficult and requires a Concentration check (DC 20 + spell level) to do successfully. Casting a spell while threatened by an opponent still triggers an Attack of Opportunity, which may be avoided by casting defensively.																	SOURCEPAGE:ddw					
Mighty Stunner	TYPE:General.Fighter	VISIBLE:YES					PREFEAT:1,Stunning Fist								PRESTAT:1,STR=15									DESC:Your Stunning Fist DC is based on your Strength modifier rather than your Wisdom modifier.																	SOURCEPAGE:ddw	BONUS:VAR|StunningFistDC|STR-WIS				
Natural Alchemist	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your character gains a +1 bonus on all Craft(Alchemy) checks.														BONUS:SKILL|Craft (Alchemy)|1			SOURCEPAGE:ddw					
Ninble	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your Dexterity score begins 1 higher and you gain a +1 bonus to all Dex-based skill checks.																	SOURCEPAGE:ddw	BONUS:SKILL|STAT.DEX|1	BONUS:STAT|DEX|1			
Fiendish Pact	TYPE:Vile	VISIBLE:YES																		PREALIGN:LE,NE,CE				DESC:You gain a +2 profane bonus to Intimidate checks, and a +2 to Diplomacy checks with fiends.														BONUS:SKILL|Intimidate|2|TYPE=Profane			SOURCEPAGE:ddw					
Pact of Envy	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:You deal gain a +3 profane bonus to damage, attack, saves, armor class, and save DC's against any enemy with a Challenge Rating higher than your Effective Character Level. Special: You must kill anyone you meet who qualifies for the above bonus, who's Challenge Rating is no more than 10 higher than your Effective Character Level, and sacrifice them to Zariel.																	SOURCEPAGE:ddw	TEMPBONUS:PC|COMBAT|TOHIT|3|TYPE=Profane	TEMPBONUS:PC|COMBAT|DAMAGE|3|TYPE=Profane	TEMPBONUS:PC|CHECKS|ALL|3|TYPE=Profane	TEMPBONUS:PC|MISC|AC|3|TYPE=Profane	TEMPBONUS:PC|DC|ALLSPELLS|3|TYPE=Profane
Pact of Gluttony	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:The duration and positive effects drugs are multiplied by one and a half. Special: To keep your pact, you must be addicted to at least three drugs and continuously have at least a -1 penalty to Wisdom and Dexterity from drinking (see Arms and Equipment Guide).																	SOURCEPAGE:ddw					
Pact of Greed	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:You gain bonuses to your Armor Class, ability scores, and saving throws, as well as bonus Vile feats, all depending on your character level. Special: To keep this pact, you must sacrifice all of your possessions to Dispater, worth at least your WBL, with the following exceptions: You may carry and use ordinary (neither magic nor masterwork) simple weapons made of iron, a spell component pouch (with no expensive spell components), and simple clothes. You may eat and carry any food you steal.																	SOURCEPAGE:ddw					
Pact of Lust	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:You gain a +4 profane bonus to your save DC's with compulsions. Special: You have sex once a day on average, checked each year. Also, if you abstain for a week, you temporarily lose the benefits of this feat.																	SOURCEPAGE:ddw	BONUS:DC|SUBSCHOOL.Compulsion|4|TYPE=Profane				
Pact of Pride	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:If you succeed in improving someone's attitude, and said improvement is to Friendly or higher, you may immediately make a second check to improve their attitude further. If they become Fanatic from either check, they stay fanatic for twice the time. Special: You must spend 20 gp a day on various absurd vanity products, and spend an extra hour a day applying them.																	SOURCEPAGE:ddw					
Pact of Sloth	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:You gain a +4 profane bonus on Will saving throws against compulsion spells and effects. Special: You must sleep 12 hours per day.																	SOURCEPAGE:ddw	ABILITY:Special Ability|VIRTUAL|Resistance To Compulsion	BONUS:VAR|CompulsionResistanceBonus|4|TYPE=Profane			
Pact of Wrath	TYPE:Vile	VISIBLE:YES				PREFEAT:1,Fiendish Pact														PREALIGN:LE,NE,CE				DESC:You gain a +4 profane bonus to damage for all purposes, and can Rage once per day per Vile feat (as a Barbarian). Special: To keep your pact, you must kill any Good being you come across in the name of Bel. Additionally, you cannot deal nonlethal damage, and cannot end any rages prematurely.																	SOURCEPAGE:ddw	BONUS:COMBAT|DAMAGE|4|TYPE=Profane	ABILITY:Special Ability|VIRTUAL|Rage	BONUS:VAR|RageTimes|count("ABILITIES","CATEGORY=FEAT","TYPE=Vile")		
Skill Training	TYPE:General	VISIBLE:YES				PREFEAT:1,Skill Focus																		DESC:When this feat is taken choose a single skill for which you have the Skill Focus feat. You gain a +1 bonus to any skill checks involving this chosen skill. This bonus stacks with Skill Focus. Special: You may take this feat multiple times. If chosen for the same skill, its effects stack.	STACK:YES	MULT:YES	CHOOSE:SKILL|FEAT=Skill Focus														SOURCEPAGE:ddw	SELECT:1	BONUS:SKILL|%LIST|1			
Skill Mastery	TYPE:General	VISIBLE:YES				PREFEAT:1,Skill Focus																		DESC:You gain an additional +3 bonus on all checks involving this skill. Special: This feat can be taken several times, but does not stack with itself. Each time it is taken, it must be applied to a separate skill. 	STACK:NO	MULT:YES	CHOOSE:SKILL|RANKS=5[FEAT=Skill Focus]														SOURCEPAGE:ddw	SELECT:1	BONUS:SKILL|%LIST|3			
Skill Aptitude	TYPE:General	VISIBLE:YES																						DESC:Choose two nonclass skills. Those skills are now class skills for you.	STACK:NO	MULT:YES	CHOOSE:SKILL|CROSSCLASS														SOURCEPAGE:ddw	SELECT:1	CSKILL:LIST			
Superior Build	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your Constitution score begins 1 higher and you gain a +1 bonus to all Con-based skill checks.																	SOURCEPAGE:ddw	BONUS:SKILL|STAT.CON|1	BONUS:STAT|CON|1			
Talented	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:You know more invocations than the typical warlock. You gain an additional invocation at 1st, 5th, 10th, 15th, and 20th levels of the appropriate sort that you qualify for. In addition, you gain a +2 bonus on Spellcraft checks.													BONUS:SKILL|Spellcraft|2				SOURCEPAGE:ddw	BONUS:ABILITYPOOL|Warlock Least Invocation|1|PREVARGTEQ:WarlockInvocationLVL,1	BONUS:ABILITYPOOL|Warlock Least Invocation|1|PREVARGTEQ:WarlockInvocationLVL,5	BONUS:ABILITYPOOL|Warlock Lesser Invocation|1|PREVARGTEQ:WarlockInvocationLVL,10	BONUS:ABILITYPOOL|Warlock Greater Invocation|1|PREVARGTEQ:WarlockInvocationLVL,15	BONUS:ABILITYPOOL|Warlock Dark Invocation|1|PREVARGTEQ:WarlockInvocationLVL,20
Talking Familiar	TYPE:Special	VISIBLE:YES			PRECLASS:1,SPELLCASTER.Arcane=5	PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:Your familiar can communicate verbally with everyone, not only with his master. He can speak every language that his master knows. This is a supernatural ability, the familiar does not grow vocal cords. This feat also raises the familiars intelligence score by 1 point.														BONUS:VAR|TalkingFamiliar|1			SOURCEPAGE:ddw	DEFINE:TalkingFamiliar|0				
Weapon Familiar	TYPE:General.Fighter	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar							PRESPELLCAST:1,ANY=1											DESC:Not satisfied with an animal familiar, you create one that is more martially minded than most. 																	SOURCEPAGE:ddw					
# Aerial																																														
Aerial Combat	TYPE:General.Aerial	VISIBLE:YES													PRESTAT:2,STR=15,DEX=15					PREMOVE:1,TYPE.Fly=1				DESC:When using weapons in flight you gain +2 to attack rolls.																	SOURCEPAGE:ddw	TEMPBONUS:PC|COMBAT|TOHIT|2				
Aerobatics	TYPE:General.Aerial	VISIBLE:YES																		PREMOVE:1,TYPE.Fly=1				DESC:You improve your maneuverability class by one step when using any ability to fly. This includes flying mounts if you have the ability to guide them. You also increase your base flying speed by +5'.														BONUS:VAR|FlightManeuverability|1			SOURCEPAGE:ddw	BONUS:MOVEADD|TYPE.Fly|5				
Aerial Combat (Advanced)	TYPE:General.Aerial	VISIBLE:YES				PREFEAT:1,Aerial Combat									PRESTAT:2,STR=15,DEX=15					PREMOVE:1,TYPE.Fly=1				DESC:Your effective attack area is double that of normal.																	SOURCEPAGE:ddw					
Dive Bomb	TYPE:General.Aerial	VISIBLE:YES				PREFEAT:1,Aerial Combat									PRESTAT:2,STR=15,DEX=15					PREMOVE:1,TYPE.Fly=1				DESC:You may make a dive-bomb attack. Any melee attack that you make gains a -4 attack and +4 damage. Note: While doing a dive bomb attack, you must dive towards the opponent for at least twenty feet. This is a full round attack. If you are wielding two weapons, you may use both weapons in this attack. 																	SOURCEPAGE:ddw					
Aerial Combat (Greater)	TYPE:General.Aerial	VISIBLE:YES				PREFEAT:2,Aerial Combat,Aerial Combat (Advanced)									PRESTAT:2,STR=15,DEX=15					PREMOVE:1,TYPE.Fly=30	PREVARGTEQ:FlightManeuverability,4			DESC:You get a +4 when in combat to attack rolls and AC dodge bonus when flying.																	SOURCEPAGE:ddw	TEMPBONUS:PC|COMBAT|TOHIT|4	TEMPBONUS:PC|MISC|AC|4|TYPE=Dodge			
Dive Bomb (Greater)	TYPE:General.Aerial	VISIBLE:YES				PREFEAT:4,Aerial Combat,Aerial Combat (Greater),Dive Bomb,Dive Bomb (Improved)									PRESTAT:2,STR=15,DEX=15					PREMOVE:1,TYPE.Fly=30	PREVARGTEQ:FlightManeuverability,4			DESC:You may make a Greater dive-bomb attack, in which the enemy receives no AoO, +6 damage and no attack penalty. Note: While doing a dive bomb attack you must by above enemy, but you can move at triple your flight speed and by the enemy. This is a full round attack, and you may only use one weapon. 																	SOURCEPAGE:ddw					
Dive Bomb (Improved)	TYPE:General.Aerial	VISIBLE:YES				PREFEAT:2,Aerial Combat,Dive Bomb									PRESTAT:2,STR=15,DEX=15					PREMOVE:1,TYPE.Fly=1				DESC:You may make a improved dive-bomb attack, +6 damage and no attack penalty. Note: While doing a dive bomb attack you must by above enemy, but you can move at double your flight speed and by the enemy. This is a full round attack, but you may use two weapons at once, each receiving the bonuses and minuses. 																	SOURCEPAGE:ddw					
Spin Attack	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=13				PRESIZEGTEQ:M	PREMOVE:1,TYPE.Fly=1				DESC:You gain a wing slap attack that does 1d8 damage. Treat as a natural weapon.																	SOURCEPAGE:ddw	TEMPLATE:CHOOSE:Wing Slap (Medium)|Wing Slap (Large)|Wing Slap (Huge)|Wing Slap (Gargantuan)|Wing Slap (Colossal)				
Spirited Dive	TYPE:Monster.Fighter	VISIBLE:YES				PREFEAT:1,Flyby Attack														PREMOVE:1,TYPE.Fly=1				DESC:When performing a dive attack, the creature can inflict triple damage with a successful claw or weapon attack. Like a standard dive attack, the creature gains a +2 attack bonus but suffers a 2 penalty to AC when making this attack. The creature can still use its Flyby Attack feat when making a Spirited Dive. 																	SOURCEPAGE:ddw					
# Item Creation																																														
