SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
Sudden Silent.MOD	DESC:Cast spells without verbal components without special preparation 1/day	
Sudden Still.MOD	DESC:Cast spells without somatic components without special preparation 1/day	
Sudden Widen.MOD	DESC:Increase spell's numeric measurement by 50%% without special preparation 1/day	
Touch Spell Specialization.MOD	DESC:+2 bonus on damage rolls with touch spells	
Transdimensional Spell.MOD	DESC:Spells affect creature in coexistent planes and extradimensional spaces	
Twin Spell.MOD	DESC:Simultaneously cast a single spell twice	
Wandstrike.MOD	DESC:Make touch attack with wand to deal 1d6 damage and target creature with spell	
		
Automatic Quicken Spell.MOD	DESC:You can cast any of your lesser spells with a moment's thought.	
Automatic Silent Spell.MOD	DESC:You can cast any of your lesser spells silently.	
Automatic Still Spell.MOD	DESC:You can cast any of your lesser spells without gestures.	
Enhance Spell.MOD	DESC:You can increase the power limit of your damage-dealing spells.	
Epic Spell Focus.MOD	DESC:Choose a school of magic.  Your spells in that school are far more potent than normal.	
Epic Spell Penetration.MOD	DESC:Your spells are tremendously potent, breaking through spell resistance with ease.	
Improved Combat Casting.MOD	DESC:You can cast spells while threatened without fear of being attacked.	
Master Staff.MOD	DESC:You can activate a staff without using a charge.	
Master Wand.MOD	DESC:You can activate a wand without using a charge	
		
Collegiate Wizard.MOD	DESC:+2 bonus on Knowledge (Arcana) checks, more spells at 1st level.	
Precocius Apprentice.MOD	DESC:You gain a 2nd level slot to cast a spell with DC 8 caster level check	
