SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
			
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine	
Sunburst.MOD	CLASSES:Warmage=8	TYPE:Arcane	
Elemental Swarm.MOD	CLASSES:Warmage=9	TYPE:Arcane	
Implosion.MOD	CLASSES:Warmage=10	TYPE:Arcane	
Meteor Swarm.MOD	CLASSES:Warmage=11	TYPE:Arcane	
Prismatic Sphere.MOD	CLASSES:Warmage=12	TYPE:Arcane	
Wail of the Banshee.MOD	CLASSES:Warmage=13	TYPE:Arcane	
Weird.MOD	CLASSES:Warmage=14	TYPE:Arcane	
Dancing Lights.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	DESCRIPTOR:WuJenFire
Flare.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	DESCRIPTOR:WuJenFire
Ray of Frost.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	DESCRIPTOR:WuJenWater
Arcane Mark.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Daze.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Detect Magic.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Detect Poison.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Disrupt Undead.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Ghost Sound.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Light.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Mage Hand.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Mending.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Message.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Open/Close.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Prestidigitation.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Read Magic.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Resistance.MOD	CLASSES:Wu Jen=0	TYPE:Arcane	
Elemental Burst.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Endure Elements.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Hail of Stone.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Fiery Eyes.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenFire
Melt.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenFire
Smoke Ladder.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenFire
Iron Scarf.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Magic Weapon.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Animate Water.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenWater
Cobra's Breath.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenWater
Obscuring Mist.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenWater
Animate Wood.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenWood
Backbiter.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	DESCRIPTOR:WuJenWood
Accuracy.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Animate Rope.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Charm Person.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Comprehend Languages.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Detect Chaos.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Detect Evil.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Detect Good.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Detect Law.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Disguise Self.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Ghost Light.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Hold Portal.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Hypnotism.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Jump.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Magic Missile.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Protection from Chaos.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Protection from Evil.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Protection from Good.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Protection from Law.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Scales of the Lizard.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Secret Signs.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Shield.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Silent Image.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Sleep.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Summon Monster I.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
True Strike.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Unseen Servant.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Ventriloquism.MOD	CLASSES:Wu Jen=1	TYPE:Arcane	
Resist Energy.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Bear's Endurance.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Bull's Strength.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Animate Fire.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenFire
Cat's Grace.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenFire
Fire Shuriken.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenFire
Pyrotechnics.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenFire
Entangling Scarf.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Protection from Arrows.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Rain of Needles.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Fog Cloud.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenWater
Ice Blast.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenWater
Ice Knife.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenWater
Swim.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenWater
Warp Wood.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenWood
Wood Shape.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	DESCRIPTOR:WuJenWood
Alter Self.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Apparition.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Arcane Lock.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Blur.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Chameleon ~ CA.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Detect Thoughts.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Force Whip.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Hold Person.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Hypnotic Pattern.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Invisibility.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Kiss of the Toad.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Knock.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Lightning Blade.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Locate Object.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Minor Image.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Misdirection.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Protection from Charm.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Rope Trick.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
See Invisibility.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Spider Climb.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Summon Monster II.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Wall of Gloom.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Whispering Wind.MOD	CLASSES:Wu Jen=2	TYPE:Arcane	
Protection from Energy.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Earthbolt.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Terra Cotta Warrior.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Fire Wings ~ CA.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenFire
Fireball.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenFire
Keen Edge.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Magic Weapon (Greater).MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Magnetism.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Gaseous Form.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenWater
Steam Breath.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenWater
Stinking Cloud.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenWater
Water Breathing.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenWater
Plant Growth.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenWood
Thornskin.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	DESCRIPTOR:WuJenWood
Commune with Lesser Spirit.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Corpse Candle.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Discern Shapechanger.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Dispel Magic.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Displacement.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Haste.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Illusory Script.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Magic Circle against Chaos.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Magic Circle against Evil.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Magic Circle against Good.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Magic Circle against Law.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Major Image.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Remove Curse.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Suggestion.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Summon Monster III.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Tongues.MOD	CLASSES:Wu Jen=3	TYPE:Arcane	
Elemental Ward.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Scrying.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Dimension Door.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Stoneskin.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Fire Shield.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenFire
Fire Trap.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenFire
Wall of Fire.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenFire
Dancing Blade ~ CA.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Poison Needles.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Rusting Grasp.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Ice Storm.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenWater
Solid Fog.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenWater
Wall of Ice.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenWater
Water to Poison.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	DESCRIPTOR:WuJenWater
Animate Dead.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Charm Monster.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Confusion.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Creeping Darkness.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Crushing Despair.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Dismissal.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Globe of Invulnerability (Lesser).MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Good Hope.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Heart Ripper.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Invisibility (Greater).MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Locate Creature.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Minor Creation.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Pain.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Polymorph.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Resist Energy (Mass).MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Shout.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Snake Darts.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Spirit Binding (Lesser).MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Summon Monster IV.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Wall of Bones.MOD	CLASSES:Wu Jen=4	TYPE:Arcane	
Stone Shape.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Terra Cotta Lion.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Wall of Stone.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Fire Breath.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenFire
Metal Skin.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Cone of Cold.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenWater
Wood Rot.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	DESCRIPTOR:WuJenWood
Aiming at the Target.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Animal Growth.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Arc of Lightning.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Baleful Polymorph.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Dominate Person.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Dream.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Fabricate.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Feeblemind.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Hold Monster.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Major Creation.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Nightmare.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Passwall.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Permanency.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Persistent Image.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Servant Horde.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Spirit Self.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Summon Monster V.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Summoning Wind.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Sword of Deception.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Symbol of Pain.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Symbol of Sleep.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Telekinesis.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Teleport.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Vitriolic Sphere.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Wall of Force.MOD	CLASSES:Wu Jen=5	TYPE:Arcane	
Flesh to Stone.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Move Earth.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Stone to Flesh.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Fire Seeds.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenFire
Spirit Needle.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Wall of Iron.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Control Water.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenWater
Ironwood.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenWood
Repel Wood.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	DESCRIPTOR:WuJenWood
Control Weather.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Dispel Magic (Greater).MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Geas/Quest.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Globe of Invulnerability.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Permanent Image.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Programmed Image.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Repulsion.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Speak with Dead.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Spirit Binding.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Suggestion (Mass).MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Summon Monster VI.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Symbol of Fear.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Symbol of Persuasion.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Transfix.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
True Seeing.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Veil.MOD	CLASSES:Wu Jen=6	TYPE:Arcane	
Scrying (Greater).MOD	CLASSES:Wu Jen=7	TYPE:Arcane	DESCRIPTOR:WuJenEarth|WuJenFire|WuJenMetal|WuJenWater|WuJenWood
Statue.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Delayed Blast Fireball.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	DESCRIPTOR:WuJenFire
Decapitating Scarf.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	DESCRIPTOR:WuJenMetal
Transmute Metal to Wood.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	DESCRIPTOR:WuJenWood
Body Outside Body.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Commune with Greater Spirit.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Disintegrate.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Energy Immunity.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Ethereal Jaunt.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Giant Size.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Limited Wish.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Power Word Blind.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Reanimation.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Summon Monster VII.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Sword of Darkness.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Symbol of Stunning.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Symbol of Weakness.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Teleport (Greater).MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Teleport Object.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Withering Palm.MOD	CLASSES:Wu Jen=7	TYPE:Arcane	
Earthquake.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	DESCRIPTOR:WuJenEarth
Incendiary Cloud.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	DESCRIPTOR:WuJenFire
Repel Metal or Stone.MOD	CLASSES:Wu Jen=8	TYPE:Arcane	DESCRIPTOR:WuJenMetal
