SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Green Star Adept Unnatural Metabolism	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GreenStarAdeptUnnaturalMetabolismLVL|0					BONUS:VAR|UnnaturalMetabolismBonus|((GreenStarAdeptUnnaturalMetabolismLVL+1)/3)*2																		SOURCEPAGE:CA
Green Star Adept Fortification	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GreenStarAdeptFortificationLVL|0					BONUS:VAR|FortificationPower|GreenStarAdeptFortificationLVL/3																		SOURCEPAGE:CA
Initiate of the Sevenfold Veil Warding	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:InitiateOfTheSevenfoldVeilWardingLVL|0					BONUS:VAR|WardingPerDay|(InitiateOfTheSevenfoldVeilWardingLVL+1)/2																		SOURCEPAGE:CA
Initiate of the Sevenfold Veil Unanswerable Strike Bonus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:InitiateOfTheSevenfoldVeilUnanswerableStrikeLVL|0					BONUS:VAR|UnanswerableStrikeBonus|((InitiateOfTheSevenfoldVeilUnanswerableStrikeLVL +2)/4)*2																		SOURCEPAGE:CA
Initiate of the Sevenfold Veil Kaleidoscopic Doom	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|KaleidoscopicDoomPerDay|1																		SOURCEPAGE:CA
Mage of the Arcane Order Spellpool	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MageOfTheArcaneOrderSpellpoolLVL|0					BONUS:VAR|SpellpoolLimit|min(9,3*min(3,(MageOfTheArcaneOrderSpellpoolLVL+2)/3))	BONUS:VAR|SpellpoolEpic|1|PREVARGTEQ:MageOfTheArcaneOrderSpellpoolLVL,14																	SOURCEPAGE:CA
Master Transmogrif Favored Shape	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MasterTransmogrifFavoredShapeLVL|0					BONUS:VAR|FavoredShapesNumber|2+((MasterTransmogrifFavoredShapeLVL+1)/2)																		SOURCEPAGE:CA
Master Transmogrif Battle Mastery	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MasterTransmogrifBattleMasteryLVL|0					BONUS:VAR|BattleMasteryBonus|(MasterTransmogrifBattleMasteryLVL/3)*2																		SOURCEPAGE:CA
Master Transmogrif Reflective Change	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ReflectiveChangePerDay|1																		SOURCEPAGE:CA
Mindbender Skill Boost	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MindbenderSkillBoostLVL|0					BONUS:VAR|SkillBoostBonus|MindbenderSkillBoostLVL/2																		SOURCEPAGE:CA
Mindbender Push the Weak Mind	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MindbenderPushTheWeakMindLVL|0					BONUS:VAR|PushWeakMindPerDay|(MindbenderPushTheWeakMindLVL+1)/3																		SOURCEPAGE:CA
Mindbender Mindread	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MindbenderMindreadLVL|0					BONUS:VAR|MindreadPerDay|((MindbenderMindreadLVL+1)/4)*2																		SOURCEPAGE:CA
Mindbender Eternal Charm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MindbenderEternalCharmLVL|0					BONUS:VAR|EternalCharmNumber|(MindbenderEternalCharmLVL/2)-1																		SOURCEPAGE:CA
Suel Arcanamach Ignore Spell Failure	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SuelArcanamachIgnoreSpellFailureLVL|0					BONUS:VAR|SpellFailurePerc|((SuelArcanamachIgnoreSpellFailureLVL+2)/3)*5																		SOURCEPAGE:CA
Suel Arcanamach Dispelling Strike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SuelArcanamachDispellingStrikeLVL|0					BONUS:VAR|DispellingStrikePerDay|(SuelArcanamachDispellingStrikeLVL+2)/4																		SOURCEPAGE:CA
Wayfarer Guide Enhanced Capacity	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WayfarerGuideEnhancedCapacityLVL|0					BONUS:VAR|EnhancedCapacityNumber|WayfarerGuideEnhancedCapacityLVL																		SOURCEPAGE:CA
Wild Mage Random Deflector	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WildMageRandomDeflectorLVL|0					BONUS:VAR|RandomDeflectorPerDay|(WildMageRandomDeflectorLVL+1)/3																		SOURCEPAGE:CA
Wild Mage Wildstrike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|WildstrikePerDay|1																		SOURCEPAGE:CA
#																																
Chaggrin Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ChaggrinSneakAttackLVL|HD					BONUS:VAR|SneakAttackDice|(ChaggrinSneakAttackLVL)/3																		SOURCEPAGE:CA
#																																
