SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Arrow of Bone			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Death	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One projectile or thrown weapon touched		DURATION:8 hours, or until discharged	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Missile or thrown weapon gains +4 bonus, target take 3d6+1/level damage (max +15) or is slain	SOURCEPAGE:CA		COST:50						
Assay Resistance			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:+10 bonus on caster level checks to defeat one creature's spell resistance	SOURCEPAGE:CA								
Backbiter			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Necromancy			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon		DURATION:1 round/level, or until discharged	SAVEINFO:Will negates; See text (object)	SPELLRES:Yes	DESC:Wooden-hafted weapon strikes wielder	SOURCEPAGE:CA								
Bands of Steel			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Reflex partial	SPELLRES:No	DESC:Metallic bands immobilize or entangle target for 1 round/level	SOURCEPAGE:CA								
Blackfire			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Target engulfed in black flame, take 1d4 Con damage and becomes nauseated; flames and effects can spread to adjacent living creatures	SOURCEPAGE:CA								
Blades of Fire			TYPE:Arcane.Divine	CLASSES:Ranger=2|Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	COMPS:V	CASTTIME:1 swift action	RANGE:Touch	TARGETAREA:Up to two melee weapons you are wielding		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Your melee weapons dedal +1d6 fire damage for 1 round	SOURCEPAGE:CA								
Blast of Flame			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped burst		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:60-ft cone of fire (1d6/level damage)	SOURCEPAGE:CA								
Blink (Greater)	OUTPUTNAME:Blink, Greater		TYPE:Arcane.Divine	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Controlled blinking between the Material and Ethereal Planes grants defenses for 1 round/level	SOURCEPAGE:CA								
Blistering Radiance			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Fire|Light	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:50-ft-radius spread		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Sphere of light blinds creatures, deals 2d6 fire damage in 50-ft radius spread	SOURCEPAGE:CA								
Body Outside Body			TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:One duplicate/5 levels		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Create one duplicate of yourself/5 levels	SOURCEPAGE:CA								
Brilliant Blade			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One melee or thrown weapon, or fifty projectiles		DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Weapon or projectiles shed light, ignore armor	SOURCEPAGE:CA								
Burning Blood			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature; see text		DURATION:1 round/level	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Target takes 1d8 acid damage plus 1d8 fire damage/round	SOURCEPAGE:CA								
Chameleon			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subject gets +10 on Hide checks	SOURCEPAGE:CA								
Cloud Chariot			TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:You and other touched willing creatures		DURATION:10 minutes	SAVEINFO:None	SPELLRES:No	DESC:You and your allies fly on a fast-moving cloud	SOURCEPAGE:CA								
Cobra's Breath			TYPE:Arcane			SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:Cone-shaped burst		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:No	DESC:Cone of poisons deals 1d3 Con damage	SOURCEPAGE:CA								
Commune with Greater Spirit			TYPE:Arcane			SCHOOL:Divination			COMPS:V, S, M, XP	CASTTIME:10 minutes	RANGE:10 ft.	TARGETAREA:One spirit		DURATION:1 minute/level	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Any spirit creature answers one question/level	SOURCEPAGE:CA		COST:25	XPCOST:100					
Commune with Lesser Spirit			TYPE:Arcane			SCHOOL:Divination			COMPS:V, S, M	CASTTIME:10 minutes	RANGE:10 ft.	TARGETAREA:One lesser spirit		DURATION:1 minute/level	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Lesser spirit creature answers one question/2 level	SOURCEPAGE:CA		COST:10						
Corpse Candle			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ghostly hand and a candle		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Ghostly hand and candle sheds light, affects incorporeal creatures	SOURCEPAGE:CA								
Creeping Darkness			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Darkness	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cloud that spreads in 20-ft radius, 20-ft high		DURATION:3 rounds/level	SAVEINFO:None	SPELLRES:No	DESC:Cloud of inky blackness moves at your command	SOURCEPAGE:CA								
Dancing Blade			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One sword		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Target sword fights independently	SOURCEPAGE:CA								
Darkvision (Mass)	OUTPUTNAME:Darkvision, Mass		TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:The caster and all allies in a 10-ft-radius burst, centered on the caster		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creatures in 10-ft radius gain ability to see 60-ft in total darkness	SOURCEPAGE:CA								
Decapitating Scarf			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Ranged attack decapitates target or deals 1d4 damage/level (max 20d4)	SOURCEPAGE:CA								
Defenestrating Sphere			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Air	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:2-ft-radius sphere		DURATION:1 round/level	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Cloudy gray sphere knocks enemies prone, hurls them upward for subsequent falling damage	SOURCEPAGE:CA		COST:100						
Discern Shapechanger			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Penetrates disguises and identifies shapechanging creatures	SOURCEPAGE:CA								
Duelward			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level, or until discharged	SAVEINFO:None	SPELLRES:No	DESC:+4 on Spellcraft checks, counterspell as an immediate action	SOURCEPAGE:CA								
Earthbolt			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Earth	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Line up to close range		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Seismic pulse deals 1d6/level damage to creatures along its path	SOURCEPAGE:CA								
Earthen Grasp			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Animated earthen arm		DURATION:2 rounds/level	SAVEINFO:None	SPELLRES:Yes	DESC:Arm made of earth and soil grapples foes	SOURCEPAGE:CA								
Elemental Burst			TYPE:Arcane			SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius burst		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Elemental target explodes with varying effects	SOURCEPAGE:CA								
Elemental Ward			TYPE:Arcane			SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:60-ft-radius emanation, centered on you		DURATION:1 minute	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Drives elementals away	SOURCEPAGE:CA								
Emerald Flame Fist			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature or object touched		DURATION:1 round/level; see text	SAVEINFO:See text	SPELLRES:No	DESC:Touch attack deals 336+1/level fire damage (max +20); target can be engulfed by flame for additional damage	SOURCEPAGE:CA								
Energy Immunity			TYPE:Arcane.Divine	CLASSES:Cleric=6|Druid=6|Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:24 hours	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subject and equipment gain immunity to damage of specified energy type	SOURCEPAGE:CA								
Enhance Familiar			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Universal			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Familiar touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Your familiar receives +2 bonus on saves, combat rolls, and AC for 1 hour/level	SOURCEPAGE:CA								
Entangling Scarf			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Succesful ranged touch attack entangles a foe	SOURCEPAGE:CA								
Familiar Pocket			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Universal			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One container or garnment with a pocket touched		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Garment or container becomess extradimensional safe haven for your familiar	SOURCEPAGE:CA								
Fiendform			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Assume form and abilities of fiendish creature, demon or devil	SOURCEPAGE:CA								
Fiery Eyes			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:Reflex special; See text	SPELLRES:No	DESC:Your glowing eyes illuminate area and can ignite combustible items	SOURCEPAGE:CA								
Finding the Center			TYPE:Arcane			SCHOOL:Abjuration			COMPS:S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes	SAVEINFO:None	SPELLRES:No	DESC:Automatically maintain concentration on previously cast spell	SOURCEPAGE:CA								
Fire Breath			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack deals 1d8/2 levels fire damage (max 10d8) for 1 round/level	SOURCEPAGE:CA								
Fire Shield (Mass)	OUTPUTNAME:Fire Shield, Mass	VARIANTS:Warm Shield, Mass|Chill Shield, Mass	TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire|Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more allied creatures, no two of which can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creatures attacking allies take damage; allies are protected from fire or cold	SOURCEPAGE:CA								
Fire Shuriken			TYPE:Arcane.Divine	CLASSES:Assassin=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One magical shuriken/3 levels		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Magical shuriken deal 3d6 fire damage	SOURCEPAGE:CA								
Fire Wings			TYPE:Arcane			SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M, F	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Your arms become flaming wings capable of flight and dealing +2d6 fire damage on unarmed attacks	SOURCEPAGE:CA								
Fireburst			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:5 ft,	TARGETAREA:Burst of fire extending 5-ft from you		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Adjacent subjects take 1d8/level fire damage	SOURCEPAGE:CA								
Fireburst (Greater)	OUTPUTNAME:Fireburst, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10 ft,	TARGETAREA:Burst of fire extending 10-ft from you		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Subjects within 10-ft take 1d8/level fire damage	SOURCEPAGE:CA								
Fist of Stone			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Gain +6 STR and natural Slam attack	SOURCEPAGE:CA								
Flensing			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One corporeal creature; see text		DURATION:Up to 4 rounds; see text	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Pain and trauma deal 2d6 damage, 1d6 Con damage, 1d6 Cha damage for up to 4 rounds	SOURCEPAGE:CA								
Fly (Mass)	OUTPUTNAME:Fly, Mass		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:One creature/level flies at speed of 60-ft	SOURCEPAGE:CA								
Force Whip			TYPE:Divine	CLASSES:Bard=2		SCHOOL:Evocation		DESCRIPTOR:Sonic|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:A whip of force		DURATION:1 round/level	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Whip of magical force keeps animals at bay and can frighten animals as ranged touch attack	SOURCEPAGE:CA								
Freezing Fog			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spread in 20-ft radius, 20-ft high.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Grants concealment and inflicts 1d6 damage each round.	SOURCEPAGE:CA								
Fortify Familiar			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Universal			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Familiar touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Your familiar gains 2d8 temporary HP, +2 to AC, 25%% chance to avoid extra sneak attack and critical hits	SOURCEPAGE:CA								
Ghostform			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You assume incorporeal form and gain some incorporeal traits and bonuses	SOURCEPAGE:CA								
Ghost Light			TYPE:Arcane			SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One medium or smaller ghostly light		DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Ghostly green radiance can be shaped and manipulated, causes fear	SOURCEPAGE:CA								
Giant Size			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:You grow to Huge or larger size	SOURCEPAGE:CA								
Hail of Stone			TYPE:Arcane			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Cylinder (5-ft radius, 40-ft high)		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Rain of stone deals 1d4/level damage (max 5d4)	SOURCEPAGE:CA		COST:5						
Heart of Stone			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy			COMPS:V, S, F, XP	CASTTIME:1 hour	RANGE:Personal	TARGETAREA:You		DURATION:1 year	SAVEINFO:None	SPELLRES:No	DESC:Exchange your heart with stone heart to gain damage reduction, resistance to energy for 1 year	SOURCEPAGE:CA		COST:5000	XPCOST:1000					
Heart Ripper			TYPE:Divine	CLASSES:Assassin=4		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more creatures, no two of which can be more than 30-ft apart; See text		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Kills living creatures with less than 4 HD	SOURCEPAGE:CA								
Ice Blast			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:S, M	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Cone shaped burst		DURATION:Instantaneous; See text	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Spay of ice crystals deals 1d6/2 levels cold damage (max 10d6) and makes targets fatigued	SOURCEPAGE:CA								
Ice Knife			TYPE:Arcane.Divine	CLASSES:Assassin=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:S, M	CASTTIME:1 full round	RANGE:Long	TARGETAREA:One icy missile		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Magical shard of ice deals 2d8 cold damage plus 2 Dex damage, or deal 1d8 cold damage in 10-ft-radius burst	SOURCEPAGE:CA								
Illusory Pit			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:10-ft cube/level		DURATION:Concentration + 1 round/level	SAVEINFO:Will partial; See text	SPELLRES:Yes	DESC:Creatures in area are stunned or knocked prone while believing they're falling	SOURCEPAGE:CA								
Imbue Familiar with Spell Ability			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Universal			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Familiar touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You transfer spells and casting ability into your familiar	SOURCEPAGE:CA								
Internal Fire			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Up to 1 HD/level of creature, no two of which can be more than 20-ft apart		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Targets die instantly or take 6d6+1/level fire damage	SOURCEPAGE:CA								
Iron Scarf			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ranged attack deals 1d8 damage +1/level	SOURCEPAGE:CA								
Kiss of the Toad			TYPE:Arcane			SCHOOL:Necromancy			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:Instantaneous; See text	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Touch deals 1d6 Con damage, repeats in 1 min	SOURCEPAGE:CA								
Hidden Lodge			TYPE:Arcane.Divine	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F; See text	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:20-ft-square structure		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Creates sturdy cottage camouflaged to blend into natural surroundings	SOURCEPAGE:CA								
Hidden Lodge.COPY=Leomund's Hidden Lodge
