SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
7	ADD:SPELLCASTER|ANY						BONUS:ABILITYPOOL|Metamagic Feat|1					
8	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Insane Certainty								
9	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Timeless Body				TEMPLATE:Alienist Timeless Body				
10	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Trascendence				TEMPLATE:Alienist Alien Trascendence				
#												
CLASS:Argent Savant	HD:4	TYPE:PC.Prestige	ABB:Ars	MAXLEVEL:5	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Argent Savant	PRESKILL:1,Knowledge (Arcana)=6	PRESKILL:1,Spellcraft=12	PREMULT:2,[PRESPELLDESCRIPTOR:5,Force=1],[PRESPELLDESCRIPTOR:1,Force=5]									
CLASS:Argent Savant	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|TYPE.Profession|Spellcraft										
1				ABILITY:Special Ability|AUTOMATIC|Force Specialization								
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Force Armor								
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Enduring Force								
4	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Ablate Force			BONUS:VAR|ForceResistanceBonus|CL					
5	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Unbind Force								
#												
CLASS:Blood Magus	HD:6	TYPE:PC.Prestige	ABB:Blm	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Blood Magus	PREALIGN:LN,LE,NG,TN,NE,CG,CN,CE	PRESKILL:1,Concentration=4	PREFEAT:2,Great Fortitude,Toughness	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=5	PRETEXT:The character must have been killed, then returned to life						
CLASS:Blood Magus	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Heal|Spellcraft	DEFINE:BlmHomunculus|0									
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Blood Component|Durable Casting|Stanch								
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Scarification								
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Death Knell (Sp)			BONUS:VAR|DeathKnellPerDay|1	BONUS:VAR|DeathKnellLVL|CL				
4	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Blood Draught								
5				ABILITY:Special Ability|AUTOMATIC|Homunculus			BONUS:VAR|HomunculusLVL|CL-4					
6	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Bloodseeking Spell								
7	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Thicker than Water				DR:1/Bludgeoning				
8	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Awaken Blood|Blood Magus Awaken Blood								
9	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Infusion								
10				ABILITY:Special Ability|AUTOMATIC|Bloodwalk|Blood Magus Bloodwalk								
#												
CLASS:Effigy Master	HD:4	TYPE:PC.Prestige	ABB:Efm	MAXLEVEL:5	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Effigy Master	PRESKILL:1,Craft (Woodworking)=10,Craft (Leatherworking)=10,Craft (Metalworking)=10	PRESKILL:2,Knowledge (Arcana)=5,Spellcraft=5	PRESKILL:1,Use Magic Device=2	PREFEAT:1,Craft Wondrous Item	PRESPELL:1,Simulacrum							
CLASS:Effigy Master	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|TYPE.Profession|Spellcraft										
1				ABILITY:Special Ability|AUTOMATIC|Craft Effigy								
2	ADD:SPELLCASTER|ANY											
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Improved Effigy								
4	ADD:SPELLCASTER|ANY											
5	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Effigy Link								
#												
CLASS:Elemental Savant	HD:4	TYPE:PC.Prestige	ABB:Els	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE	ALLOWBASECLASS:NO		
CLASS:Elemental Savant	PRESKILL:1,Knowledge (Arcana)=8	PRESKILL:1,Knowledge (The Planes)=4	PREFEAT:1,Energy Substitution	PREMULT:1,[PRESPELLDESCRIPTOR:1,Acid=3],[PRESPELLDESCRIPTOR:1,Cold=3],[PRESPELLDESCRIPTOR:1,Electricity=3],[PRESPELLDESCRIPTOR:1,Fire=3]	PREMULT:1,[PRESPELLDESCRIPTOR:3,Acid=1],[PRESPELLDESCRIPTOR:3,Cold=1],[PRESPELLDESCRIPTOR:3,Electricity=1],[PRESPELLDESCRIPTOR:3,Fire=1]	PRETEXT:Must have made a pacific contract with an Elemental or Outsider that has an elemental subtype 						
CLASS:Elemental Savant	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Knowledge (Arcana)|Knowledge (The Planes)|TYPE.Profession|Spellcraft										
SUBCLASS:Air Elemental Savant	COST:1	PROHIBITCOST:0	PREFEAT:1,Energy Substitution(Electricity)									
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity|Elemental Savant Air Elemental Specialty			BONUS:VAR|ElectricityResistanceBonus|5					
SUBCLASSLEVEL:4							BONUS:VAR|ElectricityResistanceBonus|5					
SUBCLASSLEVEL:5				ABILITY:Special Ability|AUTOMATIC|Energy Focus Air								
SUBCLASSLEVEL:7							BONUS:VAR|ElectricityResistanceBonus|10					
SUBCLASSLEVEL:10				ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity								
SUBCLASS:Earth Elemental Savant	COST:1	PROHIBITCOST:0	PREFEAT:1,Energy Substitution(Acid)									
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance to Acid|Elemental Savant Earth Elemental Specialty			BONUS:VAR|AcidResistanceBonus|5					
SUBCLASSLEVEL:4							BONUS:VAR|AcidResistanceBonus|5					
SUBCLASSLEVEL:5				ABILITY:Special Ability|AUTOMATIC|Energy Focus Earth								
SUBCLASSLEVEL:7							BONUS:VAR|AcidResistanceBonus|10					
SUBCLASSLEVEL:10				ABILITY:Special Ability|AUTOMATIC|Immunity To Acid								
SUBCLASS:Fire Elemental Savant	COST:1	PROHIBITCOST:0	PREFEAT:1,Energy Substitution(Fire)									
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance to Fire|Elemental Savant Fire Elemental Specialty			BONUS:VAR|FireResistanceBonus|5					
SUBCLASSLEVEL:4							BONUS:VAR|FireResistanceBonus|5					
SUBCLASSLEVEL:5				ABILITY:Special Ability|AUTOMATIC|Energy Focus Fire								
SUBCLASSLEVEL:7							BONUS:VAR|FireResistanceBonus|10					
SUBCLASSLEVEL:10				ABILITY:Special Ability|AUTOMATIC|Immunity To Fire								
SUBCLASS:Water Elemental Savant	COST:1	PROHIBITCOST:0	PREFEAT:1,Energy Substitution(Cold)									
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Resistance to Cold|Elemental Savant Cold Elemental Specialty			BONUS:VAR|ColdResistanceBonus|5					
SUBCLASSLEVEL:4							BONUS:VAR|ColdResistanceBonus|5					
SUBCLASSLEVEL:5				ABILITY:Special Ability|AUTOMATIC|Energy Focus Water								
SUBCLASSLEVEL:7							BONUS:VAR|ColdResistanceBonus|10					
SUBCLASSLEVEL:10				ABILITY:Special Ability|AUTOMATIC|Immunity To Cold								
#												
1	ADD:SPELLCASTER|ANY											
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Energy Penetration|Elemental Savant Energy Penetration			BONUS:VAR|ElementalSavantEnergyPenetrationLVL|CL					
4	ADD:SPELLCASTER|ANY											
5				ABILITY:Special Ability|AUTOMATIC|Energy Focus|Elemental Savant Energy Focus			BONUS:VAR|ElementalSavantEnergyFocusLVL|CL					
6	ADD:SPELLCASTER|ANY			VISION:Darkvision (60')								
7	ADD:SPELLCASTER|ANY											
8	ADD:SPELLCASTER|ANY											
9	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Immunity To Paralysis								
10				ABILITY:Special Ability|AUTOMATIC|Elemental Perfection				TEMPLATE:Elemental Perfection				
#												
###TODO CONTIGUOUS:Monk|TYPE.Arcane												
CLASS:Enlightened Fist	HD:8	TYPE:PC.Prestige	ABB:Enf	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Enlightened Fist	PRESKILL:1,Concentration=8	PRESKILL:2,Knowledge (Arcana)=5,Spellcraft=5	PREFEAT:3,Combat Casting,Improved Unarmed Strike,Stunning Fist	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=3							
CLASS:Enlightened Fist	STARTSKILLPTS:4	CSKILL:Balance|Climb|Concentration|TYPE.Craft|Escape Artist|Hide|Jump|Knowledge (Arcana)|Knowledge (Religion)|Listen|Move Silently|TYPE.Profession|Spellcraft|Spot|Swim|Tumble										
1				ABILITY:Special Ability|AUTOMATIC|Enlightened Fist AC			BONUS:VAR|EnlightnedFistACLVL|CL					
1				ABILITY:Special Ability|AUTOMATIC|Enlightened Fist Flurry			BONUS:VAR|EnlightnedFistFlurryLVL|CL					
#												
1		UDAM:1d1,1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6	UMULT:2		ABILITY:Special Ability|AUTOMATIC|Ki Strike|Enlightened Fist Ki Strike Advancement		BONUS:VAR|MonkMoveLVL|CL	BONUS:UDAM|CLASS.Monk|CL				
2	ADD:SPELLCASTER|Arcane	UDAM:1d1,1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6		ABILITY:Special Ability|AUTOMATIC|Fist of Energy								
3	ADD:SPELLCASTER|Arcane	UDAM:1d1,1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6		ABILITY:Special Ability|AUTOMATIC|Arcane Fist								
4	ADD:SPELLCASTER|Arcane	UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6										
5	ADD:SPELLCASTER|Arcane	UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6		ABILITY:Special Ability|AUTOMATIC|Arcane Rejuvenation								
6		UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6										
7	ADD:SPELLCASTER|Arcane	UDAM:1d2,1d3,1d4,1d6,1d8,2d6,3d6,4d6,6d6		ABILITY:Special Ability|AUTOMATIC|Hold Ray								
8	ADD:SPELLCASTER|Arcane	UDAM:1d3,1d4,1d6,1d8,1d10,2d8,3d8,4d8,6d8										
9	ADD:SPELLCASTER|Arcane	UDAM:1d3,1d4,1d6,1d8,1d10,2d8,3d8,4d8,6d8		ABILITY:Special Ability|AUTOMATIC|Diamond Soul			BONUS:VAR|DiamondSoulLVL|CL					
10	ADD:SPELLCASTER|Arcane	UDAM:1d3,1d4,1d6,1d8,1d10,2d8,3d8,4d8,6d8										
#												
CLASS:Fate Spinner	HD:4	TYPE:PC.Prestige	ABB:Fas	MAXLEVEL:5	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Fate Spinner	PRESKILL:1,Knowledge (Arcana)=10	PRESKILL:1,Profession (Gambler)=5	PRESPELLSCHOOL:1,Divination=1	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=4							
CLASS:Fate Spinner	STARTSKILLPTS:2	CSKILL:Appraise|Concentration|TYPE.Craft|Knowledge (Arcana)|TYPE.Profession|Sleight of Hand|Spellcraft										
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Spin Fate|Fate Spinner Spin Fate			BONUS:VAR|FateSpinnerSinFateLVL|CL					
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Fickle Finger of Fate|Fate Spinner Fickle Finger of Fate								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Spin Destiny								
4	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Deny Fate|Fate Spinner Deny Fate	ABILITY:Special Ability|AUTOMATIC|Resist Fate|Fate Spinner Resist Fate							
5				ABILITY:Special Ability|AUTOMATIC|Seal Fate|Fate Spinner Seal Fate								
#												
CLASS:Geometer	HD:4	TYPE:PC.Prestige	ABB:Gem	MAXLEVEL:5	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Geometer	PRESKILL:2,Decipher Script=9,Knowledge (Arcana)=9	PRESKILL:2,Disable Device=4,Search=4	PREFEAT:1,Scribe Scroll	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=3	PRESPELLCAST:MEMORIZE=Y						
CLASS:Geometer	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Ride|Balance|Intimidate|Sense Motive|TYPE.Profession|Gather Information|Use Rope|Appraise										
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Glyph of Warding|Spellglyph								
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Book of Geometry								
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Sigilsight|Pass Sigil								
4	ADD:SPELLCASTER|Arcane											
5	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Powerfull Spellglyph|Greater Glyph of Warding								
#												
CLASS:Green Star Adept	HD:8	TYPE:PC.Prestige	ABB:Gsa	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Green Star Adept	PREATT:4	PRESKILL:4,Decipher Script=2,Knowledge (Architecture and Engineering)=2,Knowledge (Geography)=2,Knowledge (History)=2	PRESKILL:1,Knowledge (Arcana)=8	PREFEAT:1,Combat Casting	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=1	PRETEXT:Must acquire a piece of Starmetal weighting at least 2 ounces, powder it, and consume by drinking it in a specially prepared infusion. The infusion requires arcane reagents costing 1000Gp and takes one week to prepare.					
CLASS:Green Star Adept	STARTSKILLPTS:2	CSKILL:Appraise|Concentration|TYPE.Craft|Decipher Script|Knowledge (Arcana)|Knowledge (Architecture and Engineering)|Knowledge (Geography)|Knowledge (History)|TYPE.Profession|Spellcraft										
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Greenstar Adept
#												
1				ABILITY:Special Ability|AUTOMATIC|Green Star Adept DR|Starmetal Dependency|Starmetal Rigor 1			BONUS:VAR|GreenStarAdeptDRLVL|CL	BONUS:ABILITYPOOL|Improved Caster Level|CL				
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Unnatural Metabolism			BONUS:VAR|GreenStarAdeptUnnaturalMetabolismLVL|CL			TEMPLATE:Green Star Adept Attacks		
3				ABILITY:Special Ability|AUTOMATIC|Fortification|Green Star Adept Fortification			BONUS:VAR|GreenStarAdeptFortificationLVL|CL					
4	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Starmetal Rigor 2|Otherworldly Vision								
5												
6	ADD:SPELLCASTER|Arcane											
7				ABILITY:Special Ability|AUTOMATIC|Starmetal Rigor 3|Null Metabolism								
8	ADD:SPELLCASTER|Arcane											
9												
10	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Starmetal Rigor 4|Rapid Repair|Emerald Perfection			BONUS:VAR|RapidRepair|1			TEMPLATE:Emerald Perfection		
#												
CLASS:Initiate of the Sevenfold Veil	HD:4	TYPE:PC.Prestige	ABB:Isv	MAXLEVEL:7	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Initiate of the Sevenfold Veil	PRESKILL:2,Knowledge (Arcana)=12,Spellcraft=12	PRESKILL:1,Knowledge (Nature)=4	PREFEAT:3,Greater Spell Focus(Abjuration),Spell Focus(Abjuration),Skill Focus(Spellcraft)	PRESPELLSCHOOL:2,Abjuration=4	PRESPELLSCHOOL:5,Abjuration=1							
CLASS:Initiate of the Sevenfold Veil	STARTSKILLPTS:2	CSKILL:Appraise|Concentration|TYPE.Craft|Decipher Script|TYPE.Knowledge|TYPE.Profession|Spellcraft										
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Warding|Initiate of the Sevenfold Veil Warding	ABILITY:Special Ability|AUTOMATIC|Veils ~ Red		BONUS:VAR|InitiateOfTheSevenfoldVeilWardingLVL|CL					
1				ABILITY:Special Ability|AUTOMATIC|Unimpeachable Abjuration			BONUS:DC|SCHOOL.Abjuration|CL					
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Unanswerable Strike|Initiate of the Sevenfold Veil Unanswerable Strike Bonus	ABILITY:Special Ability|AUTOMATIC|Veils ~ Orange		BONUS:VAR|InitiateOfTheSevenfoldVeilUnanswerableStrikeLVL|CL					
3	ADD:SPELLCASTER|Arcane				ABILITY:Special Ability|AUTOMATIC|Veils ~ Yellow							
4	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Reactive Warding	ABILITY:Special Ability|AUTOMATIC|Veils ~ Green							
5	ADD:SPELLCASTER|Arcane				ABILITY:Special Ability|AUTOMATIC|Veils ~ Blue							
6	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Double Warding	ABILITY:Special Ability|AUTOMATIC|Veils ~ Indigo							
7	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Kaleidoscopic Doom|Initiate of the Sevenfold Veil Kaleidoscopic Doom	ABILITY:Special Ability|AUTOMATIC|Veils ~ Violet							
#												
CLASS:Mage of the Arcane Order	HD:4	TYPE:PC.Prestige	ABB:Mao	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Mage of the Arcane Order	PRESKILL:1,Knowledge (Arcana)=8	PREFEAT:1,Cooperative Spell	PREFEAT:2,TYPE.Metamagic	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=2	PRETEXT:Members must pay an initiation fee of 750 Gp						
CLASS:Mage of the Arcane Order	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Decipher Script|TYPE.Knowledge|TYPE.Profession|Speak Language|Spellcraft										
#												
#1	ADD:SPELLCASTER|Arcane						BONUS:VAR|SpellpoolLimit|1	TEMPLATE:Guild Member (Arcane Order)				
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Guild Member(Arcane Order)|Spellpool|Mage of the Arcane Order Spellpool			BONUS:VAR|MageOfTheArcaneOrderSpellpoolLVL|CL					
2	ADD:SPELLCASTER|Arcane						BONUS:ABILITYPOOL|Metamagic Feat|1					
3	ADD:SPELLCASTER|Arcane						ADD:LANGUAGE|1|TYPE=Spoken					
4	ADD:SPELLCASTER|Arcane											
5	ADD:SPELLCASTER|Arcane			SAB:New Spell								
6	ADD:SPELLCASTER|Arcane						ADD:LANGUAGE|1|TYPE=Spoken					
7	ADD:SPELLCASTER|Arcane											
8	ADD:SPELLCASTER|Arcane			SAB:New Spell								
9	ADD:SPELLCASTER|Arcane		ADD:FEAT|TYPE=Metamagic				BONUS:ABILITYPOOL|Metamagic Feat|1					
10	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Regent								
#												
CLASS:Master Transmogrifist	HD:4	TYPE:PC.Prestige	ABB:Mtr	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Master Transmogrifist	PRESKILL:1,Bluff=2	PRESKILL:1,Disguise=5	PREALIGN:NG,TN,NE,CG,CN,CE	PRESPELL:2,Alter Self,Polymorph								
CLASS:Master Transmogrifist	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Disguise|Knowledge (Arcana)|TYPE.Profession|Spellcraft										
1				ABILITY:Special Ability|AUTOMATIC|Extended Change|Favored Shape|Master Transmogrif Favored Shape			BONUS:VAR|MasterTransmogrifFavoredShapeLVL|CL					
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Manifest Senses								
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Battle Mastery|Master Transmogrif Battle Mastery			BONUS:VAR|MasterTransmogrifBattleMasteryLVL|CL					
4				ABILITY:Special Ability|AUTOMATIC|Effortless Change								
5	ADD:SPELLCASTER|Arcane							TEMPLATE:Shapechanger	TEMPLATE:Transmogrifist Shapechanger			
6	ADD:SPELLCASTER|Arcane											
