SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Summon Baatezu	CATEGORY:Special Ability	TYPE:SpinagonRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:1/day summon 1d3 spinagons 35%%.	KEY:Spinagon ~ Summon Baatezu																											SOURCEPAGE:MotP
																																
Race Traits ~ Narzugon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NarzugonRaceTrait																													
Baleful Gaze	CATEGORY:Special Ability	TYPE:NarzugonRaceTrait.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:Those who see the narzugon's unmasked face see their own worst fears reflected in its eyes. As they hold its gaze, the fearsome image grows like a hallucination until it blocks out reality completely. The baleful gaze functions as a Phantasmal Killer spell cast by a 10th-level sorcerer (save DC %1) against all within 30 feet.|BalefulGazeDC	KEY:Narzugon ~ Baleful Gaze				DEFINE:BalefulGazeDC|0					BONUS:VAR|BalefulGazeDC|DefaultDCCha	BONUS:VAR|BalefulGazeDC|2|PREFEAT:1,Ability Focus (Baleful Gaze)																	SOURCEPAGE:MotP
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:NarzugonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Narzugon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Desecrate|Doom|Hold Person|Produce Flame|Suggestion	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Order's Wrath|Unholy Blight	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Teleport (Greater/Self and Mount)							SOURCEPAGE:MotP
Summon Baatezu	CATEGORY:Special Ability	TYPE:SpinagonRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:1/day summon 1d3 erinyes or another narzugon 30%%.	KEY:Narzugon ~ Summon Baatezu																											SOURCEPAGE:MotP
																																
Race Traits ~ Xag-Ya	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=XagYaRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4									AUTO:WEAPONPROF|Spells (Ray)	AUTO:EQUIP|Xag-Ya ~ Positive Energy Ray								
Positive Energy Lash	CATEGORY:Special Ability	TYPE:XagYaRaceTrait.Supernatural	VISIBLE:YES	DESC:5/day Ranged touch attack infuse target with positive energy. Undead foes (even incorporeal ones) take an additional 2d8+5 points of damage. Living creatures heal up to 2d8+5 points of damage. Xag-Ya can control its positive energy enaugh to avoid healing living foes (dealing only the base damage).	KEY:Xag-Ya ~ Positive Energy Lash																											SOURCEPAGE:MotP
Turn Undead	CATEGORY:Special Ability	TYPE:XagYaRaceTrait.Supernatural	VISIBLE:YES	DESC:By suffusing a 60-foot-radius area with positive energy, a xag-ya can make undead recoil. It turns undead as a 5th-level cleric and can do so five times per day. It cannot destroy undead.	KEY:Xag-Ya ~ Turn Undead				DEFINE:EnergonXagYaTurnLVL|0					BONUS:VAR|EnergonXagYaTurnLVL|5	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|EnergonXagYaTurnLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|VIRTUAL|Basic Turning|Turn Undead									SOURCEPAGE:MotP
																																
Race Traits ~ Xeg-Yi	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=XagYaRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4									AUTO:WEAPONPROF|Spells (Ray)	AUTO:EQUIP|Xeg-Yi ~ Negative Energy Ray								
Negative Energy Lash	CATEGORY:Special Ability	TYPE:XegYiRaceTrait.Supernatural	VISIBLE:YES	DESC:5/day Ranged touch attack infuse target with negative energy. Living foes (even incorporeal ones) take an additional 2d8+5 points of damage. Undead creatures heal up to 2d8+5 points of damage. Xeg-Yi can control its negative energy enaugh to avoid healing undead foes (dealing only the base damage).	KEY:Xeg-Yi ~ Negative Energy Lash																											SOURCEPAGE:MotP
Rebuke Undead	CATEGORY:Special Ability	TYPE:XegYiRaceTrait.Supernatural	VISIBLE:YES	DESC:By suffusing a 60-foot-radius area with positive energy, a Xeg-Yi can make undead recoil. It turns undead as a 5th-level cleric and can do so five times per day. It cannot destroy undead.	KEY:Xeg-Yi ~ Rebuke Undead				DEFINE:EnergonYegYiTurnLVL|0					BONUS:VAR|EnergonXegYiTurnLVL|5	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|EnergonXegYiTurnLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|VIRTUAL|Basic Turning|Rebuke Undead									SOURCEPAGE:MotP
																																
Race Traits ~ Dusk Beast	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait																				AUTO:WEAPONPROF|Spells (Ray)	AUTO:EQUIP|Xeg-Yi ~ Negative Energy Ray								
																																
Race Traits ~ Ecalypse	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=EcalypseRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4																		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:EcalypseRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Ecalypse ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Find the Path|Shadow Walk	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Repulsion	SPELLS:Innate|TIMES=1|CASTERLEVEL=15|Plane Shift (Self and Rider)							SOURCEPAGE:MotP
Discorporate	CATEGORY:Special Ability	TYPE:EcalypseRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An ecalypse can become incorporeal as a standard action. In this state, it can be harmed only by other incorporeal creatures, magic weapons, or magic, with a 50% chance to ignore any damage from a corporeal source.	KEY:Ecalypse ~ Discorporate																											SOURCEPAGE:MotP
Shadow Blend	CATEGORY:Special Ability	TYPE:EcalypseRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:During any conditions other than full daylight, an ecalypse can disappear into the shadows, giving it total concealment. Artificial illumination, even a light or continual flame spell, does not negate this ability. A daylight spell, however, will.	KEY:Ecalypse ~ Shadow Blend																											SOURCEPAGE:MotP3.5upd
Training	CATEGORY:Special Ability	TYPE:EcalypseRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An ecalypse loathes the saddle, but it accepts a rider who can break its wild nature. To make the attempt, the prospective rider must first climb atop the creature's back, either by pinning it in a grapple or by using magic to restrain it somehow.	KEY:Ecalypse ~ Training																											SOURCEPAGE:MotP
																																
Race Traits ~ Umbral Banyan	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=UmbralBanyanRaceTrait	AUTO:LANG|Sylvan																												
Improved Grab	CATEGORY:Special Ability	TYPE:UmbralBanyanRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, the umbral Banyan must hit a Large or smaller opponent with its tendril attack. Each successful grapple check after the first deals normal tendril damage. If it surprises multiple foes, the umbral banyan tries to grapple up to four of them, despite the reduced attack bonus for successive grapple checks (its highest bonus for grapple checks is +28).	KEY:Umbral Banyan ~ Improved Grab																											SOURCEPAGE:MotP
Yank Upward	CATEGORY:Special Ability	TYPE:UmbralBanyanRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:On the round after an umbral banyan grapples a foe, it can automatically yank the held creature 20 feet up into the air if it is still successfully grappling. Opponents who escape the grapple take 2d6 points of damage from the fall to the ground.	KEY:Umbral Banyan ~ Yank Upward																											SOURCEPAGE:MotP
Strenght Damage	CATEGORY:Special Ability	TYPE:UmbralBanyanRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Beginning on the round after an umbral banyan yanks its prey upward, each tendril deals 1d4 points of temporary Strength damage each round it maintains the grapple (in addition to normal tendril damage). A successful Fortitude save (DC %1) negates the Strength damage for that round.|StrengthDamageDC	KEY:Umbral Banyan ~ Strength Damage				DEFINE:UmbralBanyanDC|0					BONUS:VAR|UmbralBanyanDC|DefaultDCCon	BONUS:VAR|Strength DamageDC|2|PREFEAT:1,Ability Focus (Strength Damage)								ABILITY:Ability Focus|AUTOMATIC|Strength Damage									SOURCEPAGE:MotP
Plane Shift	CATEGORY:Special Ability	TYPE:UmbralBanyanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a free action, an umbral banyan can shift itself and any grappled opponents to a forest on the Plane of Shadow for 5 rounds, as the Plane Shift spell. The umbral banyan and any creatures within 20 feet of it return to the original spot on the Material Plane at the end of that time, unless the banyan is destroyed in the meantime, in which case any surviving opponents must find their own way home. Umbral banyans native to the Plane of Shadow can plane shift to a forest on the Material Plane in the same way.	KEY:Umbral Banyan ~ Plane Shift																											SOURCEPAGE:MotP
Camouflage	CATEGORY:Special Ability	TYPE:UmbralBanyanRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Because an umbral banyan looks like a normal tree when at rest, it takes a successful Spot check (DC 25) to notice it before it attacks. Anyone with Survival or Knowledge (Nature) can use those skills instead of Spot to notice the umbral banyan.	KEY:Umbral Banyan ~ Camouflage																											SOURCEPAGE:MotP
																																
Race Traits ~ Dao	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DaoRaceTrait	AUTO:LANG|Common|Aquan|Terran																												
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DaoRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Dao ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=19|Alter Self|Detect Good|Detect Magic|Gaseous Form|Invisibility|Misdirection|Passwall|Persistent Image|Wall of Stone	SPELLS:Innate|TIMES=3|CASTERLEVEL=19|Move Earth|Transmute Rock to Mud	SPELLS:Innate|TIMES=1|CASTERLEVEL=19|Grant up to three wishes (to nongenies only)							SOURCEPAGE:MotP
Earth Mastery	CATEGORY:Special Ability	TYPE:DaoRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A dao gains a +1 bonus on attack and damage rolls if both it and its foe touch the ground. If an opponent is airborne or waterborne, the dao suffers a -4 penalty on attack and damage rolls. (These modifiers are not included in the statistics block.)	KEY:Dao ~ Earth Mastery																											SOURCEPAGE:MotP
Push	CATEGORY:Special Ability	TYPE:DaoRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A dao can start a bull rush maneuver without provoking an attack of opportunity. The combat modifiers given in Earth Mastery, above, also apply to the dao's opposed Strength checks.	KEY:Dao ~ Push																		AUTO:FEAT|Improved Bull Rush									SOURCEPAGE:MotP
																																
Race Traits ~ Marid	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MaridRaceTrait	AUTO:LANG|Aquan																												
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:MaridRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Marid ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Create Water|Detect Evil|Detect Good|Detect Magic|Invisibility|Polymorph Self|Purify Food and Drink|See Invisibility	SPELLS:Innate|TIMES=5|CASTERLEVEL=HD|Control Water|GAseous Form|Solid Fog|Water Breathing	SPELLS:Innate|TIMES=1|TIMEUNIT=Year|CASTERLEVEL=HD|Grant a wish (to nongenies only)							SOURCEPAGE:MotP
Water Mastery	CATEGORY:Special Ability	TYPE:MaridRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A marid gains a +1 bonus on attack and damage rolls if both it and its opponent touch water. If the opponent or the marid is landbound, the marid suffers a -4 penalty on attack and damage rolls. (These modifiers are not included in the statistics block.)	KEY:Marid ~ Water Mastery																											SOURCEPAGE:MotP
Drench	CATEGORY:Special Ability	TYPE:MaridRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The marid's touch puts out torches, campfires, exposed lanterns, and other open flames of nonmagical origin if these are of Large size or smaller. The marid can dispel magical fire it touches as Dispel Magic cast by an 11th-level sorcerer.	KEY:Marid ~ Drench																											SOURCEPAGE:MotP
Vortex	CATEGORY:Special Ability	TYPE:MaridRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The marid can transform itself into a whirlpool once every 10 minutes, provided it is underwater, and remain in that form for up to 5 rounds. In vortex form, the marid can move through the water or along the bottom at its swim speed. The vortex is 5 feet wide at the base, up to 30 feet wide at the top, and 10 feet to 40 feet tall. The marid sets the height of the vortex within that range. Creatures smaller than Large might take damage when caught in the vortex and may be swept up by it. An affected creature must succeed at a Reflex save (DC %1) when it comes into contact with the vortex or take 2d6 points of damage. It must also succeed at a second Reflex save or be picked up bodily and held suspended in the powerful currents, automatically taking damage each round. A creature that can swim is allowed a Reflex save each round to escape the vortex. The creature still takes damage but can leave if the save is successful. The marid can eject any carried creatures whenever it wishes, depositing them wherever the vortex happens to be.|VortexDC	KEY:Marid ~ Vortex				DEFINE:VortexDC|0					BONUS:VAR|VortexDC|DefaultDCStr	BONUS:VAR|VortexDC|2|PREFEAT:1,Ability Focus (Vortex)																	SOURCEPAGE:MotP
																																
Race Traits ~ Ice Paraelemental	CATEGORY:Internal	TYPE:Special	ABILITY:Internal|AUTOMATIC|Paraelemental Defaults|Ice Paraelemental	AUTO:FEAT|Combat Reflexes	ABILITY:Special Ability|AUTOMATIC|Ice Paraelemental ~ Chill Metal									BONUS:VAR|IceParaelementalAgeCategory|(IceParaelementalLVL-3)/3	BONUS:VAR|DragonNaturalArmor|3	BONUS:VAR|ForceResistanceBonus|5|TYPE=Resistance							MOVE:Walk,40,Burrow,20,Swim,10									SOURCEPAGE:MM2
#cr																																
CATEGORY=Internal|Race Traits ~ Amethyst Dragon.MOD														BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,1	BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,2	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,3	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,4	BONUS:MISC|CR|3|PREVARGTEQ:DragonAgeCategory,5	BONUS:MISC|CR|3|PREVARGTEQ:DragonAgeCategory,6	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,7	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,8	BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,9	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,10	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,11	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,12							
#leveladjust																																
CATEGORY=Internal|Race Traits ~ Amethyst Dragon.MOD															BONUS:VAR|DragonLevelAdjustment|4|PREVARGTEQ:DragonAgeCategory,1|PREVARLTEQ:DragonAgeCategory,2	BONUS:VAR|DragonLevelAdjustment|5|PREVAREQ:DragonAgeCategory,3																
#size																																
CATEGORY=Internal|Race Traits ~ Amethyst Dragon.MOD														BONUS:VAR|DragonSizeTracker|2|PREVARGTEQ:DragonAgeCategory,1	BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,2		BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,4		BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,6				BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,10									
#stats																																
CATEGORY=Internal|Race Traits ~ Amethyst Dragon.MOD														BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,1	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,3	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4	BONUS:STAT|STR|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,5	BONUS:STAT|STR|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,7	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,9	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,11	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12							
CATEGORY=Internal|Race Traits ~ Amethyst Dragon.MOD														BONUS:STAT|DEX|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,1																		
CATEGORY=Internal|Race Traits ~ Amethyst Dragon.MOD														BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,1	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2		BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,5	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6		BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8		BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,11								
