SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Nybor's Stern Reproof.MOD	OUTPUTNAME:Rebuke, Final																												
Nybor's Wrathful Castigation.MOD	OUTPUTNAME:Wrathful Castigation																													
Otiluke's Dispelling Screen (Greater).MOD	OUTPUTNAME:Dispelling Screen, Greater																												
Otiluke's Dispelling Screen.MOD	OUTPUTNAME:Dispelling Screen																													
Presper's Moonbow.MOD	OUTPUTNAME:Moonbow																													
Rary's Interplanar Telepathic Bond.MOD	OUTPUTNAME:Interplanar Telepathic Bond																													
Recall Spirit.MOD	OUTPUTNAME:Revenance																													
Reflection (Minor).MOD	OUTPUTNAME:Ray Deflection																													
Remedy Moderate Wounds.MOD	OUTPUTNAME:Vigor																													
Rogue Wave.MOD	OUTPUTNAME:Tidal Surge																													
Servitor (Minor).MOD	OUTPUTNAME:Awaken Construct																													
Shelgarn's Persistent Blade.MOD	OUTPUTNAME:Persistent Blade																													
Simbul's Skeletal Deliquescence.MOD	OUTPUTNAME:Corporeal Instability																													
Simbul's Spell Matrix.MOD	OUTPUTNAME:Spell Matrix, Lesser																												
Simbul's Spell Sequencer.MOD	OUTPUTNAME:Spell Matrix																													
Simbul's Spell Trigger.MOD	OUTPUTNAME:Spell Matrix, Greater																												
Simbul's Synostodweomer.MOD	OUTPUTNAME:Synostodweomer																													
Snilloc's Snowball Swarm.MOD	OUTPUTNAME:Snowball Swarm																													
Tenser's Floating Disk (Greater).MOD	OUTPUTNAME:Floating Disk (Greater)																													
Tyrumael's Energy Spheres.MOD	OUTPUTNAME:Energy Sphere																													
Tvash-Prull's Bonefiddle.MOD	OUTPUTNAME:Bonefiddle																													
Undeniable Gravity.MOD	OUTPUTNAME:Earthbind																													
Vaeraun's Nightshield.MOD	OUTPUTNAME:Nightshield																													
Zajimarn's Avalanche.MOD	OUTPUTNAME:Obedient Avalanche																													
Zajimarn's Ice Claw Prison.MOD	OUTPUTNAME:Ice Claw																													
																														
Deafening Breath.MOD				CLASSES:.CLEARALL	DOMAINS:.CLEARALL																									
Shout (Great).MOD				CLASSES:.CLEARALL	DOMAINS:.CLEARALL																									
Teleport (Mass).MOD				CLASSES:.CLEARALL	DOMAINS:.CLEARALL																									
																														
# Spell Name												TARGETAREA:																		
Absorb Weapon			TYPE:Arcane	CLASSES:Assassin=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched weapon not in another creature's possession		DURATION:1 hour/level	SAVEINFO:Will negates (object); See text.	SPELLRES:Yes	DESC:You can harmlessy absorb a weapon you are touching into your arm.	SOURCEPAGE:SpC												
Absorption			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level or until expended	SAVEINFO:None	SPELLRES:No	DESC:Spells and spell-like effects that target you are absorbed, their energy stored to power spells of your own.	SOURCEPAGE:SpC												
Abyssal Army			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaotic|Evil	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which are more than 30 ft. Apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:This spell summons a pack of demons from the Abyss to serve you.	SOURCEPAGE:SpC												
Accelerated Movement			TYPE:Arcane.Divine	CLASSES:Bard=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You can move at your normal speed when using Balance, Climb, Hide, Move Silently and Tumble.	SOURCEPAGE:SpC												
Acid Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Conjuration	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:15-ft.	TARGETAREA:Cone-shaped burst.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You breath a cone of acid droplets dealing 1d6 acid damage / level.	SOURCEPAGE:SpC												
Acid Sheath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You enclose yourself in a fluid sheath of acid that does not harm you. Dealing 2 acid damage/level (max 30) on who hit you.	SOURCEPAGE:SpC		COST:50										
Acid Storm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cylinder (20-ft radius, 20 ft high)		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:Acid rain deals 1d6 acid damage / level (max 15d6)	SOURCEPAGE:SpC		COST:10										
Aid (Mass)	OUTPUTNAME:Aid, Mass		TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more creatures, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:+1 on attack rolls, +1 against fear, 1d8 + 1 hp/level (max +15) temporary hp.|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:SpC												
Aiming at the Target			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:S	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.		DURATION:Concentration, up to 20 minutes	SAVEINFO:None	SPELLRES:No	DESC:+10 circumstances bonus on Concentration checks to maintain concentration on another spell.	SOURCEPAGE:SpC												
Air Breathing			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched.		DURATION:2 hours/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The creatures touched can breath air freely.	SOURCEPAGE:SpC												
Alarm (Greater)			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft-radius emanation centered on a point in space.		DURATION:4 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Wards an area for 4 hours/level, including coterminous and coexistent planes.	SOURCEPAGE:SpC		COST:100										
Align Fang			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Transmutation		DESCRIPTOR:Good|Evil|Lawful|Chaotic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Make a creature's natural weapons good, evil, lawful or chaotic aligned as you choose.	SOURCEPAGE:SpC												
Align Fang (Mass)	OUTPUTNAME:Align Fang, Mass		TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation		DESCRIPTOR:Good|Evil|Lawful|Chaotic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Make a creature's natural weapons good, evil, lawful or chaotic aligned as you choose.	SOURCEPAGE:SpC												
Allegro			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 swift action	RANGE:20 ft.	TARGETAREA:20-ft-radius burst, centered on you.		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Each creature within the spell's area gains a 30-foot enhancement bonus to land speed, to a maximum of a double the creature's land speed.	SOURCEPAGE:SpC												
Amanuensis			TYPE:Arcane.Divine	CLASSES:Cleric=0|Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Object or objects with writing.		DURATION:10 minutes/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You cause writing from one sopurce to be copied into a book, paper or parchment.	SOURCEPAGE:SpC												
Amorphous Form			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing corporeal creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject and gear becomes amorphous and oozelike.	SOURCEPAGE:SpC												
Amplify			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius emanation, centered on a creature, object or point in space.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You cause an amplification of all sounds within the spell's area.	SOURCEPAGE:SpC												
Analyze Portal			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 minute	RANGE:60-ft.	TARGETAREA:Cone-shaped emanation from you to the extreme of the range.		DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Find a nearby portal and discover its properties.	SOURCEPAGE:SpC												
Anarchic Storm			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Chaotic|Water	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:Cylinder (20-ft radius, 20 ft high)		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Chaotic-aligned rain falls in 20-ft radius.	SOURCEPAGE:SpC												
Anarchic Water			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Transmutation		DESCRIPTOR:Chaotic	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched		DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes chaotic-aligned anarchic water.	SOURCEPAGE:SpC		COST:25										
Angelskin			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Lawful good creature touched.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject gains damage reduction 5/evil.	SOURCEPAGE:SpC												
Anger of the Noonay Sun			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:All sighted creatures within a 20-ft-radius burst centered on you.		DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Any creature in the area of the spell that can see you must make a saving throw or be temporarily blinded. Undead takes 1d6 damage/2 level (max 10d6).	SOURCEPAGE:SpC												
Animate Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Imbue your breath weapon with cogerence, mobility and semblance of life.	SOURCEPAGE:SpC												
Animate Fire			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One small fire.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You animate a small fire (it has the statistics of a Small fire Elemental).	SOURCEPAGE:SpC												
Animate Snow			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cube of snow up to 20 ft. On a side.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You cause snow in the area to become 1d3+2 Large animated object, 1d3 Huge animated object oe 1 Gargantuan animate obhject.	SOURCEPAGE:SpC												
Animate Water			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Cube of water up to 5 ft. On a side.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You animate a small quantity of water (it has the statistics of a Small Water Elemental).	SOURCEPAGE:SpC												
Animate Wood			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One small or smaller wooden object.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You animate a small or smaller wooden object (it has the statistics of a Small Animated Object).	SOURCEPAGE:SpC												
Anticipate Teleportation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:10 minutes	RANGE:One willing creature touched	TARGETAREA:5-ft/level radius emanation from touched creature.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:The subject of the spell is surrounded with anm invisible aura that anticipates and delays the teleportation of any creature into the spell's area.	SOURCEPAGE:SpC												
Anticipate Teleportation (Greater)	OUTPUTNAME:Anticipate Teleportation, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:10 minutes	RANGE:One willing creature touched	TARGETAREA:5-ft/level radius emanation from touched creature.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:The subject of the spell is surrounded with anm invisible aura that anticipates and delays the teleportation of any creature into the spell's area.	SOURCEPAGE:SpC												
Anticold Sphere			TYPE:Arcane.Divine	CLASSES:Druid=5|Sorcerer,Wizard=5		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation, centered on you.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:All creature within the area of the spell, gain immunity to cold damage.	SOURCEPAGE:SpC												
Antidragon Aura			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/two level, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:All subjects gain +2 luck bonus to AC and on saving throw against attacks, spells and special attacks of dragons.	SOURCEPAGE:SpC												
Antimagic Ray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:1 round/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Ranged touch attack with the Ray, if hits function as if the target is inside an antimagic field if it fails its save.	SOURCEPAGE:SpC												
Anyspell			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:15 minutes	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Allows you to read and prepare any arcane spell of up to 2nd level.	SOURCEPAGE:SpC												
Anyspell (Greater)			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:15 minutes	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Allows you to read and prepare any arcane spell of up to 5th level.	SOURCEPAGE:SpC												
Appraising Touch			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You gains +10 insight bonus on Appraise checks to determine the value of items you touch.	SOURCEPAGE:SpC												
Arc of Lightning			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A line between two creatures.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:This bolts deal 1d6 points of electricity damage per caster level (max 15d6) to both targeted creatures and anything in the line between them.	SOURCEPAGE:SpC												
Armor of Darkness			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Darkness	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The shroud grants the subject a +4 deflection bonus on AC + 1 every 3 level above seven (max +8 at 19th level)	SOURCEPAGE:SpC												
Arrow Mind			TYPE:Arcane.Divine	CLASSES:Ranger=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You threaten all squares within normal melee reach while wielding a projectile weapon.	SOURCEPAGE:SpC												
Arrow of Bone			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Death	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One projectile or thrown weapon touched.		DURATION:1 hour/level or until discharged	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:When thrown or fired at a creature as a normal attack, the weapon gains +4 enhancement bonus on attack and damage rolls. Kill the creature if fails the saving throw.	SOURCEPAGE:SpC												
Arrow of Storm			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SpC												
Aspect of the Earth Hunter			TYPE:Divine	CLASSES:Druid=6|Ranger=4		SCHOOL:Transmutation			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You assume physical appearance and many of the qualities of a bulette.	SOURCEPAGE:SpC												
Aspect of the Wolf			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You assume physical appearance and many of the qualities of a wolf.	SOURCEPAGE:SpC												
Assay Spell Resistance			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:+10 bonus on caster level checks to overcome spell resistance of a specific creature.	SOURCEPAGE:SpC												
Astral Hospice			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See Text.		DURATION:24 hours/level	SAVEINFO:None	SPELLRES:No	DESC:When cast in the Astral plane, it open up a small planar portal to a demiplane where natural healing can occurs.	SOURCEPAGE:SpC												
Attune Form			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/3 level.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:The spell allows you to attune the affected creatures to the plane your are currently on.	SOURCEPAGE:SpC												
Augment Familiar			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Your familiar.		DURATION:Concentration + 1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:The spell grants your familiar +4 enhancement bonus on STR, DEX and CON, damage reduction 5/Magic and +2 resistance bonus on saving throw.	SOURCEPAGE:SpC												
Aura against Flame			TYPE:Divine	CLASSES:Cleric=2|Druid=1		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You absorb first 10 points of fire damage.	SOURCEPAGE:SpC												
Aura of Evasion			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius emanation, centered on you.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You and all creatures within 10 feet gain evasion against breath weapons.	SOURCEPAGE:SpC												
Aura of Glory			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 swift action	RANGE:10-ft.	TARGETAREA:10-ft-radius spread.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:The spell remove any fear effect from all allies within your aura of courage.	SOURCEPAGE:SpC												
Aura of Terror			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy			COMPS:V	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius emanation, centered on you.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You become surrounded by an aura of fear.	SOURCEPAGE:SpC												
Aura of Vitality			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/3 level, no  two of which are more than 30 ft. Apart.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:All subjects gain +4 morale bonus to STR, DEX and CON.	SOURCEPAGE:SpC												
