SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net						
Craft	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Craft=1|Animate Rope|Craft=2|Wood Shape|Craft=3|Stone Shape|Craft=4|Minor Creation|Craft=5|Wall of Stone|Craft=6|Fantastic Machine|Craft=7|Major Creation|Craft=8|Forcecage|Craft=9|Fantastic Machine (Greater)	DESC:You cast Conjuration (creation) spells at +1 caster level and gain Skill Focus as a bonus feat for one Craft skill of your choice.	BONUS:CASTERLEVEL|SUBSCHOOL.Creation|1|PRERULE:1,SYS_DOMAIN	BONUS:ABILITYPOOL|Domain Craft ~ Skill Focus|1			
Creation	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Creation=1|Create Water|Creation=2|Minor Image|Creation=3|Create Food and Water|Creation=4|Minor Creation|Creation=5|Major Creation|Creation=6|Heroes' Feast|Creation=7|Permanent Image|Creation=8|True Creation|Creation=9|Pavilion of Grandeur	DESC:Cast Conjuration (creation) spells at +1 caster levels.	BONUS:CASTERLEVEL|SUBSCHOOL.Creation|1|PRERULE:1,SYS_DOMAIN				
Darkness	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Darkness=1|Obscuring Mist|Darkness=2|Blindness/Deafness|Darkness=3|Blacklight|Darkness=4|Armor of Darkness|Darkness=5|Darkbolt|Darkness=6|Prying Eyes|Darkness=7|Nightmare|Darkness=8|Power Word Blind|Darkness=9|Power Word Kill	DESC:You gain Blind-Fight as a bonus feat.	AUTO:FEAT|Blind Fight				
Deathbound	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Deathbound=1|Chill of the Grave|Deathbound=2|Blade of Pain and Fear|Deathbound=3|Fangs of the Vampire King|Deathbound=4|Wither Limb|Deathbound=5|Revive Undead|Deathbound=6|Awaken Undead|Deathbound=7|Avasculate|Deathbound=8|Avascular Mass|Deathbound=9|Wail of the Banshee	DESC:Your limit of controlling undead animated with spells increases to three times your caster level instead of the normal two times caster level.					
Domination	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Domination=1|Command|Domination=2|Enthrall|Domination=3|Suggestion|Domination=4|Dominate Person|Domination=5|Command (Greater)|Domination=6|Geas/Quest|Domination=7|Suggestion (Mass)|Domination=8|True Domination|Domination=9|Monstrous Thrall	DESC:You gain the Spell Focus (Enchantment) feat.	AUTO:FEAT|Spell Focus(Enchantment)				
Dragon	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Dragon=1|Magic Fang|Dragon=2|Resist Energy|Dragon=3|Magic Fang (Greater)|Dragon=4|Voice of the Dragon|Dragon=5|True Seeing|Dragon=6|Stoneskin|Dragon=7|Dragon Ally|Dragon=8|Suggestion (Mass)|Dragon=9|Dominate Monster	DESC:Add Bluff and Intimidate to your list of cleric class skills.	CSKILL:Bluff|Intimidate				
Dream	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Dream=1|Sleep|Dream=2|Augury|Dream=3|Deep Slumber|Dream=4|Phantasmal Killer|Dream=5|Nightmare|Dream=6|Dream Sight|Dream=7|Scrying (Greater)|Dream=8|Power Word Stun|Dream=9|Weird	DESC:You are immune to fear effects.	ABILITY:Special Ability|AUTOMATIC|Immunity To Fear				
Drow	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Drow=1|Cloak of Dark Power|Drow=2|Clairaudience/Clairvoyance|Drow=3|Suggestion|Drow=4|Discern Lies|Drow=5|Spiderform|Drow=6|Dispelling Screen (Greater)|Drow=7|Word of Chaos|Drow=8|Planar Ally (Greater)|Drow=9|Gate	DESC:You gain Lightning Reflexes as bonus feat.	AUTO:FEAT|Lightning Reflexes				
Dwarf	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Dwarf=1|Magic Weapon|Dwarf=2|Bear's Endurance|Dwarf=3|Glyph of Warding|Dwarf=4|Magic Weapon (Greater)|Dwarf=5|Fabricate|Dwarf=6|Stone Tell|Dwarf=7|Dictum|Dwarf=8|Protection from Spells|Dwarf=9|Elemental Swarm ~ Earth	DESC:You gain Great Fortitude as bonus feat.	AUTO:FEAT|Great Fortitude				
Elf	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Elf=1|True Strike|Elf=2|Cat's Grace|Elf=3|Snare|Elf=4|Tree Stride|Elf=5|Commune with Nature|Elf=6|Find the Path|Elf=7|Liveoak|Elf=8|Sunburst|Elf=9|Antipathy	DESC:You gain Point Blank Shot as a bonus feat.	AUTO:FEAT|Point Blank Shot				
Envy	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Envy=1|Disguise Self|Envy=2|Ray of enfeeblement|Envy=3|Touch of Idiocy|Envy=4|Vampiric Touch|Envy=5|Crushing Despair|Envy=6|Magic Jar|Envy=7|Limited Wish|Envy=8|Simulacrum|Envy=9|Wish	DESC:Add Bluff to your list of cleric class skills. In addition, you cast spells that damage or drain ability scores or bestow negative levels at +1 caster level.	CSKILL:Bluff				
Glory	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Glory=1|Disrupt Undead|Glory=2|Bless Weapon|Glory=3|Searing Light|Glory=4|Holy Smite|Glory=5|Holy Sword|Glory=6|Bolt of Glory|Glory=7|Sunbeam|Glory=8|Crown of Glory|Glory=9|Gate	DESC:Turn undead with a +2 bonus on the turning check and +1d6 to the turning damage roll.	BONUS:VAR|TurnCheckUndead|2	BONUS:VAR|TurnDiceUndead|1			
Gluttony	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Gluttony=1|Goodberry|Gluttony=2|Death Knell|Gluttony=3|Create Food and Water|Gluttony=4|Vampiric Touch|Gluttony=5|Baleful Polymorph|Gluttony=6|Heroes' Feast|Gluttony=7|Stone to Flesh|Gluttony=8|Bite of the King|Gluttony=9|Trap the Soul	DESC:For a total time per day of 1 round per cleric level you possess, you can increase your size as if you were affected by the enlarge person spell. Activating the power or ending it is a free action. 					
Gnome	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Gnome=1|Silent Image|Gnome=2|Gembomb|Gnome=3|Minor Image|Gnome=4|Minor Creation|Gnome=5|Hallucinatory Terrain|Gnome=6|Fantastic Machine|Gnome=7|Screen|Gnome=8|Otto's Irresistible Dance|Gnome=9|Summon Nature's Ally IX ~ Earth	DESC:You cast Illusion spells at +1 caster level.	BONUS:CASTERLEVEL|SCHOOL.Illusion|1|PRERULE:1,SYS_DOMAIN				
Greed	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Greed=1|Cheat|Greed=2|Entice Gift|Greed=3|Knock|Greed=4|Fire Trap|Greed=5|Fabricate|Greed=6|Guards and Wards|Greed=7|Teleport Object|Greed=8|Phantasmal Thief|Greed=9|Sympathy	DESC:You gain +2 competence bonus on Appraise, Open Lock and Sleight of Hand checks	BONUS:SKILL|Appraise,Open Lock,Sleight of Hand|2|TYPE=Competence				
Halfling	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Halfling=1|Magic Stone|Halfling=2|Cat's Grace|Halfling=3|Magic Vestment|Halfling=4|Freedom of Movement|Halfling=5|Mordenkainen's Faithful Hound|Halfling=6|Move Earth|Halfling=7|Shadow Walk|Halfling=8|Word of Recall|Halfling=9|Foresight	DESC:Once per day for 10 minutes, you add your CHA modifier to your Climb, Jump, Move Silently and Hide checks. Activating this ability is a free action.					
Hatred	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Hatred=1|Doom|Hatred=2|Scare|Hatred=3|Bestow Curse|Hatred=4|Rage|Hatred=5|Righteous Might|Hatred=6|Forbiddance|Hatred=7|Blasphemy|Hatred=8|Antipathy|Hatred=9|Wail of the Banshee	DESC:Once per day, as free action, you can choose an opponent. Against that opponent you gain +2 profane bonus on attack rolls, saving throws and Armor Class for 1 minutes. 					
Hunger	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Hunger=1|Ghoul Light|Hunger=2|Ghoul Glyph|Hunger=3|Ghoul Gesture|Hunger=4|Enervation|Hunger=5|Ghoul Gauntlet|Hunger=6|Eyes of the King|Hunger=7|Field of Ghouls|Hunger=8|Bite of the King|Hunger=9|Energy Drain	DESC:You gain a bite attack. You are proficient with your byte attack and considered armed.	ABILITY:Special Ability|VIRTUAL|Domain ~ Hunger					
Illusion	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Illusion=1|Silent Image|Illusion=2|Minor Image|Illusion=3|Displacement|Illusion=4|Phantasmal Killer|Illusion=5|Persistent Image|Illusion=6|Mislead|Illusion=7|Project Image|Illusion=8|Screen|Illusion=9|Weird	DESC:You cast Illusion spells at +1 caster level.	BONUS:CASTERLEVEL|SCHOOL.Illusion|1|PRERULE:1,SYS_DOMAIN				
Inquisition	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Inquisition=1|Detect Chaos|Inquisition=2|Zone of Truth|Inquisition=3|Detect Thoughts|Inquisition=4|Discern Lies|Inquisition=5|True Seeing|Inquisition=6|Geas/Quest|Inquisition=7|Dictum|Inquisition=8|Shield of Law|Inquisition=9|Imprisonment	DESC:Gain a +4 bonus on dispel checks.					
Liberation	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Liberation=1|Omen of Peril|Liberation=2|Undetectable Alignment|Liberation=3|Rage|Liberation=4|Freedom of Movement|Liberation=5|Break Enchantment|Liberation=6|Dispel Magic (Greater)|Liberation=7|Refuge|Liberation=8|Mind Blank|Liberation=9|Unbinding	DESC:If you are affected by a charm, compulsion, or fear effect and fail your saving throw, you can attempt it again 1 round later at the same DC. You get only this one extra chance to succeed on your saving throw.					
Lust	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Lust=1|Charm Person|Lust=2|Invisibility|Lust=3|Clairaudience/Clairvoyance|Lust=4|Planar Ally (Lesser)|Lust=5|Scrying|Lust=6|Symbol of Persuasion|Lust=7|Refuge|Lust=8|Sympathy|Lust=9|Trap the Soul	DESC:One per day as a free action, you gain an enhancement bonus to Charisma equal to your cleric level. The power lasts for 1 round.	ABILITY:Special Ability|VIRTUAL|Domain ~ Lust Bonus
Madness	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Madness=1|Confusion (Lesser)|Madness=2|Touch of Madness|Madness=3|Rage|Madness=4|Confusion|Madness=5|Bolt of Bedevilment|Madness=6|Phantasmal Killer|Madness=7|Insanity|Madness=8|Maddening Scream|Madness=9|Weird	DESC:Your insanity gives you insight. You subtract 1 from all Wisdom-based skill checks and all Will saves. However, once per day, you can see and act with the clarity of true madness: add one-half your level to a single Wisdom-based skill check or Will save. You must choose to use this benefit before the check or save is rolled.	ABILITY:Special Ability|AUTOMATIC|Insanity Score	BONUS:CHECKS|Will|-1	BONUS:SKILL|TYPE=Wisdom|-1	BONUS:VAR|Insanity|(classlevel("Cleric")+var("BL=Cleric"))/2	
Mentalism	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Mentalism=1|Confusion (Lesser)|Mentalism=2|Detect Thoughts|Mentalism=3|Clairaudience/Clairvoyance|Mentalism=4|Modify Memory|Mentalism=5|Mind Fog|Mentalism=6|Rary's Telepathic Bond|Mentalism=7|Antipathy|Mentalism=8|Mind Blank|Mentalism=9|Astral Projection	DESC:Once per day, as a standard action, you can generate a mental ward, granting a creature you touch a resistance bonus on its next Will saving throw equal to %1. The mental ward is an abjuration effect with a duration of 1 hour.|classlevel("Cleric")+2					
Metal	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Metal=1|Magic Weapon|Metal=2|Heat Metal|Metal=3|Keen Edge|Metal=4|Rusting Grasp|Metal=5|Wall of Iron|Metal=6|Blade Barrier|Metal=7|Transmute Metal to Wood|Metal=8|Iron Body|Metal=9|Repel Metal or Stone	DESC:You gain Martial Weapon Proficiency and Weapon Focus as bonus feats for either the Light Hammer or the Warhammer.	BONUS:ABILITYPOOL|Domain Metal ~ Weapon Focus|1				
Mind	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Mind=1|Comprehend Languages|Mind=2|Detect Thoughts|Mind=3|Telepathic Bond (Lesser)|Mind=4|Discern Lies|Mind=5|Rary's Telepathic Bond|Mind=6|Probe Thoughts|Mind=7|Brain Spider|Mind=8|Mind Blank|Mind=9|Weird	DESC:Gain a +2 bonus on Bluff, Diplomacy, and Sense Motive checks.	BONUS:SKILL|Bluff,Diplomacy,Sense Motive|2				
Moon	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Moon=1|Faerie Fire|Moon=2|Moonbeam|Moon=3|Moon Blade|Moon=4|Fear|Moon=5|Moon Path|Moon=6|Permanent Image|Moon=7|Insanity|Moon=8|Animal Shapes|Moon=9|Moonfire	DESC:You can turn or destroy lycanthrope creatures as a good cleric turns undead. Use these abilities %1 times per day|3+CHA	BONUS:ABILITYPOOL|Turn Lycanthrope|1|TYPE=DomainAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|classlevel("Cleric")|TYPE=Level.REPLACE	ABILITY:Special Ability|AUTOMATIC|Basic Turning|Domain ~ Lycanthrope Turning		
Mysticism	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Mysticism=1|Divine Favor|Mysticism=2|Spiritual Weapon|Mysticism=3|Visage of the Deity (Lesser)|Mysticism=4|Weapon of the Deity|Mysticism=5|Righteous Might|Mysticism=6|Visage of the Deity|Mysticism=9|Visage of the Deity (Greater)	DESC:Once per day, you may use a free action to channel your deitys power to grant yourself a luck bonus of +%1 on your saving throws. This is a supernatural ability and its effects last for %2 rounds|max(1,var(CHA))|classlevel("Cleric")	ABILITY:Special Ability|VIRTUAL|Domain ~ Mysticism Spell Good|PREALIGN:LG,NG,CG	ABILITY:Special Ability|VIRTUAL|Domain ~ Mysticism Spell Evil|PREALIGN:LE,NE,CE
Nobility	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Nobility=1|Divine Favor|Nobility=2|Enthrall|Nobility=3|Magic Vestment|Nobility=4|Discern Lies|Nobility=5|Command (Greater)|Nobility=6|Geas/Quest|Nobility=7|Repulsion|Nobility=8|Demand|Nobility=9|Storm of Vengeance	DESC:Once per day, as a standard action, you may inspire allies, giving them a +2 morale bonus on saving throws, attack rolls, damage rolls, ability checks and skill checks. Allies must be able to hear you speak for 1 round. This effect lasts %1 rounds|max(1,CHA)					
Ocean	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Ocean=1|Endure Elements|Ocean=2|Sound Burst|Ocean=3|Water Breathing|Ocean=4|Freedom of Movement|Ocean=5|Wall of Ice|Ocean=6|Otiluke's Freezing Sphere|Ocean=7|Waterspout|Ocean=8|Maelstrom|Ocean=9|Elemental Swarm ~ Water	DESC:You have the superantural ability to breaath water as Water Breathing spell for %1 minute/level a day.|classlevel("Cleric")					
Oracle	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Oracle=1|Identify|Oracle=2|Augury|Oracle=3|Divination|Oracle=4|Scrying|Oracle=5|Commune|Oracle=6|Legend Lore|Oracle=7|Scrying (Greater)|Oracle=8|Discern Location|Oracle=9|Foresight	DESC:You cast all divination spells at +2 caster levels.	BONUS:CASTERLEVEL|SCHOOL.Divination|2|PRERULE:1,SYS_DOMAIN				
Orc	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Orc=1|Cause Fear|Orc=2|Produce Flame|Orc=3|Prayer|Orc=4|Divine Power|Orc=5|Prying Eyes|Orc=6|Eyebite|Orc=7|Blasphemy|Orc=8|Cloak of Chaos|Orc=9|Power Word Kill	DESC:You gain the smite power, the ability to make a single melee attack with a bonus on the damage roll equal to your cleric level (if you hit). You must declare the smite before making the attack. It is usable once per day. If used against a dwarf or an elf, you get a +4 bonus on the smite attack roll.	ABILITY:Special Ability|AUTOMATIC|Domain ~ Smite Any Creature|Smite Any Creature				
Pact	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Pact=1|Command|Pact=2|Shield Other|Pact=3|Speak with Dead|Pact=4|Divination|Pact=5|Stalwart Pact|Pact=6|Zealot Pact|Pact=7|Renewal Pact|Pact=8|Death Pact|Pact=9|Gate	DESC:Add Appraise, Intimidate, and Sense Motive to your list of cleric class skills.	CSKILL:Appraise|Intimidate|Sense Motive				
Pestilence	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Pestilence=1|Doom|Pestilence=2|Summon Swarm|Pestilence=3|Contagion|Pestilence=4|Poison|Pestilence=5|Plague of Rats|Pestilence=6|Curse of Lycanthropy|Pestilence=7|Scourge|Pestilence=8|Horrid Wilting|Pestilence=9|Otyugh Swarm	DESC:Immunity to the effects of all diseases, though clerics with this power can still carry infectious diseases.	ABILITY:Special Ability|AUTOMATIC|Immunity To Disease				
Planning	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Planning=1|Deathwatch|Planning=2|Augury|Planning=3|Clairaudience/Clairvoyance|Planning=4|Status|Planning=5|Detect Scrying|Planning=6|Heroes' Feast|Planning=7|Scrying (Greater)|Planning=8|Discern Location|Planning=9|Time Stop	DESC:You gain Extend Spell as banus feat.	AUTO:FEAT|Extend Spell				
Portal	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Portal=1|Summon Monster I|Portal=2|Analyze Portal|Portal=3|Dimensional Anchor|Portal=4|Dimension Door|Portal=5|Teleport|Portal=6|Banishment|Portal=7|Etherealness|Portal=8|Maze|Portal=9|Gate	DESC:You can detect an active or inactive Portal as it were a normal secret door. (DC 20)					
Pride	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Pride=1|Hypnotism|Pride=2|Eagle's Splendor|Pride=3|Heroism|Pride=4|Divine Power|Pride=5|Reduce Person (Mass)|Pride=6|Forbiddance|Pride=7|Heroism (Greater)|Pride=8|Spell Immunity (Greater)|Pride=9|Charm Monster (Mass)	DESC:Whenever you roll a 1 on a saving throw, you can immediately reroll the save. You must keep the result of the second roll, even if it is another 1.					
Purification	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Purification=1|Nimbus of Light|Purification=2|Deific Vengeance|Purification=3|Recitation|Purification=4|Castigate|Purification=5|Dance of the Unicorn|Purification=6|Fires of Purity|Purification=7|Righteous Wrath of the Faithful|Purification=8|Sunburst|Purification=9|Visage of the Deity (Greater)	DESC:You cast all abjuration spells at +1 caster level.	BONUS:CASTERLEVEL|SCHOOL.Abjuration|1|PRERULE:1,SYS_DOMAIN				
Renewal	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Renewal=1|Charm Person|Renewal=2|Restoration (Lesser)|Renewal=3|Remove Disease|Renewal=4|Reincarnate|Renewal=5|Atonement|Renewal=6|Heroes' Feast|Renewal=7|Restoration (Greater)|Renewal=8|Polymorph Any Object|Renewal=9|Freedom	DESC:If you fall below 0 hp, you regain 1d8+%1 hp once per day. If an attack brings you to -10 hit points or lower, you die before this power takes effect.|CHA					
Retribution	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Retribution=1|Shield of Faith|Retribution=2|Bear's Endurance|Retribution=3|Speak with Dead|Retribution=4|Fire Shield|Retribution=5|Mark of Justice|Retribution=6|Banishment|Retribution=7|Spell Turning|Retribution=8|Discern Location|Retribution=9|Storm of Vengeance	DESC:Once per day, if you have been harmed by someone in combat, you can make a strike of vengeance with a melee or ranged weapon against that foe on your next action. If thie strike hits, you deal maximum damage.					
Rune	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Rune=1|Erase|Rune=2|Secret Page|Rune=3|Glyph of Warding|Rune=4|Explosive Runes|Rune=5|Planar Binding (Lesser)|Rune=6|Glyph of Warding (Greater)|Rune=7|Drawmij's Instant Summons|Rune=8|Symbol of Death|Rune=9|Teleportation Circle	DESC:You gain Scribe Scroll as a bonus feat.	AUTO:FEAT|Scribe Scroll				
Scalykind	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Scalykind=1|Magic Fang|Scalykind=2|Animal Trance|Scalykind=3|Magic Fang (Greater)|Scalykind=4|Poison|Scalykind=5|Animal Growth|Scalykind=6|Eyebite|Scalykind=7|Creeping Doom|Scalykind=8|Animal Shapes|Scalykind=9|Shapechange	DESC:You can rebuke or command animals (reptilian creatures and snakes only) creatures as a evil cleric rebuke or command undead. Use these abilities %1 times per day|3+CHA	BONUS:ABILITYPOOL|Turn Scalykind|1|TYPE=DomainAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|classlevel("Cleric")|TYPE=Level.REPLACE	ABILITY:Special Ability|AUTOMATIC|Basic Turning|Domain ~ Scalykind Turning		
Slime	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Slime=1|Grease|Slime=2|Melf's Acid Arrow|Slime=3|Poison|Slime=4|Rusting Grasp|Slime=5|Evard's Black Tentacles|Slime=6|Transmute Rock to Mud|Slime=7|Destruction|Slime=8|Power Word Blind|Slime=9|Implosion	DESC:You can rebuke or command oozes as a evil cleric rebuke or command undead. Use these abilities %1 times per day|3+CHA	BONUS:ABILITYPOOL|Turn Ooze|1|TYPE=DomainAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|classlevel("Cleric")|TYPE=Level.REPLACE	ABILITY:Special Ability|AUTOMATIC|Basic Turning|Domain ~ Ooze Turning		
Sloth	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Sloth=1|Touch of Fatigue|Sloth=2|Unseen Servant|Sloth=3|Deep Slumber|Sloth=4|Slow|Sloth=5|Symbol of Sleep|Sloth=6|Waves of Fatigue|Sloth=7|Shadow Walk|Sloth=8|Waves of Exhaustion|Sloth=9|Astral Projection	DESC:You are closest to your god while lazing and relaxing. You take no penalty to Armor Class against melee attacks while prone.					
Spell	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Spell=1|Mage Armor|Spell=2|Silence|Spell=3|Anyspell|Spell=4|Rary's Mnemonic Enhancer|Spell=5|Break Enchantment|Spell=6|Anyspell (Greater)|Spell=7|Limited Wish|Spell=8|Antimagic Field|Spell=9|Mordenkainen's Disjunction	DESC:You gain +2 bonus on Concentration and Spellcraft checks	BONUS:SKILL|Concentration,Spellcraft|2				
Spider	SOURCEPAGE:SpC	SPELLLEVEL:DOMAIN|Spider=1|Spider Climb|Spider=2|Summon Swarm|Spider=3|Phantom Steed|Spider=4|Giant Vermin|Spider=5|Insect Plague|Spider=6|Spider Curse|Spider=7|Stone Spiders|Spider=8|Creeping Doom|Spider=9|Spider Shapes	DESC:You can rebuke or command spiders as a evil cleric rebuke or command undead. Use these abilities %1 times per day|3+CHA	BONUS:ABILITYPOOL|Turn Spider|1|TYPE=DomainAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|classlevel("Cleric")|TYPE=Level.REPLACE	ABILITY:Special Ability|AUTOMATIC|Basic Turning|Domain ~ Spider Turning		
