SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																											
																													
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose			
Tortoise Shell			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Grants +6 enhancement bonus to subject's existing natural armor bonus, plus 1 per three caster levels beyond 11th [max +9].	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|AC|6+min(3,(%CHOICE-11)/3)|TYPE=NaturalArmorEnhancement			CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level			
Touch of Madness			TYPE:Divine			SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Daze one living creature for duration of spell. Creature cannot take any actions.	SOURCEPAGE:SpC											
Towering Oak			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gain +10 competence bonus on Intimidation checks and +2 Str bonus.	SOURCEPAGE:SpC							TEMPBONUS:PC|STAT|STR|4|TYPE=Enhancement		TEMPBONUS:PC|SKILL|Intimidate|10|TYPE=Competence		
Train Animal			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Enchantment	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Animal Touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You temporarily boost the number of tricks that an animal knows.	SOURCEPAGE:SpC								CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:ANYPC|ABILITYPOOL|Animal Trick|3		
Transcribe Symbol			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Magic symbol touched.		DURATION:10 minutes or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Allows you to touch an untriggered magic sigil without setting it off. The touched sigil is held by you as a touch spell.	SOURCEPAGE:SpC											
Transfix			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:10-ft-radius emanation centered on a point in space.		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Paralyze medium or smaller humanoids.	SOURCEPAGE:SpC											
Translocation Trick			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and one creature.		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Switch places and both under the Disguise Self spell impersonating each other.	SOURCEPAGE:SpC											
Transmute Rock to Lava			TYPE:Arcane.Divine	CLASSES:Druid=9|Sorcerer,Wizard=9		SCHOOL:Transmutation		DESCRIPTOR:Earth|Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 10-ft cube.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:Create lava, those that fail take 20d6 each round.	SOURCEPAGE:SpC											
Traveller's Mount			TYPE:Divine	CLASSES:Blackguard=1|Druid=1|Paladin=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal or Magical Beast touched.		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:+20 feet enhancement bonus to speed but cannot attack during the duration of the spell.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|MOVEADD|TYPE.Walk|20|TYPE=Enhancement		
Treasure Scent			TYPE:Arcane.Divine	CLASSES:Bard=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Detect copper, silver, gold, platinum, and gems within 30 feet.	SOURCEPAGE:SpC											
Tremor			TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Evocation		DESCRIPTOR:Earth	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:40-ft-radius spread.		DURATION:1 round/3 levels	SAVEINFO:See text	SPELLRES:No	DESC:Disrupts concentration.	SOURCEPAGE:SpC											
Tremorsense			TYPE:Arcane.Divine	CLASSES:Ranger=2|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You can automatically pinpoint the location of any object or creature within 30 feet that is in contact with the ground.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellTremorsense|1		
Triadspell			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Cast one 3rd or lower spell an additional two times.	SOURCEPAGE:SpC											
True Creation			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M, XP	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:Unattended, nonmagical object of nonliving matter, up to 1 cu ft/level.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Create a nonmagical unattended object of any sort of matter.	SOURCEPAGE:SpC			XPCOST:50								
True Domination			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid.		DURATION:24 hours/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As dominate person, but save at -4.	SOURCEPAGE:SpC											
Tsunami			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Long	TARGETAREA:20-ft/level wide, 10-ft long, 40-ft high wave of water.		DURATION:Concentration, up to 1 round/level	SAVEINFO:Fort partial (object)	SPELLRES:No	DESC:Create a towering tsunami.	SOURCEPAGE:SpC		COST:5000									
Tunnel Swallow			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Tunnel section up to 20-ft in diameter and up to 50-ft long.		DURATION:Instantaneous	SAVEINFO:Reflex partial, See text	SPELLRES:No	DESC:Moves objects and creatures in a direction you choose which causes 1d6 damage per caster level [max 15d6].	SOURCEPAGE:SpC											
Unbinding			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:180-ft.	TARGETAREA:180-ft-radius burst centered on you.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Burst of force erupts from your body and magically destroys any spells that contain, constrain, or seal, with the exceptions noted in the text.	SOURCEPAGE:SpC											
Undead Bane Weapon			TYPE:Divine	CLASSES:Cleric=4|Paladin=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched or fifty projectiles (all of which be in contact with each other at the time of casting).		DURATION:1 hour/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Give weapon touched undead bane special ability, add +2 enhancement bonus and deals +2d6 of bonus damage.	SOURCEPAGE:SpC											
Undead Lieutenant			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One undead creature.		DURATION:24 hours	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:One intelligent undead is granted control over the undead you control.	SOURCEPAGE:SpC											
Undead Torch			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One corporeal undead/level, no two of which are more than 30-ft apart.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target deals additional 2d4 damage to living creatures.	SOURCEPAGE:SpC											
Undeath's Eternal Foe			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/5 levels.		DURATION:1 round/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Grant subjects special abilities against undead.	SOURCEPAGE:SpC											
Undermaster			TYPE:Arcane.Divine	CLASSES:Druid=9|Sorcerer,Wizard=9		SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:5 rounds	SAVEINFO:None	SPELLRES:No	DESC:Gain mastery over earth able to cast earth spells.	SOURCEPAGE:SpC		COST:500									
Undersong			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Allows you to make a perform check in place of a concentration.	SOURCEPAGE:SpC											
Unholy Storm			TYPE:Divine	CLASSES:Blackguard=3|Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil|Water	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:Cylinder (20-ft radius, 20-ft high).		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Driving rain falls around you, it falls in a fixed area once created. 2D6 damages/round to good creatures.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|SKILL|Listen,Spot,Search|-4		
Unluck			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target must roll two dice and keep worse of the two.	SOURCEPAGE:SpC											
Unyelding Roots			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing creature touched.		DURATION:1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Creature cannot move from the current space.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|CHECKS|Fortitude,Will|4	TEMPBONUS:ANYPC|CHECKS|Reflex|-4	
Updraft			TYPE:Divine	CLASSES:Cleric=1|Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Air	COMPS:V, S, M	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Gain 10 ft. per level of altitude, and then gently float back to the ground.	SOURCEPAGE:SpC											
Valiant Fury			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:+4 Str, Con, +2 Will Saves, make one additional attack.	SOURCEPAGE:SpC							TEMPBONUS:ANYPC|STAT|STR,CON|4|TYPE=Morale		TEMPBONUS:ANYPC|CHECKS|Will|2|TYPE=Morale		
Veil of Shadow			TYPE:Arcane.Divine	CLASSES:Assassin=2|Blackguard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Darkness	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Grants you a 20%% miss chance from concealment.	SOURCEPAGE:SpC											
Veil of Undeath			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Gain the traits of undead creatures.	SOURCEPAGE:SpC											
Vigor			TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:10 rounds + 1 round/level (max 25 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Same as lesser vigor except it grants target fast healing ability for the duration of the spell at 2 hp automatically healed per round.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellVigor|1		
Vigor (Greater)	OUTPUTNAME:Vigor, Greater		TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:10 rounds + 1 round/level (max 35 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Same as lesser vigor except it grants target fast healing ability for the duration of the spell at 4 hp automatically healed per round.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellVigorGreater|1		
Vigor (Lesser)	OUTPUTNAME:Vigor, Lesser		TYPE:Divine	CLASSES:Cleric=1|Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:10 rounds + 1 round/level (max 15 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grants target fast healing ability for the duration of the spell. Heals 1 hp automatically per round.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellVigorLesser|1		
Vigor (Mass/Lesser)	OUTPUTNAME:Vigor, Mass Lesser		TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:10 rounds + 1 round/level (max 25 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Same as lesser vigor except it grants all targets fast healing ability for the duration of the spell at 1 hp automatically healed per round.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellVigorMassLesser|1		
Vigorous Circle			TYPE:Divine	CLASSES:Cleric=6|Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:10 rounds + 1 round/level (max 40 rounds)	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Same as mass lesser vigor except it grants all targets fast healing ability for the duration of the spell at 3 hp automatically healed per round.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpelVigorousCircle|1		
Vile Death			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	COMPS:V, S, M, XP	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:One corporeal undead creature.		DURATION:Permanent	SAVEINFO:None	SPELLRES:Yes	DESC:Bind the spirit of a fiend to an undead creature. Applies fiendish template to creature [MM 108], the creature acts independent of you.	SOURCEPAGE:SpC		COST:500	XPCOST:100						TEMPBONUS:ANYPC|VAR|SpellVileDeath|1		
Vine Mine			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft-radius/level spread.		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Creates a rapid growth of vines.	SOURCEPAGE:SpC											
Vine Stike			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Divination			COMPS:V, DF	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Allows sneak attacks against plants if you already have the ability.	SOURCEPAGE:SpC											
Vipergout		VARIANTS:Celestial|Fiendish	TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:1d4+3 summoned creatures.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Summons 1d4+1 fiendish or celestial Medium vipers [snakes] that attack your enemies.	SOURCEPAGE:SpC											
Visage of the Deity		VARIANTS:Good|Evil	TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your form becomes more like your deity's	SOURCEPAGE:SpC									TEMPBONUS:PC|VAR|SpellVisageOfTheDeity|1		
Visage of the Deity (Greater)	OUTPUTNAME:Visage of the Deity, Greater	VARIANTS:Good|Evil	TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your form becomes more like your deity's	SOURCEPAGE:SpC									TEMPBONUS:PC|VAR|SpellVisageOfTheDeityGreater|1		
Visage of the Deity (Lesser)	OUTPUTNAME:Visage of the Deity, Lesser	VARIANTS:Good|Evil	TYPE:Divine	CLASSES:Blackguard=4|Cleric=3|Paladin=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your form becomes more like your deity's	SOURCEPAGE:SpC							TEMPBONUS:PC|STAT|CHA|4|TYPE=Enhancement		TEMPBONUS:PC|VAR|SpellVisageOfTheDeityLesser|1		
Viscid Glob			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 hour/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Ranged touch attack [chance to still hit as grenade], Medium or smaller creature must save or be stuck in place.	SOURCEPAGE:SpC											
Vision of Glory			TYPE:Divine	CLASSES:Cleric=1|Paladin=1		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute or until discharged	SAVEINFO:None	SPELLRES:Yes	DESC:Grants a +1 morale bonus to a single saving throw [target's choice].	SOURCEPAGE:SpC											
Vitriolic Sphere			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:10-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Reflex partial, See text	SPELLRES:No	DESC:Affected creatures take 6d6 acid damage [save for half], those that fail take another 6d6 for additional 2 rounds.	SOURCEPAGE:SpC											
Voice of the Dragon			TYPE:Arcane.Divine	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:+10 enhancement bonus to Bluff, Diplomacy, and Intimidate checks. You also gain the ability to speak and understand Draconic. Also gain the ability to use suggestion.	SOURCEPAGE:SpC									TEMPBONUS:PC|SKILL|Bluff,Diplomacy,Intimidate|10|TYPE=Enhancement		
Vortex of Teeth			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Hollow cylinder (40-ft radius, 20-ft high, with a 5-ft radius safe zone at center).		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Creatures in the area take 3d8 damage per round, it also harms incorporeal creatures.	SOURCEPAGE:SpC											
Vulnerability			TYPE:Arcane.Divine	CLASSES:Assassin=4|Cleric=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Lowers subject's damage reduction by 5 [to a minimum 5].	SOURCEPAGE:SpC											
Wail of Doom			TYPE:Arcane	CLASSES:Bard=5		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting|Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped burst.		DURATION:Instantaneous + 1round/level or 1 round.	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Causes 1d4 damage/caster level [max 15d4] and demoralizes.	SOURCEPAGE:SpC											
Wall of Chaos			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level or a sphere or hemisphere with radius of up to 5-ft/2 levels.		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:+2 to AC and saves,  counter mind control, hedge out elementals and outsiders in 10-ft. radius and 10 minutes/level from the designated hostile side.	SOURCEPAGE:SpC		COST:25									
Wall of Dispel Magic			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A straight wall whose area is up to one 10-ft square/level.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Anyone crossing is subject to dispel magic.	SOURCEPAGE:SpC											
