SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Field of Ghouls			TYPE:Divine			SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius emanation, centered on you.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creates ghouls from badly wounded creatures [max 4HD/level].	SOURCEPAGE:SpC												
Field of Icy Razors			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/level, no two of which are more than 60 ft. Apart.		DURATION:Instantaneous + 1 round/level	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:Sharp crystals fill the area inflicting 1d6/caster level [max 20d6] damage; see text.	SOURCEPAGE:SpC		COST:50										
Fiendform			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As alter self, except you take the form of any fiendish creature from summon monster IV or lower. Gain all abilities.	SOURCEPAGE:SpC												
Fierce Pride of the Beastland			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaotic|Good	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which are more than 30 ft. Apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Summons 2d4 celestial lions with maximum hit points; see text.	SOURCEPAGE:SpC												
Find the Gap			TYPE:Divine	CLASSES:Assassin=3|Paladin=3|Ranger=3		SCHOOL:Divination			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your first attack each round acts as a touch attack.	SOURCEPAGE:SpC												
Find Temple			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:10 miles + 1 mile/level	TARGETAREA:Circle centered on you, with a radius of 10 miles + 1 mile/level.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Sense nearest sanctuary of your deity.	SOURCEPAGE:SpC												
Fins to Feet			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing creature touched.		DURATION:1 hour/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Creatures lose swim speed but gain walk speed of 30 ft.	SOURCEPAGE:SpC												
Fire Shield (Mass)	OUTPUTNAME:Fire Shield, Mass	VARIANTS:Fire|Cold	TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire|Cold	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more allied creatures, no two of which are more than 30 ft. Apart.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Creatures attacking subjects take fire damage; you're protected from heat or cold.	SOURCEPAGE:SpC												
Fire Shuriken			TYPE:Arcane	CLASSES:Assassin=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:One magic shuriken/3 levels.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Shuriken with range increment 10 ft, threaten 19-20, deals 3d6 damage fire damage. Add any sneak, Str bonus you have.	SOURCEPAGE:SpC												
Fire Spiders			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Fiery spiders that cover a 10-ft-radius spread.		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Spiders deals 4d6 fire damage to any creature in the same square as the swarm.	SOURCEPAGE:SpC												
Fire Stride			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level or until expended	SAVEINFO:None	SPELLRES:No	DESC:You gain the ability to teleport in fires within 400 ft. + 40 ft/level. You may do so once per caster level times; see text.	SOURCEPAGE:SpC												
Fire Wings			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Attack or Fly; see text.	SOURCEPAGE:SpC		COST:150										
Firebrand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 5-ft-radius burst/level.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Each burst deals 1d6/caster level [max 10d6] and on 2nd round 1d6/2 caster levels [max 5d6].	SOURCEPAGE:SpC		COST:20										
Fireburst			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:Burst of fire extending 10 ft from you.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:All creatures within range take 1d8/caster level [max 5d8] of fire damage.	SOURCEPAGE:SpC												
Fireburst (Greater)	OUTPUTNAME:Fireburst, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:Burst of fire extending 15 ft from you.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:All creatures within range take 1d10/caster level [max 15d10] of fire damage.	SOURCEPAGE:SpC												
Fires of Purity			TYPE:Arcane.Divine	CLASSES:Druid=6|Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:See text (harmless)	SPELLRES:Yes	DESC:Deal an extra 1 pt/caster level [max 15 pts] of fire damage to any you attack or attack you.	SOURCEPAGE:SpC												
Fireward			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 20-ft cube/level.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:As quench; suppresses all magical fire spells	SOURCEPAGE:SpC												
Fist of Stone			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Gain +6 enhancement to Strength and deal 1d6 plus your new Strength bonus.	SOURCEPAGE:SpC							TEMPBONUS:PC|STAT|STR|6|TYPE=Enhancement			TEMPBONUS:PC|VAR|SpellFistOfStone|1		
Flame Dagger			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:A daggerlike beam		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Melee touch attacks with a red beam deals 1d4 +1/caster level [max +10].	SOURCEPAGE:SpC												
Flame of Faith			TYPE:Divine	CLASSES:Cleric=3|Paladin=2		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Nonmagical weapon touched.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Normal or masterwork weapon becomes temporary +1 flaming burst weapon.	SOURCEPAGE:SpC												
Flame Whips			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gain two melee touch attacks with 15-ft reach that deal 6d6 fire damage each.	SOURCEPAGE:SpC												
Flashburst			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Dazzle all within the area for 1 round, failed save and blinded for 2d8 rounds.	SOURCEPAGE:SpC												
Flensing			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One corporeal creature.		DURATION:4 rounds	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Strips flesh from one creature; each round takes 2d6 damage, 1d6 Charisma damage and 1d6 constitution damage.	SOURCEPAGE:SpC												
Fleshshiver			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Stun target for 1 round [no save] if they have less HD than you; 2nd round save or take (CASTERLEVEL)d6 points and be nauseated by pain for 1d4+2 rounds.	SOURCEPAGE:SpC												
Flight of the Dragon			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Gain flight speed 100 ft.	SOURCEPAGE:SpC												
Floating Disk (Greater)	OUTPUTNAME:Floating Disk, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:3-ft-diameter disk of force.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:As Tenser's floating disk, see text.	SOURCEPAGE:SpC												
Fly (Mass)	OUTPUTNAME:Fly, Mass		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As fly, except all targets gain flight.	SOURCEPAGE:SpC												
Fly (Swift)	OUTPUTNAME:Fly, Swift		TYPE:Arcane	CLASSES:Bard=2|Druid=3|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell functions like fly, except as noted.|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:SpC												
Focusing Chant			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Gain +1 bonus on attack rolls, skill checks and ability checks.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|TOHIT|1|TYPE=Circumstance				TEMPBONUS:PC|SKILL|ALL|1|TYPE=Circumstance			
Foebane			TYPE:Divine	CLASSES:Ranger=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.		DURATION:1 round/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Create +5 magic weapon with addtional 2d6 points of damage; see text.	SOURCEPAGE:SpC												
Force Chest			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:Box of force 2 ft on a side.		DURATION:24 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Create a lidded box of force.	SOURCEPAGE:SpC												
Force Claw			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Invisible claw of force.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Creates a claw to guard or attack creature; see text	SOURCEPAGE:SpC												
Force Ladder			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One ladder of force up to 60 ft long.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creates a ladder from 10 to 60 ft. long by 2 ft. Wide.	SOURCEPAGE:SpC		COST:50										
Force Missiles			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to four creature, not two of which are more than 30 ft. Apart.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Each missile deals 2d6 to target and half to any adjacent creature.	SOURCEPAGE:SpC												
Forceward			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 full round	RANGE:15-ft.	TARGETAREA:15-ft-radius sphere, centered on you.		DURATION:1 minute/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Create an unmoving, transparent sphere of force centered on you; see text	SOURCEPAGE:SpC												
Forceweave			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 swift action	RANGE:10-ft.	TARGETAREA:10-ft burst of force, centered on you.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Spell bull rushes all creatures within 10 ft. +10 bonus to bull rush.	SOURCEPAGE:SpC												
Forestfold			TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Grants +10 competence bonus on Hide and Move Silently checks while on the chosen kind of terrain.	SOURCEPAGE:SpC												
Fortify Familiar			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Universal			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Familiar touched.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Grants 2d8 hp, +2 natural AC, 25%% chance to avoid extra damage from critical hits and sneak damage.	SOURCEPAGE:SpC										TEMPBONUS:PC|VAR|SpellFortifyFamiliar|1		
Fortunate Fate			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:10 minutes/level or until discharged	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:If an attack would kill target she is healed as if by a heal spell.	SOURCEPAGE:SpC												
Foundation of Stone			TYPE:Divine	CLASSES:Cleric=1|Druid=1		SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As long as subjects don't move they gain +2 AC and +4 to Str against bull rush.	SOURCEPAGE:SpC												
Freeze			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.		DURATION:1 round/2 levels	SAVEINFO:Reflex partial; See text	SPELLRES:Yes	DESC:Ranged touch attack deals 2d6 cold damage; see text	SOURCEPAGE:SpC												
Freezing Fog			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spread in a 20-ft radius, 20-ft high.		DURATION:1 minute/level	SAVEINFO:Reflex partial; See text	SPELLRES:No	DESC:Grants concealment and inflicts 1d6 damage each round.	SOURCEPAGE:SpC												
Frost Breath			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped burst.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Breath a cone of cold that deal 1d4/2 caster levels [max 5d4] and creatures are also dazed if they failed the Reflex save.	SOURCEPAGE:SpC												
Fugue			TYPE:Arcane	CLASSES:Bard=4		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius spread.		DURATION:Concentration, up to 1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Those that fail the save act in random ways according to chart; see text	SOURCEPAGE:SpC												
Fuse Arms			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature with at least two arms or tentacles touched.		DURATION:10 minutes/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Gain +4 Str for every set of limbs fused to the primary limb.	SOURCEPAGE:SpC												
G'Elsewhere Chant			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Conjuration		DESCRIPTOR:Sonic|Teleportation	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or object touched.		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Teleport a target randomly to safe location up to 100 feet and visible to you.	SOURCEPAGE:SpC												
Gembomb			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Gem touched.		DURATION:10 minutes/level or until used	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Gem becomes a bomb that only you can use. Deals 1d8/2 caster level [max 5d8].	SOURCEPAGE:SpC		COST:1										
Gemjump			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration		DESCRIPTOR:Teleportation	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Unlimited	TARGETAREA:You and willing creatures totaling up to one/3 levels; see text		DURATION:Until triggered	SAVEINFO:None; See text	SPELLRES:No	DESC:Teleports you to the location a specially prepared gem; see text	SOURCEPAGE:SpC		COST:500										
General of Undeath			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Increases the amount of HD of undead you can control.	SOURCEPAGE:SpC												
Ghost Touch Armor			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Armor of creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Armor gains Ghost Touch property.	SOURCEPAGE:SpC												
Ghost Touch Weapon			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon or fifty projectiles (all of which must be in contact with each other at the time of casting).		DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Hit incorporeal normally.	SOURCEPAGE:SpC												
Ghost Trap			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:5-ft/level.	TARGETAREA:5-ft/level radius emanation centered on you.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Field of energy negates incorporealness within a 5 ft./caster level radius.	SOURCEPAGE:SpC												
Ghostform			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Become incorporeal and visible as a ghost.	SOURCEPAGE:SpC										TEMPBONUS:PC|VAR|SpellGhostform|1		
Ghostharp			TYPE:Arcane	CLASSES:Bard=0		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Object touched.		DURATION:5 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Object records and replays a song previously played or sung in its vicinity within the last day.	SOURCEPAGE:SpC												
Ghoul Gauntlet			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living humanoid creature.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Turn target into a ghoul; see text.	SOURCEPAGE:SpC												
Ghoul Gesture			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Paralyze or sicken target.	SOURCEPAGE:SpC												
Ghoul Glyph			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Object touched.		DURATION:Permanent until discharged	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Create a glyph.	SOURCEPAGE:SpC												
