SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Scintillating Scales			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Transforms your natural bonus to Armor Class into a deflection bonus to your Armor Class.	SOURCEPAGE:SpC												
Scintillating Sphere			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:As fireball, 1d6/caster level [max 10d6] of electrical damage.	SOURCEPAGE:SpC												
Scorch		KEY:Aganazzar's Scorcher	TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft line.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Deal 1d8/2 caster levels [max 5d8] to all in the area of affect.	SOURCEPAGE:SpC												
Scourge			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One living creature/level, no two of which are more than 50-ft. Apart.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Inflicts a disease that must be magically cured. Deals 1d6 Str &amp; Dex damage each day.	SOURCEPAGE:SpC												
Scramble Portal			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Chaotic	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar gate or portal.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Randomize the destination of a portal.	SOURCEPAGE:SpC												
Seal Portal			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar gate or portal.		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Permanently seal an interplanar portal.	SOURCEPAGE:SpC		COST:50										
Second Wind			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous + 1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Removes fatigue and povides +4 bonus on Con checks.	SOURCEPAGE:SpC												
Seek Eternal Rest			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Conjuration			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Improves your turning ability to that of a cleric.	SOURCEPAGE:SpC												
Sense Heretic			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Any evil creature with the ability to cast divine spells causes the object to glow a soft blue radiance.	SOURCEPAGE:SpC												
Sendory Deprivation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will disbelief	SPELLRES:Yes	DESC:Creates illusion of absolute nothingness.	SOURCEPAGE:SpC												
Serene Visage			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Gain insight bonus equal to half your caster level on bluff checks [max +10].	SOURCEPAGE:SpC								CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:PC|SKILL|Bluff|min(%CHOICE/2,10)|TYPE=Insight			
Servant Horde			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Invisible, mindless, shapeless servant.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates 2d6 +1 per caster level [max +15] unseen servants.	SOURCEPAGE:SpC												
Shadow Binding			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius burst.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Entangle and Daze opponents.	SOURCEPAGE:SpC												
Shadow Cache			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:1-ft-diameter circle.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You can temporarily stash small items on the Plane of Shadow or dispose of them.	SOURCEPAGE:SpC												
Shadow Form			TYPE:Arcane	CLASSES:Assassin=4|Sorcerer,Wizard=5		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Gain powers with shadow enhancement. +4 competence bonus Escape Artist, Hide and Move Silently; 5 or more ranks in Escape Artist you can attempt to slip through solid object.	SOURCEPAGE:SpC									TEMPBONUS:PC|SKILL|Escape Artist,Hide,Move Silently|4|TYPE=Competence	TEMPBONUS:PC|VAR|SpellShadowForm|1		
Shadow Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Medium shadowy hand.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Create a versatile hand capable of many tasks, including defense or offense.	SOURCEPAGE:SpC												
Shadow Landscape			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, DF	CASTTIME:1 hour	RANGE:Long	TARGETAREA:One-mile-radius spread centered on a point in space.		DURATION:24 hours/level	SAVEINFO:Reflex partial; See text	SPELLRES:Yes	DESC:Make an area more dangerous.	SOURCEPAGE:SpC												
Shadow Phase			TYPE:Arcane	CLASSES:Assassin=4|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Nonmagical physical attacks suffer a 50%% miss chance against target.	SOURCEPAGE:SpC												
Shadow Mask			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Hides you face and allows you to avoid certain effects from light and darkness.	SOURCEPAGE:SpC									TEMPBONUS:PC|VAR|SpellShadowMask|1			
Shadow Radiance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius burst, centered on a point in space.		DURATION:1 round/level	SAVEINFO:Will disbelief	SPELLRES:Yes	DESC:Those that fail the save are blinded 1 round.	SOURCEPAGE:SpC												
Shadow Spray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft-radius burst.		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Creatures take 4 points of strength damage, dazed for 1 round, and suffer -2 morale penalty against fear spells.	SOURCEPAGE:SpC							TEMPBONUS:ANYPC|STAT|STR|-4					
Shadow Well			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Creates a shadow pocket realm, target is subject to fear effects.	SOURCEPAGE:SpC												
Shadowblast			TYPE:Divine	CLASSES:Cleric=4|Druid=4		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius spread.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Creatures stunned for 1d6 rounds; natives of shadow vulnerable take damage.	SOURCEPAGE:SpC												
Shadowfade			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 10-ft portal to the Plane of Shadow.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Open a 10-foot-diameter portal.	SOURCEPAGE:SpC												
Shadowy Grappler			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 rounds	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will partial; See text	SPELLRES:Yes	DESC:Create a shadowy force that automatically grabs the target.	SOURCEPAGE:SpC												
Shard Storm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or more 20-ft-radius burst of piercing force.		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Once per round you cause 3d6 force to those in area.	SOURCEPAGE:SpC												
Share Husk			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You can sense all the stimuli the target animal senses.	SOURCEPAGE:SpC												
Sharptooth			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Increase the size category of one natural attack you possess.	SOURCEPAGE:SpC								CHOOSE:WEAPONPROFICIENCY|PC[TYPE=Natural]|PC[TYPE=Unarmed]	TEMPBONUS:PC|WEAPONPROF=%LIST|DAMAGESIZE|1			
Shatterfloor			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius spread.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Deal 1d4/caster level [max 10d4] sonic damage to all in area.	SOURCEPAGE:SpC												
Sheltered Vitality			TYPE:Divine	CLASSES:Cleric=4|Druid=4		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Subject gains immunity to fatigue, exhaustion, and ability damage or drain.	SOURCEPAGE:SpC									TEMPBONUS:ANYPC|VAR|SpellShelteredVitality|1			
Shield of Faith (Mass)	OUTPUTNAME:Shield of Faith, Mass		TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As shield of faith, except it affects multiple creatures.	SOURCEPAGE:SpC												
Shield of Warding			TYPE:Divine	CLASSES:Cleric=3|Paladin=2		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One shield or buckler touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:No	DESC:Grants +1 sacred bonus to Armor Class and Reflex Saves, +1 per five caster levels [max +5].	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|AC|min(%CHOICE/5,5)|TYPE=Sacred			CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:ANYPC|CHECKS|Reflex|min(%CHOICE/5,5)|TYPE=Sacred			
Shieldbearer			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Shield touched.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Enchants shield to hover and protect designated creature, granting the shield's AC bonus allowing the creature to use two weapons or two-handed weapon.	SOURCEPAGE:SpC												
Shifting Paths			TYPE:Arcane.Divine	CLASSES:Druid=7|Sorcerer,Wizard=8		SCHOOL:Illusion			COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:1-mile-radius + 1 mile/level,		DURATION:1 round/level	SAVEINFO:Will disbelief	SPELLRES:Yes	DESC:Creates an illusionary path and hides a path chosen by you.	SOURCEPAGE:SpC												
Shock and Awe			TYPE:Arcane	CLASSES:Assassin=1|Bard=1|Sorcerer,Wizard=1		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 swift action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 round	SAVEINFO:None	SPELLRES:Yes	DESC:-10 to initiative if used in the surprise round.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|INITIATIVE|-10							
Shroud of Flame			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Causes creature to burst into flames, taking 2d6 points of fire damage every round.	SOURCEPAGE:SpC												
Shroud of Undeath			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Shroud yourself in invisbile negative energy so nonintelligent undead percieve you as a fellow undead. Cure and inflict spells have the opposite effect on you as if you were undead.	SOURCEPAGE:SpC												
Sign			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:+4 bonus on your next initiative check.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|INITIATIVE|4							
Sign of Sealing			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One door, chest or other opening up to 30 sw ft/level.		DURATION:Permanent	SAVEINFO:Reflex half; See text	SPELLRES:No	DESC:Magically bars selected object.	SOURCEPAGE:SpC												
Sign of Sealing (Greater)	OUTPUTNAME:Sign of Sealing, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One door, chest or other opening up to 30 sw ft/level.		DURATION:Permanent	SAVEINFO:Reflex half; See text	SPELLRES:No	DESC:Can seal open areas.	SOURCEPAGE:SpC												
Silent Portal			TYPE:Arcane	CLASSES:Assassin=1|Sorcerer,Wizard=0		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One portal.		DURATION:1 minute/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Negates the sound of opening/closing any portal [door,window,etc.].	SOURCEPAGE:SpC												
Silverbeard			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Grown beard that bestows +2 bonus to AC &amp; +2 bonus to Diplomacy checks with dwarves.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|AC|2|TYPE=Sacred							
Sink			TYPE:Divine	CLASSES:Cleric=3|Druid=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/3 level, no two of which are more than 30-ft. Apart.		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Affect creatures sink 100 ft./round.	SOURCEPAGE:SpC												
Sirine's Grace			TYPE:Arcane.Divine	CLASSES:Bard=4|Druid=5		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gain +4 to Cha &amp; Dex, deflection bonus to AC equal to your CHA bonus, a +8 bonus to Perform checks, gain swim speed 60 ft.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|AC|CHA|TYPE=Deflection		TEMPBONUS:PC|STAT|CHA,DEX|4|TYPE=Enhancement		TEMPBONUS:PC|VAR|SpellSirineSGrace|1	TEMPBONUS:PC|SKILL|TYPE.Perform|8		
Skeletal Guard			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more fingerbones.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Create loyal warrior skeletons.	SOURCEPAGE:SpC		COST:50										
Skull Watch			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One humanoid skull.		DURATION:Permanent	SAVEINFO:See text	SPELLRES:No	DESC:Alarm affect.	SOURCEPAGE:SpC												
Slapping Hands			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One tiny hand.		DURATION:Instantaneous	SAVEINFO:None; See text	SPELLRES:Yes	DESC:Distract target provoking an attack of opportunity [negate with DC 20 Concentration check].	SOURCEPAGE:SpC												
Slashing Darkness			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Deal 1d8/2 caster levels [max 5d8] damage, undead heal equal damage.	SOURCEPAGE:SpC												
Slide			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Slide the subject 5 feet in any direction; does not provoke attack of opportunity.	SOURCEPAGE:SpC												
Slide (Greater)	OUTPUTNAME:Slide, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Slide the subject 20 feet in any direction; does not provoke attack of opportunity.	SOURCEPAGE:SpC												
Slime Wave			TYPE:Divine	CLASSES:Cleric=7|Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft-radius spread.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Green slime covers everything in area, dealing damage to everything.	SOURCEPAGE:SpC												
Slow Burn			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius spread.		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:Doubles the amount of time to put out a fire.	SOURCEPAGE:SpC												
Smell of Fear			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Bestow target with an aroma that attracts predatory animals that prefer to attack the target with +1 bonus per three caster levels [max +3].	SOURCEPAGE:SpC												
Snake's Swiftness			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One allied creature.		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject may make another single attack melee or ranged.	SOURCEPAGE:SpC												
Snake's Swiftness (Mass)	OUTPUTNAME:Snake's Swiftness, Mass		TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Allied creatures in a 20-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subjects may make another single attack melee or ranged.	SOURCEPAGE:SpC												
Snakebite			TYPE:Divine	CLASSES:Druid=3|Ranger=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Turns one of your arms into a venomous snake.	SOURCEPAGE:SpC												
