SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Anarchic Water			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Transmutation		DESCRIPTOR:Chaotic	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched		DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes chaotic-aligned anarchic water.	SOURCEPAGE:SpC		COST:25										
Angelskin			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Lawful good creature touched.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject gains damage reduction 5/evil.	SOURCEPAGE:SpC												
Anger of the Noonay Sun			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:All sighted creatures within a 20-ft-radius burst centered on you.		DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Any creature in the area of the spell that can see you must make a saving throw or be temporarily blinded. Undead takes 1d6 damage/2 level (max 10d6).	SOURCEPAGE:SpC												
Animate Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Imbue your breath weapon with cogerence, mobility and semblance of life.	SOURCEPAGE:SpC												
Animate Fire			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One small fire.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You animate a small fire (it has the statistics of a Small fire Elemental).	SOURCEPAGE:SpC												
Animate Snow			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cube of snow up to 20 ft. On a side.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You cause snow in the area to become 1d3+2 Large animated object, 1d3 Huge animated object oe 1 Gargantuan animate obhject.	SOURCEPAGE:SpC												
Animate Water			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Cube of water up to 5 ft. On a side.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You animate a small quantity of water (it has the statistics of a Small Water Elemental).	SOURCEPAGE:SpC												
Animate Wood			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One small or smaller wooden object.		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You animate a small or smaller wooden object (it has the statistics of a Small Animated Object).	SOURCEPAGE:SpC												
Anticipate Teleportation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:10 minutes	RANGE:One willing creature touched	TARGETAREA:5-ft/level radius emanation from touched creature.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:The subject of the spell is surrounded with anm invisible aura that anticipates and delays the teleportation of any creature into the spell's area.	SOURCEPAGE:SpC												
Anticipate Teleportation (Greater)	OUTPUTNAME:Anticipate Teleportation, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:10 minutes	RANGE:One willing creature touched	TARGETAREA:5-ft/level radius emanation from touched creature.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:The subject of the spell is surrounded with anm invisible aura that anticipates and delays the teleportation of any creature into the spell's area.	SOURCEPAGE:SpC												
Anticold Sphere			TYPE:Arcane.Divine	CLASSES:Druid=5|Sorcerer,Wizard=5		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation, centered on you.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:All creature within the area of the spell, gain immunity to cold damage.	SOURCEPAGE:SpC												
Antidragon Aura			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/two level, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:All subjects gain +2 luck bonus to AC and on saving throw against attacks, spells and special attacks of dragons.	SOURCEPAGE:SpC												
Antimagic Ray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:1 round/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Ranged touch attack with the Ray, if hits function as if the target is inside an antimagic field if it fails its save.	SOURCEPAGE:SpC												
Anyspell			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:15 minutes	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Allows you to read and prepare any arcane spell of up to 2nd level.	SOURCEPAGE:SpC												
Anyspell (Greater)			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:15 minutes	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Allows you to read and prepare any arcane spell of up to 5th level.	SOURCEPAGE:SpC												
Appraising Touch			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You gains +10 insight bonus on Appraise checks to determine the value of items you touch.	SOURCEPAGE:SpC												
Arc of Lightning			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A line between two creatures.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:This bolts deal 1d6 points of electricity damage per caster level (max 15d6) to both targeted creatures and anything in the line between them.	SOURCEPAGE:SpC												
Armor of Darkness			TYPE:Divine			SCHOOL:Abjuration		DESCRIPTOR:Darkness	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The shroud grants the subject a +4 deflection bonus on AC + 1 every 3 level above seven (max +8 at 19th level)	SOURCEPAGE:SpC												
Arrow Mind			TYPE:Arcane.Divine	CLASSES:Ranger=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You threaten all squares within normal melee reach while wielding a projectile weapon.	SOURCEPAGE:SpC												
Arrow of Bone			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Death	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One projectile or thrown weapon touched.		DURATION:1 hour/level or until discharged	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:When thrown or fired at a creature as a normal attack, the weapon gains +4 enhancement bonus on attack and damage rolls. Kill the creature if fails the saving throw.	SOURCEPAGE:SpC												
Arrow of Storm			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SpC												
Aspect of the Earth Hunter			TYPE:Divine	CLASSES:Druid=6|Ranger=4		SCHOOL:Transmutation			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You assume physical appearance and many of the qualities of a bulette.	SOURCEPAGE:SpC												
Aspect of the Wolf			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You assume physical appearance and many of the qualities of a wolf.	SOURCEPAGE:SpC												
Assay Spell Resistance		KEY:Assay Resistance		TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:+10 bonus on caster level checks to overcome spell resistance of a specific creature.	SOURCEPAGE:SpC												
Astral Hospice			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See Text.		DURATION:24 hours/level	SAVEINFO:None	SPELLRES:No	DESC:When cast in the Astral plane, it open up a small planar portal to a demiplane where natural healing can occurs.	SOURCEPAGE:SpC												
Attune Form			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/3 level.		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:The spell allows you to attune the affected creatures to the plane your are currently on.	SOURCEPAGE:SpC												
Augment Familiar			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Your familiar.		DURATION:Concentration + 1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:The spell grants your familiar +4 enhancement bonus on STR, DEX and CON, damage reduction 5/Magic and +2 resistance bonus on saving throw.	SOURCEPAGE:SpC												
Aura against Flame			TYPE:Divine	CLASSES:Cleric=2|Druid=1		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You absorb first 10 points of fire damage.	SOURCEPAGE:SpC												
Aura of Evasion			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius emanation, centered on you.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You and all creatures within 10 feet gain evasion against breath weapons.	SOURCEPAGE:SpC												
Aura of Glory			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 swift action	RANGE:10-ft.	TARGETAREA:10-ft-radius spread.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:The spell remove any fear effect from all allies within your aura of courage.	SOURCEPAGE:SpC												
Aura of Terror			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy			COMPS:V	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius emanation, centered on you.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You become surrounded by an aura of fear.	SOURCEPAGE:SpC												
Aura of Vitality			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/3 level, no  two of which are more than 30 ft. Apart.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:All subjects gain +4 morale bonus to STR, DEX and CON.	SOURCEPAGE:SpC												
Avascular Mass			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:See text	SAVEINFO:Fort partial and Reflex negates; See text	SPELLRES:Yes	DESC:Reduce foe to half hp and stun foe for 1 round by purging blood vessel, which can trap creatures in 20-ft radius from victim.	SOURCEPAGE:SpC												
Avasculate			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Reduce foe to half hp and stun foe for 1 round by purging blood vessel.	SOURCEPAGE:SpC												
Avoid Planar Effects			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 immediate action	RANGE:20 ft.	TARGETAREA:One creature/level in a 20 ft radius burst centered on you.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You gains temporary respite from the natural effects of a specific plane.	SOURCEPAGE:SpC												
Awaken (Mass)	OUTPUTNAME:Awaken, Mass		TYPE:Divine	CLASSES:Druid=8		SCHOOL:Transmutation			COMPS:V, S, DF, XP	CASTTIME:24 hours	RANGE:Medium	TARGETAREA:One animal or tree/3 level, no  two of which are more than 30 ft. Apart.		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:You awaken one or more trees or animals to humanlike sentience.	SOURCEPAGE:SpC			XPCOST:250									
Awaken Construct			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One construct.		DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You awaken one humanoid shaped construct to humanlike sentience.	SOURCEPAGE:SpC			XPCOST:5000									
Awaken Sin			TYPE:Divine	CLASSES:Cleric=3|Paladin=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Fear|Good|Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One evil creature with intelligence 3+		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:The subject immediately takes 1d6 points of nonlethal damage per level (max 10d6) and is stunned for 1 round. If this knocks the subjects unconscious it also takes 1d6 points of Wisdom damage.	SOURCEPAGE:SpC												
Awaken Undead			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All mindless undead within a circle with a radius of 25 ft + 5 ft/2 levels.		DURATION:Instantaneous	SAVEINFO:None (harmless)	SPELLRES:No	DESC:The spell grants intelligence to mindless undead.	SOURCEPAGE:SpC			XPCOST:250									
Axiomatic Storm			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Lawful|Water	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:Cylinder (20-ft radius, 20 ft high)		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Lawful-aligned rain falls in 20-ft radius.	SOURCEPAGE:SpC												
Axiomatic Water			TYPE:Divine	CLASSES:Cleric=1|Paladin=1		SCHOOL:Transmutation		DESCRIPTOR:Lawful	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched		DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes lawful-aligned axiomatic water.	SOURCEPAGE:SpC		COST:25										
Babau Slime			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:The subject secretes slimy red layer of jelly. Unarmed strike, touch attack with natural weapons that hits the subject takes 1d8 acid damage.	SOURCEPAGE:SpC												
Backbitter			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Necromancy			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon.		DURATION:1 round/level or until discharged	SAVEINFO:Will negates (object); See text.	SPELLRES:Yes	DESC:The next time the target weapon is used to make a melee attack, the weapon strikes the wielder instead.	SOURCEPAGE:SpC												
Backlash			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level or until discharged	SAVEINFO:Will negates	SPELLRES:Yes	DESC:the first time the target cast a spell or use a spell like ability, the magic fails and the target takes 1d6 damage/level of the spell cast.	SOURCEPAGE:SpC												
Balancing Lorecall			TYPE:Arcane.Divine	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You gains +4 insight bonus on balance checks.	SOURCEPAGE:SpC												
Baleful Transposition			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Two creatures of up to large size.		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Two target creatures instantly swap positions.	SOURCEPAGE:SpC												
Ball Lightning			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One lightning ball.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Moving lightning ball that deals 1d6 electricity damage/level (max 15d6).	SOURCEPAGE:SpC												
