SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																											
																													
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose			
Make Manifest (Mass)	OUTPUTNAME:Make Manifest, Mass		TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As make manifest, except all creatures and unattended object appear.	SOURCEPAGE:SpC											
Mantle of Chaos			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Gain SR 12 + your caster level against spells with the lawful descriptor.	SOURCEPAGE:SpC											
Mantle of Evil			TYPE:Divine	CLASSES:Blackguard=3|Cleric=3		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Gain SR 12 + your caster level against spells with the good descriptor.	SOURCEPAGE:SpC											
Mantle of Good			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Gain SR 12 + your caster level against spells with the evil descriptor.	SOURCEPAGE:SpC											
Mantle of Law			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Gain SR 12 + your caster level against spells with the chaotic descriptor.	SOURCEPAGE:SpC											
Mantle of the Icy Soul			TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Grants Cold Subtype to target.	SOURCEPAGE:SpC										TEMPBONUS:ANYPC|VAR|SpellMantleOfTheIcySoul|1	
Manyjaws			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One pair of disembodied, flying jaws/level (max 10 pairs)		DURATION:Concentration, up to 3 rounds	SAVEINFO:See text	SPELLRES:Yes	DESC:Creates disembodied flying jaws to attack creatures; causes 1d6 points or half with save.	SOURCEPAGE:SpC											
Mark of the Hunter			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature, which must be a favored enemy.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Gain +4 to your favored enemy bonuses against target.	SOURCEPAGE:SpC											
Mark of the Outcast			TYPE:Divine	CLASSES:Blackguard=1|Cleric=2|Paladin=2		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creates an indelible mark on the subjects face.	SOURCEPAGE:SpC											
Marked Object			TYPE:Arcane.Divine	CLASSES:Assassin=2|Ranger=1|Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:You.		DURATION:24 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Track owner of item with +10 Search and Survival.	SOURCEPAGE:SpC											
Master Air			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Fly at 90 ft. [or 60 if med or hvy armor].	SOURCEPAGE:SpC										TEMPBONUS:PC|VAR|SpellMasterAir|1	
Master Earth			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Travel instantly through the earth to the exact location you choose.	SOURCEPAGE:SpC											
Master's Touch			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, F	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Gain proficiency with a held weapon.	SOURCEPAGE:SpC											
Maw of Chaos			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius emanation, centered on a point in space.		DURATION:1 round/level	SAVEINFO:Will partial	SPELLRES:Yes	DESC:1d6 damage/caster level per round.	SOURCEPAGE:SpC											
Maw of Stone			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One cave mouth or natural tunnel up to 20-ft in diameter.		DURATION:10 minutes/level	SAVEINFO:Reflex partial; See text	SPELLRES:No	DESC:An opening or natural cavern can be animated to attack.	SOURCEPAGE:SpC											
Mechanus Mind			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Lawful|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Subject +4 resistance bonus on Will saves to resist mind-affecting spells.	SOURCEPAGE:SpC										TEMPBONUS:ANYPC|VAR|SpellMechanusMind|1	
Memory Rot			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Permanenty drain 1d6 Intelligence, with 1 pt loss each round thereafter; save stops Int loss.	SOURCEPAGE:SpC											
Mesmerizing Glare			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature/level, no two of which are more than 30-ft. Apart.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Cause targets to stop and stare blankly at you.	SOURCEPAGE:SpC											
Metal Melt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Nonmagical metal object weighting up to 5 lb/level.		DURATION:1 round	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Changes metal to flow like water for 1 round and then returns to a solid state, usually a puddle.	SOURCEPAGE:SpC											
Miasma			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:3 rounds/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Gas cloud suffocates target.	SOURCEPAGE:SpC											
Miasma of Entropy			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=5		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped burst or one solid object; see text.		DURATION:Instantaneous	SAVEINFO:Fort half or Will negates (Object); See text	SPELLRES:Yes	DESC:Accelerates decay in natural substances.	SOURCEPAGE:SpC											
Mind Poison			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Infect subject with poison that deals 1d10 Wis and another 1d10 Wis after 1 minute.	SOURCEPAGE:SpC											
Mindless Rage			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Incites target to attack you in melee.	SOURCEPAGE:SpC											
Disguise (Minor)	OUTPUTNAME:Disguise, Minor		TYPE:Arcane	CLASSES:Bard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour	SAVEINFO:None	SPELLRES:No	DESC:Grants +2 competence bonus to disguise checks.	SOURCEPAGE:SpC									TEMPBONUS:PC|SKILL|Disguise|2|TYPE=Competence		
Miser's Envy			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Designate a target and an object. For the duration the target seeks to get the object.	SOURCEPAGE:SpC											
Moment of Clarity			TYPE:Divine	CLASSES:Paladin=1		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Creature gains a second save against a mind-affecting spell.	SOURCEPAGE:SpC											
Monstrous Thrall			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:24 hours/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As true domination, except the subject can be any creature and is permanantly dominated if it fails the initial save.	SOURCEPAGE:SpC											
Moon Blade			TYPE:Divine			SCHOOL:Evocation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:A swordlike beam.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Sword-like beam that you can use. Melee touch attack does 1d8 +1/caster level [max +10].	SOURCEPAGE:SpC											
Moon Bolt			TYPE:Divine	CLASSES:Cleric=4|Druid=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One living or undead creature, or two living or undead creature that are no more than 15 ft. Apart.		DURATION:Instantaneous	SAVEINFO:Fort half (living target) or Will negates (undead target)	SPELLRES:Yes	DESC:Bolt unerringly strikes dealing 1d4 Str damage per three caster levels [max 5d4]. Undead instead fall helpless for 1d4 rounds.	SOURCEPAGE:SpC											
Moon Lust			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Illusion	SUBSCHOOL:Pattern	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.		DURATION:1 round/level	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Creature becomes fascinated for the duration of the spell.	SOURCEPAGE:SpC		COST:5									
Moon Path			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A variable width, glowing white stair or bridge of translucent force up to 15-ft/level long.		DURATION:1 minute/level	SAVEINFO:None; See text	SPELLRES:No	DESC:Creates path or stair.	SOURCEPAGE:SpC											
Moonbeam			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped emanation.		DURATION:1 minute/level	SAVEINFO:None or Will negates; see text	SPELLRES:No	DESC:Affect lycanthropes.	SOURCEPAGE:SpC											
Moonbow			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:1d4 motes of electricity.		DURATION:Instantaneous or up to 4 rounds; see text	SAVEINFO:None	SPELLRES:Yes	DESC:Conjures 1d4 motes that each deal 1d6/2 caster level [max 10d6].	SOURCEPAGE:SpC											
Moonfire			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:Cone-shaped burst or cone-shaped emanation; see text.		DURATION:Instantaneous + 1 round/level	SAVEINFO:Reflex half and Will negates; see text	SPELLRES:Yes	DESC:Creatures take 1d8/2 caster levels [max 10d8].	SOURCEPAGE:SpC											
Mountain Stance			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:As a free action you can root yourself to the ground. Gain bonus equal to the caster level against grapple, lift, push, bull rush, over-run, throw, trip or otherwise force the creature to move.	SOURCEPAGE:SpC											
Murderous Mist			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cloud spreads in a 30-ft. radius, 20 ft. High.		DURATION:1 round/level	SAVEINFO:Reflex partial	SPELLRES:No	DESC:Create cloud of scalding hot steam.	SOURCEPAGE:SpC											
Nature's Avatar			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 swift action	RANGE:Touch	TARGETAREA:Animal Touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target animal gains +10 attack and damage bonus, haste, and 1d8 temporary hit points/caster level.	SOURCEPAGE:SpC											
Nature's Balance			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:10 minutes/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Take -4 to one ability score [Str, Dex, Con] and target gains like amount.	SOURCEPAGE:SpC											
Nature's Favor			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 swift action	RANGE:Touch	TARGETAREA:Animal touched.		DURATION:1 minute	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target animal gains attack and damage bonus of +1 for every 3 caster levels max of +5 at 15th level.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|WEAPONPROF=TYPE.Natural|TOHIT|%CHOICE/3|TYPE=Luck			CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:ANYPC|WEAPONPROF=TYPE.Natural|DAMAGE|%CHOICE/3|TYPE=Luck		
Nature's Rampart			TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Structure up to 40 ft. Square		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Shapes natural setting into a formidable defense.	SOURCEPAGE:SpC		COST:100									
Naturewatch			TYPE:Divine	CLASSES:Druid=0|Ranger=1		SCHOOL:Necromancy			COMPS:S	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped emanation.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Same as deathwatch but only functions on plants and animals.	SOURCEPAGE:SpC											
Nauseating Breath			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped burst.		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:No	DESC:Creatures in area must save or be nauseated for 1d6 rounds.	SOURCEPAGE:SpC											
Negative Energy Aura			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft-radius emanation, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Living creatures within 10 ft. lose 1 hp/3 caster level [max 5] each round.	SOURCEPAGE:SpC											
Nerveskitter			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Grants +5 bonus on initiative checks.	SOURCEPAGE:SpC					TEMPBONUS:ANYPC|COMBAT|INITIATIVE|5						
Net of Shadows			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1d6 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Vision decreased to 5ft, grants concealment, darkvision does not penetrate.	SOURCEPAGE:SpC											
Nightmare Lullaby			TYPE:Arcane	CLASSES:Bard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creature enters a surreal state thinking they are in a nightmare.	SOURCEPAGE:SpC											
Night's Caress			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Your touch deals 1d6 damage/caster level and 1d6+2 Con damage [Fort save negates Con damage].	SOURCEPAGE:SpC											
Nightshield			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:+1 resistance on Saving throws, increases to +2 at caster level 6th and +3 at caster level 9th. Negates magic missiles.	SOURCEPAGE:SpC								CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:ANYPC|CHECKS|Reflex,Fortitude,Will|min(3,%CHOICE/3)|TYPE=Resistance		
Nightstalker's Transformation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Become a stealthy and dangerous combatant.	SOURCEPAGE:SpC					TEMPBONUS:PC|COMBAT|AC|3|TYPE=Luck		TEMPBONUS:PC|STAT|DEX|4|TYPE=Enhancement		TEMPBONUS:PC|CHECKS|Reflex|5|TYPE=Luck	TEMPBONUS:PC|SKILL|Spot,Listen,Hide,Move Silently|5|TYPE=Competence	TEMPBONUS:PC|VAR|SpellNightstalkerSTransformation|1
Nimbus of Light			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Creates light 30' Can use as ranged touch attack 30' for 1d8 plus 1 point per round that's elapsed since casting to max of [1d8 + caster level].	SOURCEPAGE:SpC											
Nixie's Grace			TYPE:Arcane	CLASSES:Bard=6		SCHOOL:Transmutation		DESCRIPTOR:Water	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Gain many traits and abilities of nixie [MM 235]; see text.	SOURCEPAGE:SpC											
Obedient Avalanche			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius avalanche of snow centered on a point in space.		DURATION:Instantaneous	SAVEINFO:Reflex half or Reflex negates; See text	SPELLRES:No	DESC:Within 20 ft. 1d8 per two caster levels [max 10d8] and an additional 1d6 per two caster levels; 20 to 40 ft. Half damage save for none.	SOURCEPAGE:SpC											
Omen of Peril			TYPE:Divine	CLASSES:Cleric=1|Druid=1|Ranger=1		SCHOOL:Divination			COMPS:V, F	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Brief supplication gives you a vision that hints at how dangerous the immediate future is likely to be.	SOURCEPAGE:SpC		COST:25									
One with the Land			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Gain +2 insight bonus to Move Silently, Search, Hide, Survival and Handle Animal checks.	SOURCEPAGE:SpC									TEMPBONUS:PC|SKILL|Handle Animal,Hide,Move Silently,Search,Survival|2|TYPE=Competence	TEMPBONUS:PC|VAR|WildEmpathy|2|TYPE=Competence	
