SOURCELONG:Monsters of Faerun	SOURCESHORT:Mon	SOURCEWEB:http://www.gozzilioni.net							
CLASS:Sharn	HD:8	TYPE:Monster	MAXLEVEL:12	SOURCEPAGE:Mon	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	BONUS:DOMAIN|NUMBER|4
# Class Name	Skill Pts/Lvl	Class Skill							
CLASS:Sharn	PRERACE:1,Sharn	PRERACETYPE:1,Aberration							
# Class Name	Skill Pts/Lvl	Add INT to Skill Points?							
CLASS:Sharn	STARTSKILLPTS:2	MODTOSKILLS:NO							
1	BONUS:PCLEVEL|Cleric|1	ADD:SPELLCASTER|1|Cleric	DOMAIN:Chaos|Death|Knowledge|Luck|Magic|Protection|Travel|Trickery						
1	BONUS:PCLEVEL|Sorcerer|1	ADD:SPELLCASTER|1|Sorcerer							
2	BONUS:PCLEVEL|Cleric|1								
2	BONUS:PCLEVEL|Sorcerer|1	BONUS:PCLEVEL|Sorcerer|1							
3	BONUS:PCLEVEL|Cleric|1								
3	BONUS:PCLEVEL|Sorcerer|1								
4	BONUS:PCLEVEL|Cleric|1								
4	BONUS:PCLEVEL|Sorcerer|1	BONUS:PCLEVEL|Sorcerer|1							
5	BONUS:PCLEVEL|Cleric|1								
5	BONUS:PCLEVEL|Sorcerer|1								
6	BONUS:PCLEVEL|Cleric|1								
6	BONUS:PCLEVEL|Sorcerer|1								
7	BONUS:PCLEVEL|Cleric|1								
7	BONUS:PCLEVEL|Sorcerer|1								
8	BONUS:PCLEVEL|Cleric|1								
8	BONUS:PCLEVEL|Sorcerer|1								
9	BONUS:PCLEVEL|Cleric|1								
9	BONUS:PCLEVEL|Sorcerer|1								
10	BONUS:PCLEVEL|Cleric|1								
10	BONUS:PCLEVEL|Sorcerer|1								
11	BONUS:PCLEVEL|Cleric|1								
11	BONUS:PCLEVEL|Sorcerer|1								
12	BONUS:PCLEVEL|Cleric|1								
12	BONUS:PCLEVEL|Sorcerer|1								
