SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net
Remove Curse.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Scrying.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Sculpt Sound.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Secret Page.MOD	CLASSES:Vigilante=3	TYPE:Arcane
See Invisibility.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Slow.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Speak with Animals.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Speechlink.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Break Enchantment.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Detect Scrying.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Freedom of Movement.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Hallucinatory Terrain.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Invisibility (Greater).MOD	CLASSES:Vigilante=4	TYPE:Arcane
Legend Lore.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Listening Coin.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Locate Creature.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Rainbow Pattern.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Repel Vermin.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Shadow Conjuration.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Speak with Plants.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Spectral Weapon.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Zone of Silence.MOD	CLASSES:Vigilante=4	TYPE:Arcane
Critical Strike.MOD	CLASSES:Assassin=1	TYPE:Divine
Distract Assailant.MOD	CLASSES:Assassin=1	TYPE:Divine
Insightful Feint.MOD	CLASSES:Assassin=1	TYPE:Divine
Instant Locksmith.MOD	CLASSES:Assassin=1	TYPE:Divine
Instant Search.MOD	CLASSES:Assassin=1	TYPE:Divine
Sniper's Shot.MOD	CLASSES:Assassin=1	TYPE:Divine
Invisibility (Swift).MOD	CLASSES:Assassin=2	TYPE:Divine
Iron Silence.MOD	CLASSES:Assassin=2	TYPE:Divine
Wraithstrike.MOD	CLASSES:Assassin=2	TYPE:Divine
Absorb Weapon.MOD	CLASSES:Assassin=3	TYPE:Divine
Spectral Weapon.MOD	CLASSES:Assassin=3	TYPE:Divine
Shadow Form.MOD	CLASSES:Assassin=4	TYPE:Divine
Sniper's Eye.MOD	CLASSES:Assassin=4	TYPE:Divine
Distract Assailant.MOD	CLASSES:Hexblade=1	TYPE:Arcane
Critical Strike.MOD	CLASSES:Hexblade=2	TYPE:Arcane
Invisibility (Swift).MOD	CLASSES:Hexblade=2	TYPE:Arcane
Spectral Weapon.MOD	CLASSES:Hexblade=3	TYPE:Arcane
Shadow Form.MOD	CLASSES:Hexblade=4	TYPE:Arcane
