SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Easy Trail			TYPE:Divine	CLASSES:Druid=2|Ranger=1		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:40 ft.	TARGETAREA:40-ft-radius emanation		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Embrace the Wild			TYPE:Divine	CLASSES:Druid=2|Ranger=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Entangling Staff			TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, F	CASTTIME:1 swift action	RANGE:Touch	TARGETAREA:Quarterstaff touched		DURATION:1 round/level	SAVEINFO:See text (harmless, object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Exacting Shot			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Ranged weapon touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Expeditious Retreat (Swift)	OUTPUTNAME:Expeditious Retreat, Swift		TYPE:Arcane.Divine	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Fly (Swift)	OUTPUTNAME:Fly, Swift		TYPE:Arcane.Divine	CLASSES:Bard=2|Druid=3|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Focusing Chant			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Foebane			TYPE:Divine	CLASSES:Ranger=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Forestfold			TYPE:Divine	CLASSES:Druid=4|Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Golem Strike			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Grave Strike			TYPE:Divine	CLASSES:Cleric=1|Paladin=1		SCHOOL:Divination		DESCRIPTOR:Good	COMPS:V, FD	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Guided Shot			TYPE:Arcane.Divine	CLASSES:Ranger=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Harmonic Shot			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Concentration, up to 1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Haste (Swift)	OUTPUTNAME:Haste, Swift		TYPE:Divine	CLASSES:Ranger=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Hawkeye			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Healing Lorecall			TYPE:Divine	CLASSES:Cleric=2|Druid=2|Ranger=1		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Healthful Rest			TYPE:Divine	CLASSES:Bard=1|Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:24 hours	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Herald's Call			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 swift action	RANGE:20-ft.	TARGETAREA:20-ft-radius burst, centered on you		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Hindsight			TYPE:Arcane.Divine	CLASSES:Bard=6|Sorcerer,Wizard=9		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 hour	RANGE:Personal	TARGETAREA:60-ft-radius, centered on you		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd		COST:1000						
Hymn of Praise			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Evocation		DESCRIPTOR:Good|Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A sphere-shaped emanation with radius equal to the range, centered on you		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Improvisation			TYPE:Divine	CLASSES:Bard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Infernal Threnody			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Evocation		DESCRIPTOR:Evil|Sonic	COMPS:V, S	CASTTIME:1 round	RANGE:Medium	TARGETAREA:A sphere-shaped emanation with radius equal to the range, centered on you		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Insidious Rhythm			TYPE:Divine	CLASSES:Bard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Insightful Feint			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Inspirational Boost			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round; see text	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Instant Locksmith			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Instant Search			TYPE:Arcane.Divine	CLASSES:Ranger=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Invisibility (Swift)	OUTPUTNAME:Invisibility, Swift		TYPE:Divine	CLASSES:Bard=2		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Iron Silence			TYPE:Divine	CLASSES:Bard=2|Cleric=2		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One suit of armor touched per three levels		DURATION:1 hour/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Joyful Noise			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Abjuration			COMPS:S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-radius emanation, centered on you		DURATION:Concentration; See text	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Listening Coin			TYPE:Divine	CLASSES:Bard=4		SCHOOL:Divination	SUBSCHOOL:Scrying		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Magical sensor		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Listening Lorecall			TYPE:Arcane.Divine	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Master's Touch			TYPE:Arcane.Divine	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, F	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Mindless Rage			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Nature's Favor			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal touched		DURATION:1 minute	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Nightstalker's Transformation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Protege	OUTPUTNAME:Protégé		TYPE:Divine	CLASSES:Bard=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 round	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Shadow Form			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Sniper's Eye			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Sniper's Shot			TYPE:Arcane.Divine	CLASSES:Ranger=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Sonic Weapon			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Spectral Weapon			TYPE:Arcane.Divine	CLASSES:Bard=4|Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:Will partial; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Speechlink			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one creature touched		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Tactical Precision			TYPE:Divine	CLASSES:Bard=2		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Train Animal			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Enchantment	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Animal touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Vine Strike			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Divination			COMPS:V, DF	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Wail of Doom			TYPE:Divine	CLASSES:Bard=5		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting|Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Cone shaped burst		DURATION:See Text	SAVEINFO:Will partial; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
War Cry			TYPE:Divine	CLASSES:Bard=4		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:See Text	DESC:See text	SOURCEPAGE:CAd								
Wracking Touch			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous	SAVEINFO:Fort half	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Wraithstrike			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
