SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# BASICS																																													
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Subsonics	TYPE:General	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,TYPE.Perform=10									PREVARGTEQ:BardicMusicTimes,1			DESC:Produce bardic music effects very softly																	SOURCEPAGE:CAd				
Tactile Trapsmith	TYPE:General	VISIBLE:YES																						DESC:Add Dex modifier, rather than INT modifier, to Search and Disable Device													BONUS:SKILL|Search,Disable Device|max(DEX,INT)-INT				SOURCEPAGE:CAd				
Versatile Performer	TYPE:General	VISIBLE:YES										PRESKILL:1,TYPE.Perform=5												DESC:Treat number of Perform skills as if they had ranks equal to your highest Perform rank	STACK:NO	MULT:YES	CHOOSE:SKILL|PC[TYPE=Perform]	SELECT:max(1,INT)													SOURCEPAGE:CAd				
#		VISIBLE:YES																						DESC:																	SOURCEPAGE:CAd				
Chant of Fortitude	TYPE:BardicMusic	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,Concentration=9								PRESKILL:1,TYPE.Perform=9	PREVARGTEQ:BardicMusicTimes,1			DESC:Bardic music keeps allies conscious at negative hit points																	SOURCEPAGE:CAd				
Ironskin Chant	TYPE:BardicMusic	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,Concentration=12								PRESKILL:1,TYPE.Perform=12	PREVARGTEQ:BardicMusicTimes,1			DESC:Use bardic music to gain DR 5/-																	SOURCEPAGE:CAd				
Lyric Spell	TYPE:BardicMusic	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,TYPE.Perform=9	PRESPELLCAST:MEMORIZE=N	PRESPELLTYPE:1,Arcane=2							PREVARGTEQ:BardicMusicTimes,1			DESC:Bardic music uses to cast extra spell																	SOURCEPAGE:CAd				
#		VISIBLE:YES																						DESC:																	SOURCEPAGE:CAd				
Blindsense	TYPE:Wild	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape						PRESKILL:1,Listen=4												DESC:Wildshape use to gain blindsense																	SOURCEPAGE:CAd				
Climb Like an Ape	TYPE:Wild	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape																		DESC:Wildshape use to gain climb movement mode																	SOURCEPAGE:CAd				
Cougar's Vision	TYPE:Wild	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape						PRESKILL:1,Spot=2												DESC:Wildshape use to gain low-light vision																	SOURCEPAGE:CAd				
Hawk's Vision	TYPE:Wild	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape						PRESKILL:1,Spot=4												DESC:Wildshape use to gain +8 Spot checks and cut range increment penalties in half																	SOURCEPAGE:CAd				
Savage Grapple	TYPE:Wild	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape	PREABILITY:1,CATEGORY=Special Ability,Sneak Attack																	DESC:Deal sneak attack damage when grappling in wildshape																	SOURCEPAGE:CAd				
Scent	TYPE:Wild	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape																		DESC:Wildshape use to gain scent																	SOURCEPAGE:CAd				
#																																													
Acrobatic.MOD	TYPE:Scout																																												
Agile.MOD	TYPE:Scout																																												
Alertness.MOD	TYPE:Scout																																												
Athletic.MOD	TYPE:Scout																																												
Blind-Fight.MOD	TYPE:Scout																																												
Brachiation.MOD	TYPE:Scout																																												
Combat Expertise.MOD	TYPE:Scout																																												
Danger Sense.MOD	TYPE:Scout																																												
Dodge.MOD	TYPE:Scout																																												
Endurance.MOD	TYPE:Scout																																												
Far Shot.MOD	TYPE:Scout																																												
Great Fortitude.MOD	TYPE:Scout																																												
Hear The Unseen.MOD	TYPE:Scout																																												
Improved Initiative.MOD	TYPE:Scout																																												
Improved Swimming.MOD	TYPE:Scout																																												
Iron Will.MOD	TYPE:Scout																																												
Lightning Reflexes.MOD	TYPE:Scout																																												
Mobility.MOD	TYPE:Scout																																												
Point Blank Shot.MOD	TYPE:Scout																																												
Precise Shot.MOD	TYPE:Scout																																												
Quick Draw.MOD	TYPE:Scout																																												
Quick Reconnoiter.MOD	TYPE:Scout																																												
Rapid Reload.MOD	TYPE:Scout																																												
Shot on the Run.MOD	TYPE:Scout																																												
Skill Focus.MOD	TYPE:Scout																																												
Spring Attack.MOD	TYPE:Scout																																												
Track.MOD	TYPE:Scout																																												
Acrobatic.MOD	TYPE:Exemplar																																												
Agile.MOD	TYPE:Exemplar																																												
Alertness.MOD	TYPE:Exemplar																																												
Animal Affinity.MOD	TYPE:Exemplar																																												
Athletic.MOD	TYPE:Exemplar																																												
Blind-Fight.MOD	TYPE:Exemplar																																												
Combat Casting.MOD	TYPE:Exemplar																																												
Combat Expertise.MOD	TYPE:Exemplar																																												
Deceitful.MOD	TYPE:Exemplar																																												
Deft Hands.MOD	TYPE:Exemplar																																												
Diligent.MOD	TYPE:Exemplar																																												
Improved Initiative.MOD	TYPE:Exemplar																																												
Improved Swimming.MOD	TYPE:Exemplar																																												
Investigator.MOD	TYPE:Exemplar																																												
Magical Aptitude.MOD	TYPE:Exemplar																																												
Negotiator.MOD	TYPE:Exemplar																																												
Nimble Fingers.MOD	TYPE:Exemplar																																												
Open Minded.MOD	TYPE:Exemplar																																												
Persuasive.MOD	TYPE:Exemplar																																												
Self-Sufficient.MOD	TYPE:Exemplar																																												
Skill Focus.MOD	TYPE:Exemplar																																												
Stealthy.MOD	TYPE:Exemplar																																												
Track.MOD	TYPE:Exemplar																																												
Versatile Performer.MOD	TYPE:Exemplar																																												
