SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Daggerspell Wild Shape Times	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DaggerspellWildShape,2	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DaggerspellWildShape,4																	SOURCEPAGE:CAd
Daggerspell Wild Shape Progression	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|WildShapeTimes|1+((DaggerspellWildShape)/5)																		SOURCEPAGE:CAd
Dread Pirate Seamanship	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DreadPirateSeamanshipLVL|0					BONUS:VAR|SeamanshipBonus|DreadPirateSeamanshipLVL																		SOURCEPAGE:CAd
Dread Pirate Two Weapon Fighting	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO																				VFEAT:Two Weapon Fighting|!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy									SOURCEPAGE:CAd
#Dungeon Delver Darkvision	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											VISION:Darkvision (60')|PREVISION:1,Darkvision=0	BONUS:VISION|Darkvision|30|PREVISION:1,Darkvision=1																	SOURCEPAGE:CAd
Dungeon Delver Darkvision	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VISION|Darkvision|30|PREVISION:1,Darkvision=1																	SOURCEPAGE:CAd	
Dungeon Delver Deep Survival	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DungeonDelverDeepSurvivalLVL|0					BONUS:VAR|DeepSurvivalBonus|DungeonDelverDeepSurvivalLVL																		SOURCEPAGE:CAd
Dungeon Delver Blindsense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DungeonDelverBlindsenseLVL|0					BONUS:VAR|BlindsenseDuration|DungeonDelverBlindsenseLVL	BONUS:VAR|BlindsensePerDay|DungeonDelverBlindsenseLVL/5																	SOURCEPAGE:CAd
Exemplar Perfect Self	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Perfect Self																			TEMPLATE:Exemplar Outsider									SOURCEPAGE:CAd
Ghost Faced Killer Ghost Step	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:GhostFacedKillerGhostStepLVL|0					BONUS:VAR|GhostStepPerDay|(GhostFacedKillerGhostStepLVL+2)/3	BONUS:VAR|GhostStepPower|(GhostFacedKillerGhostStepLVL+4)/5																	SOURCEPAGE:CAd
Ghost Faced Killer Sudden Strike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GhostFacedKillerSuddenStrikeLVL|0					BONUS:VAR|SuddenStrike|GhostFacedKillerSuddenStrikeLVL/3																		SOURCEPAGE:CAd
Highlander Stalker Skirmish	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:HighlanderStalkerSkirmishLVL|0					BONUS:VAR|SkirmishDamage|(HighlanderStalkerSkirmishLVL+2)/4	BONUS:VAR|SkirmishAC|(HighlanderStalkerSkirmishLVL)/4																	SOURCEPAGE:CAd
Master of Many Form Improved Wild Shape	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MasterOfManyFormImprovedWildShapeLVL|0						BONUS:VAR|ImprovedWildShapeProgression|MasterOfManyFormImprovedWildShapeLVL																	SOURCEPAGE:CAd
Nightsong Enforcer Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongEnforcerSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|(NightsongEnforcerSneakAttackLVL+2)/3																		SOURCEPAGE:CAd
Nightsong Enforcer Skill Teamwork	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongEnforcerSkillTeamworkLVL|0					BONUS:VAR|SkillTeamworkBonus|((NightsongEnforcerSkillTeamworkLVL+1)/4)*2																		SOURCEPAGE:CAd
Nightsong Infiltrator Trap Sense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongInfiltratorTrapSenseLVL|0					BONUS:VAR|TrapSense|(NightsongInfiltratorTrapSenseLVL+2)/3																		SOURCEPAGE:CAd
Nightsong Infiltrator Infiltration	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongInfiltratorTeamworkInfiltrationLVL|0					BONUS:VAR|TeamworkInfiltrationBonus|((NightsongInfiltratorTeamworkInfiltrationLVL+4)/6)*2																		SOURCEPAGE:CAd
Nightsong Infiltrator Trackless Step	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongInfiltratorTracklessStepLVL|0					BONUS:VAR|TeamworkTracklessStepCreature|NightsongInfiltratorTracklessStepLVL																		SOURCEPAGE:CAd
Nightsong Infiltrator Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongInfiltratorSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|NightsongInfiltratorSneakAttackLVL/4	BONUS:VAR|TeamworkSneakAttack|NightsongInfiltratorSneakAttackLVL/4																	SOURCEPAGE:CAd
Nightsong Infiltrator Grant Move Action	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NightsongInfiltratorGrantMoveActionLVL|0					BONUS:VAR|GrantMoveActionPerDay|(NightsongInfiltratorGrantMoveActionLVL-1)/4																		SOURCEPAGE:CAd
Shadowbane Inquisitor Pierce Shadows	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneInquisitorPierceShadowsLVL|0					BONUS:VAR|PierceShadowsRadius|5*ShadowbaneInquisitorPierceShadowsLVL	BONUS:VAR|PierceShadowsDuration|ShadowbaneInquisitorPierceShadowsLVL*10																	SOURCEPAGE:CAd
Shadowbane Inquisitor Smite Corrupted	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneInquisitorSmiteCorruptedLVL|0					BONUS:VAR|SmiteCorrupted|(ShadowbaneInquisitorSmiteCorruptedLVL+2)/4	BONUS:VAR|SmiteCorruptedDamage|ShadowbaneInquisitorSmiteCorruptedLVL																	SOURCEPAGE:CAd
Shadowbane Inquisitor Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneInquisitorSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|(ShadowbaneInquisitorSneakAttackLVL-1)/3																		SOURCEPAGE:CAd
Shadowbane Stalker Discover Subterfuge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneStalkerDiscoverSubtefugeLVL|0					BONUS:VAR|DiscoverSubterfugeBonus|((ShadowbaneStalkerDiscoverSubtefugeLVL+1)/3)*2																		SOURCEPAGE:CAd
Shadowbane Stalker Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneStalkerSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|((ShadowbaneStalkerSneakAttackLVL)/3)																		SOURCEPAGE:CAd
Shadowbane Stalker Sacred Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SacredDefenseAC|4|TYPE=Divine																		SOURCEPAGE:CAd
Shadowbane Stalker Sacred Stealth	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneStalkerSacredStealthLVL|0					BONUS:VAR|SacredStealthBonus|(((ShadowbaneStalkerSacredStealthLVL+5)/6)*4)																		SOURCEPAGE:CAd
Shadowbane Inquisitor Sacred Stealth	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowbaneInquisitorSacredStealthLVL|0					BONUS:VAR|SacredStealthBonus|(((ShadowbaneInquisitorSacredStealthLVL+3)/5)*4)																		SOURCEPAGE:CAd
Shadowmind Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShadowmindSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|((ShadowmindSneakAttackLVL+1)/3)																		SOURCEPAGE:CAd
Spymaster Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpymasterSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|SpymasterSneakAttackLVL/3																		SOURCEPAGE:CAd
Spymaster Dispel Scrying	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpymasterDispelScryingCasterlevelLVL|0					BONUS:VAR|DispelScryingCasterlevel|SpymasterDispelScryingCasterlevelLVL																		SOURCEPAGE:CAd
Streetfighter Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:StreetfighterSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|StreetfighterSneakAttackLVL/3																		SOURCEPAGE:CAd
Streetfighter Always Ready	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:StreetfighterAlwaysReadyLVL|0					BONUS:VAR|AlwaysReadyBonus|(StreetfighterAlwaysReadyLVL+1)/2																		SOURCEPAGE:CAd
Streetfighter Streetwise	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|StreetwiseBonus|2																		SOURCEPAGE:CAd
Streetfighter Stand Tough	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:StreetfighterStandToughLVL|0					BONUS:VAR|StandToughPerDay|StreetfighterStandToughLVL/2																		SOURCEPAGE:CAd
Tempest Tempest Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:TempestTempestDefenseLVL|0					BONUS:VAR|TempestDefenseBonus|(TempestTempestDefenseLVL+1)/2																		SOURCEPAGE:CAd
Tempest Ambidexterity	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:TempestAmbidexterityLVL|0					BONUS:VAR|AmbidexterityBonus|TempestAmbidexterityLVL/2																		SOURCEPAGE:CAd
Thief Acrobat Agile Fighting	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ThiefAcrobatAgileFightingLVL|0					BONUS:VAR|AgileFightingCA|ThiefAcrobatAgileFightingLVL/2																		SOURCEPAGE:CAd
Thief Acrobat Slow Fall	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ThiefAcrobatSlowFallLVL|0					BONUS:VAR|SlowFall|min(30,(((ThiefAcrobatSlowFallLVL+2)/2)*10))																		SOURCEPAGE:CAd
Thief Acrobat Defensive Roll	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ThiefAcrobatDefensiveRollLVL|0					BONUS:VAR|DefensiveRollTimes|((ThiefAcrobatDefensiveRollLVL-1)/2)																		SOURCEPAGE:CAd
Vigilante Streetwise	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VigilanteStreetwiseLVL|0					BONUS:VAR|StreetwiseBonus|((VigilanteStreetwiseLVL+5)/6)*2																		SOURCEPAGE:CAd
Vigilante Smite Guilty	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VigilanteSmiteGuiltyLVL|0					BONUS:VAR|SmiteGuilty|(VigilanteSmiteGuiltyLVL+2)/4	BONUS:VAR|SmiteGuiltyDamage|VigilanteSmiteGuiltyLVL																	SOURCEPAGE:CAd
Wild Plains Outrider Ride Bonus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WildPlainsOutriderRideLVL|0					BONUS:VAR|RideBonus|WildPlainsOutriderRideLVL	BONUS:VAR|HandleAnimalBonus|WildPlainsOutriderRideLVL																	
																																
# Ability Name																																
Trick ~ Assist Attack	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Attack													DESC:Assist Attack ~ DC 20 ~ The animal aids your attack or that of another creature as standard action. You must designate both the recipient of the aid and a specific opponent when commanding the animal to perform the task.	SOURCEPAGE:CAd													
Trick ~ Assist Defend	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Defend													DESC:Assist Defend ~ DC 20 ~ The animal aids your defense or that of another creature as standard action. You must designate both the recipient of the aid and a specific opponent when commanding the animal to perform the task.	SOURCEPAGE:CAd													
Trick ~ Assist Track	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Track													DESC:Assist Track ~ DC 20 ~ The animal aids your attempt to track another creature.	SOURCEPAGE:CAd													
Trick ~ Hold	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Attack													DESC:Hold ~ DC 20 ~ The animal initiate a grapple attack and attempt to hold a designated enemy in its arms, claws or teeths.	SOURCEPAGE:CAd													
Trick ~ Home	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Home ~ DC 20 ~ The animal return to the location where it was trained to perform this trick, traveling overland as required.	SOURCEPAGE:CAd													
Trick ~ Hunt	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Hunt ~ DC 20 ~ The animal attepts to hunt and forage for food for you using its Survival skill.	SOURCEPAGE:CAd													
Trick ~ Stalk	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Attack													DESC:Stalk ~ DC 20 ~ The animal follows a designated target, doing its best to remain undetected, until the target is wounded or resting, and then attacks.	SOURCEPAGE:CAd													
Trick ~ Steal	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Fetch													DESC:Steal ~ DC 20 ~ The animal grabs an object in the possession of a target creature, wrests it away, and brings it to you.	SOURCEPAGE:CAd													
Trick ~ Subdue	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Attack													DESC:Subdue ~ DC 20 ~ The animal attacks a designated target creature to deal nonlethal damage, taking -4 penalty on its attack roll.	SOURCEPAGE:CAd													
Trick ~ Warn	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Guard													DESC:Warn ~ DC 20 ~ the animal reacts to new creatures coming near, even without any command being given, regardless of whether the animal sees the newcomer, or hears it or detects the creature with scent.	SOURCEPAGE:CAd													
Purpose ~ Advanced Fighting	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Advanced Fighting (Assist Attack/Attack/Down/Hold/Stay/Subdue)	SOURCEPAGE:CAd	ABILITY:Special Ability|AUTOMATIC|Trick ~ Assist Attack|Trick ~ Attack|Trick ~ Down|Trick ~ Hold|Trick ~ Stay|Trick ~ Subdue												
Purpose ~ Defensive Guarding	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Defensive Guarding (Defend/Down/Guard/Hold/Subdue/Warn)	SOURCEPAGE:CAd	ABILITY:Special Ability|AUTOMATIC|Trick ~ Defend|Trick ~ Down|Trick ~ Guard|Trick ~ Hold|Trick ~ Subdue|Trick ~ Warn												
Purpose ~ Thievery	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Thievery (Fetch/Heel/Home/Seek/Steal/Work)	SOURCEPAGE:CAd	ABILITY:Special Ability|AUTOMATIC|Trick ~ Fetch|Trick ~ Heel|Trick ~ Home|Trick ~ Seek|Trick ~ Steal|Trick ~ Work												
#																																
