SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net										
#
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE	CONTIGUOUS
14				ABILITY:Special Ability|AUTOMATIC|Ghost Mind|Ninja Ghost Mind			BONUS:VAR|NinjaGhostMindLVL|CL					
15												
16				ABILITY:Special Ability|AUTOMATIC|Ghost Sight								
17												
18												
19												
20				ABILITY:Special Ability|AUTOMATIC|Ghost Walk								
#												
CLASS:Scout	HD:8	TYPE:Base.PC	ABB:Sco	MAXLEVEL:20	SOURCEPAGE:CAd	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Scout	STARTSKILLPTS:8	CSKILL:Balance|Climb|TYPE.Craft|Escape Artist|Hide|Jump|Knowledge (Dungeoneering)|Knowledge (Geography)|Knowledge (Nature)|Listen|Move Silently|Ride|Search|Sense Motive|Speak Language|Spot|Survival|Swim|Tumble|Use Rope										
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Scout Weapon Proficiencies									
1		AUTO:FEAT|Armor Proficiency (Light)										
#												
1				ABILITY:Special Ability|AUTOMATIC|Skirmish Attack|Skirmish AC|Scout Skirmish|Trapfinding			BONUS:VAR|ScoutSkirmishLVL|CL					
2				ABILITY:Special Ability|AUTOMATIC|Battle Fortitude|Scout Battle Fortitude	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base		BONUS:VAR|ScoutBattleFortitudeLVL|CL	BONUS:VAR|UncannyDodgeFlankingLevel|CL|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLevel|1			
3				ABILITY:Special Ability|AUTOMATIC|Trackless Step|Scout Movement			BONUS:VAR|ScoutMoveLVL|CL					
4							BONUS:ABILITYPOOL|Scout Feat|CL/4					
5				ABILITY:Special Ability|AUTOMATIC|Evasion			BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1|TYPE=Prerequisite|PREEQUIP:1,TYPE=Medium,TYPE=Heavy					
6				ABILITY:Special Ability|AUTOMATIC|Flawless Stride								
7												
8				ABILITY:Special Ability|AUTOMATIC|Camouflage								
9												
10				VISION:Blindsense (30')								
11												
12												
13												
14				ABILITY:Special Ability|AUTOMATIC|Hide in Plain Sight (Ex)								
15												
16												
17												
18				ABILITY:Special Ability|AUTOMATIC|Free Movement								
19												
20				VISION:Blindsight (30')								
#												
CLASS:Spellthief	HD:6	TYPE:Base.PC	ABB:Spt	MAXLEVEL:20	SOURCEPAGE:CAd	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE
CLASS:Spellthief	STARTSKILLPTS:6	CSKILL:Appraise|Bluff|Concentration|TYPE.Craft|Decipher Script|Disable Device|Escape Artist|Gather Information|Hide|Jump|Knowledge (Arcana)|Knowledge (Local)|Listen|Move Silently|Open Lock|Search|Speak Language|Spellcraft|Spot|Swim|Tumble|Use Magic Device										
CLASS:Spellthief	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO		BONUS:CASTERLEVEL|Spellthief|CL/2	BONUSSPELLSTAT:NONE		DEFINE:WarmageEdgeBonus|0				
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies									
1		AUTO:FEAT|Armor Proficiency (Light)										
#												
1				ABILITY:Special Ability|AUTOMATIC|Armored Casting (Bard)|Trapfinding	ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Spellthief Sneak Attack|Steal Spell|Spellthief Steal Spell		BONUS:VAR|SpellthiefSneakAttackLVL|CL	BONUS:VAR|SpellthiefStealSpellLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Detect Magic (Sp)|Spellgrace|Spellthief Spellgrace	ABILITY:Special Ability|AUTOMATIC|Steal Spell Effect|Spellthief Steal Spell Effect			BONUS:VAR|DetectMagicPerDay|max(1,CHA)	BONUS:VAR|DetectMagicLVL|CL	BONUS:VAR|SpellthiefSpellgraceLVL|CL	BONUS:VAR|SpellthiefStealSpellEffectLVL|CL	
3				ABILITY:Special Ability|AUTOMATIC|Steal Energy Resistance|Spellthief Energy Resistance				BONUS:VAR|SpellthiefEnergyResistanceLVL|CL				
4	CAST:0	KNOWN:2										
5	CAST:0	KNOWN:2		ABILITY:Special Ability|AUTOMATIC|Steal SpellLike Ability								
6	CAST:1	KNOWN:3										
7	CAST:1	KNOWN:3		ABILITY:Special Ability|AUTOMATIC|Absorb Spell								
8	CAST:1,0	KNOWN:4,2										
9	CAST:1,0	KNOWN:4,2		ABILITY:Special Ability|AUTOMATIC|Arcane Sight (Sp)|Spellthief Arcane Sight			BONUS:VAR|SpellthiefArcaneSightVL|CL					
10	CAST:1,1	KNOWN:4,3										
11	CAST:1,1,0	KNOWN:4,3,2										
12	CAST:1,1,1	KNOWN:4,4,3										
13	CAST:1,1,1	KNOWN:4,4,3		ABILITY:Special Ability|AUTOMATIC|Discover Spell								
14	CAST:2,1,1,0	KNOWN:4,4,4,2										
15	CAST:2,1,1,1	KNOWN:4,4,4,3		ABILITY:Special Ability|AUTOMATIC|Steal Spell Resistance								
16	CAST:2,2,1,1	KNOWN:4,4,4,3										
17	CAST:2,2,2,1	KNOWN:5,4,4,4										
18	CAST:3,2,2,1	KNOWN:5,5,4,4										
19	CAST:3,3,3,2	KNOWN:5,5,5,4										
20	CAST:3,3,3,3	KNOWN:5,5,5,5										
