SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net									
#											
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE
CLASS:Ranger CW	HD:8	TYPE:Base.PC	ABB:RgrCW	MAXLEVEL:20	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE		
#CLASS:Ranger CW											
CLASS:Ranger CW	STARTSKILLPTS:6	CSKILL:Climb|Concentration|TYPE.Craft|Handle Animal|Heal|Hide|Jump|Knowledge (Dungeoneering)|Knowledge (Geography)|Knowledge (Nature)|Listen|Move Silently|TYPE.Profession|Ride|Search|Spot|Survival|Swim|Use Rope									
1		ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|All Martial Weapon Proficiencies	AUTO:FEAT|Simple Weapon Proficiency|Martial Weapon Proficiency Output								
1		AUTO:FEAT|Armor Proficiency (Light)									
1		AUTO:FEAT|Shield Proficiency									
#											
1				ABILITY:Special Ability|AUTOMATIC|Basic Favored Enemy|Ranger CW Favored Enemy			BONUS:VAR|RangerCWFavoredEnemyLVL|CL				
#											
1				ABILITY:Special Ability|AUTOMATIC|Ranger Combat Tree							
#											
1			AUTO:FEAT|Track	ABILITY:Special Ability|AUTOMATIC|Wild Empathy			BONUS:VAR|WildEmpathy|CL				
2											
3			AUTO:FEAT|Endurance								
4				ABILITY:Special Ability|AUTOMATIC|Animal Companion|Ranger CW Animal Companion			BONUS:VAR|RangerCWAnimalCompLVL|CL				
5											
6				ABILITY:Special Ability|AUTOMATIC|Fast Movement ~ Ranger CW							
7				ABILITY:Special Ability|AUTOMATIC|Woodland Stride							
8				ABILITY:Special Ability|AUTOMATIC|Swift Tracker							
9				ABILITY:Special Ability|AUTOMATIC|Evasion			BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1|TYPE=Prerequisite|PREEQUIP:1,TYPE=Medium,TYPE=Heavy				
10											
11				ABILITY:Special Ability|AUTOMATIC|Nature's Blessing|Ranger CW Nature's Blessing			BONUS:VAR|RangerCWNatureSBlessingLVL|CL				
12											
13				ABILITY:Special Ability|AUTOMATIC|Camouflage							
14											
15											
16				ABILITY:Special Ability|AUTOMATIC|Freedom of Movement (Sp)			BONUS:VAR|FreedomOfMovementTimes|1	BONUS:VAR|FreedomOfMovementLVL|CL/2			
17				ABILITY:Special Ability|AUTOMATIC|Hide in Plain Sight (Ranger)							
18											
19											
20											
