SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
1				ABILITY:Special Ability|AUTOMATIC|Special Mount|Mounted Weapon Bonus|Cavalier Mounted Weapon Bonus Lance	ABILITY:Special Ability|AUTOMATIC|Ride Bonus|Cavalier Ride Bonus|Courtly Knowledge		BONUS:VAR|SpecialMountLVL|CL	BONUS:VAR|CavalierMountedLanceLVL|CL	BONUS:VAR|CavalierRideBonusLVL|CL	BONUS:VAR|CourtlyKnowledgeBonus|CL		
2				ABILITY:Special Ability|AUTOMATIC|Cavalier Mounted Weapon Bonus Sword|Deadly Charge			BONUS:VAR|CavalierMountedSwordLVL|CL	BONUS:VAR|DeadlyChargePerDay|CL/2				
3				ABILITY:Special Ability|AUTOMATIC|Burst of Speed								
4												
5												
6				ABILITY:Special Ability|AUTOMATIC|Full Mounted Attack								
7												
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Unstoppable Charge								
#												
CLASS:Dark Hunter	HD:8	TYPE:Prestige	ABB:DHu	MAXLEVEL:5	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Dark Hunter	PREATT:5	PRESKILL:1,Craft (Trapmaking)=5	PRESKILL:3,Knowledge (Dungeoneering)=2,Move Silently=2,Survival=2	PREFEAT:2,Blind Fight,Track								
CLASS:Dark Hunter	STARTSKILLPTS:4	CSKILL:Climb|Concentration|TYPE.Craft|Disable Device|Hide|Knowledge (Dungeoneering)|Listen|Move Silently|TYPE.Profession|Spot|Survival|Swim|Use Rope										
1				ABILITY:Special Ability|AUTOMATIC|Stonecunning ~ Base			DEFINE:StonecunningLevel|2					
2				ABILITY:Special Ability|AUTOMATIC|Enhanced Darkvision			BONUS:VISION|DarkVision|30					
3				ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Dark Hunter Sneak Attack			BONUS:VAR|DarkHunterSneakAttackLVL|CL					
4				ABILITY:Special Ability|AUTOMATIC|Stone Hue								
5				ABILITY:Special Ability|AUTOMATIC|Death Attack			BONUS:VAR|DeathAttack|CL					
#												
CLASS:Darkwood Stalker	HD:8	TYPE:Prestige	ABB:Dws	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Darkwood Stalker	PREMULT:1,[PRERACE:1,Elf%,Half-Elf],[PRERACE:1,RACESUBTYPE=Elf]	PREATT:5	PRESKILL:5,Hide=5,Listen=5,Move Silently=5,Spot=5,Survival=5	PRELANG:1,Orc	PREFEAT:2,Dodge,Track							
CLASS:Darkwood Stalker	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Heal|Hide|Jump|Knowledge (Nature)|Listen|Move Silently|TYPE.Profession|Ride|Search|Spot|Survival|Swim|Use Rope										
1				ABILITY:Special Ability|AUTOMATIC|Basic Ancient Foe|Darkwood Ancient Foe			BONUS:VAR|DarkwoodAncientFoeLVL|CL					
2				ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base			BONUS:VAR|UncannyDodgeFlankingLevel|CL|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLevel|1				
3				ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Darkwood Sneak Attack			BONUS:VAR|DarkwoodSneakAttackLVL|CL					
4				VISION:Darkvision (30')								
5								BONUS:VAR|UncannyDodgeLevel|1				
6												
7				VISION:Darkvision (60')								
8				ABILITY:Special Ability|AUTOMATIC|Dodge Critical|Darkwood Dodge Critical								
9												
10				ABILITY:Special Ability|AUTOMATIC|Death Attack (Orc)			BONUS:VAR|DeathAttackOrc|CL					
#												
CLASS:Dervish	HD:10	TYPE:Prestige	ABB:Der	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Dervish	PREATT:5	PRESKILL:2,Perform (Dance)=3,Tumble=3	PREFEAT:3,Combat Expertise,Dodge,Mobility	PREFEAT:1,CHECKMULT,Weapon Focus(TYPE=Slashing)								
CLASS:Dervish	STARTSKILLPTS:4	CSKILL:Balance|TYPE.Craft|Escape Artist|Jump|Listen|TYPE.Perform|TYPE.Profession|Swim|Tumble										
1				ABILITY:Special Ability|AUTOMATIC|Dervish AC Bonus|Dervish Dance|Dervish Dervish Dance|Movement Mastery|Slashing Blades			BONUS:VAR|DervishACBonus|CL	BONUS:VAR|DervishDanceLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Dervish Fast Movement			BONUS:VAR|DervishMoveBonus|((CL+1)/3)*5					
3			VFEAT:Spring Attack									
4				ABILITY:Special Ability|AUTOMATIC|Dance of Death ~ Dervish								
5												
6				ABILITY:Special Ability|AUTOMATIC|Improved Reaction|Dervish Improved Reaction								
7				ABILITY:Special Ability|AUTOMATIC|Elaborate Parry|Dervish Elaborate Parry								
8												
9				ABILITY:Special Ability|AUTOMATIC|Tireless Dance								
10				ABILITY:Special Ability|AUTOMATIC|A Thousand Cuts|Dervish A Thousand Cuts								
#												
###TODO CONTIGUOUS:Monk												
CLASS:Drunken Master	HD:8	TYPE:Prestige	ABB:Dru	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Drunken Master	PRESKILL:1,Tumble=8	PREFEAT:3,Dodge,Great Fortitude,Improved Unarmed Strike	PREABILITY:1,CATEGORY=Special Ability,Evasion	PREABILITY:1,CATEGORY=Special Ability,Flurry of Blows	PRETEXT:Must be chosen by existing drunken masters and survive a night of revelry among them without being incarcerated, poisoned or extraordinarily embarassed							
CLASS:Drunken Master	STARTSKILLPTS:4	CSKILL:Balance|Bluff|Climb|TYPE.Craft|Escape Artist|Hide|Jump|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Swim|Tumble										
1				ABILITY:Special Ability|AUTOMATIC|Drink like a Demon|Improvised Weapons								
2				ABILITY:Special Ability|AUTOMATIC|Stagger								
3				ABILITY:Special Ability|AUTOMATIC|Swaying Waist								
4				ABILITY:Special Ability|AUTOMATIC|Drunken Master AC Bonus|Improved Improvised Weapons			BONUS:VAR|DrunkenMasterACBonusLVL|CL					
5				ABILITY:Special Ability|AUTOMATIC|Greater Improvised Weapons								
6		VFEAT:Improved Feint										
7		VFEAT:Improved Grapple										
8				ABILITY:Special Ability|AUTOMATIC|For Medicinal Purpose (Sp)			BONUS:VAR|MedicinalPurposePerDay|3					
9				ABILITY:Special Ability|AUTOMATIC|Corckscrew Rush|Superior Improvised Weapons								
10				ABILITY:Special Ability|AUTOMATIC|Breath of Flame (Sp)|Drunken Master Breath Flame (Sp)			BONUS:VAR|DrunkenMasterBreathFlameLVL|CL					
#												
CLASS:Exotic Wepon Master	HD:10	TYPE:Prestige	ABB:Ewm	MAXLEVEL:3	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Exotic Wepon Master	PREATT:6	PREFEAT:1,CHECKMULT,Exotic Weapon Proficiency	PREFEAT:1,CHECKMULT,Weapon Focus									
CLASS:Exotic Wepon Master	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Intimidate|TYPE.Profession										
1							BONUS:ABILITYPOOL|Exotic Weapon Stunt|CL					
2												
3												
#												
CLASS:Eye of Gruumsh	HD:12	TYPE:Prestige	ABB:Eye	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Eye of Gruumsh	PREMULT:1,[PRERACE:1,Orc%,Half-Orc],[PRERACE:1,RACESUBTYPE=Orc]	PREALIGN:CE,CN,NE	PREATT:6	PREFEAT:2,Exotic Weapon Proficiency(Axe (Orc Double)),Weapon Focus(Axe (Orc Double))	PREDEITY:1,Gruumsh	PRETEXT:Must pop out his own right eye in a special ritual						
CLASS:Eye of Gruumsh	STARTSKILLPTS:2	CSKILL:Climb|Intimidate|Jump|Ride|Survival|Swim										
1			VFEAT:Blind Fight	ABILITY:Special Ability|AUTOMATIC|Command the Horde								
1				ABILITY:Special Ability|AUTOMATIC|Rage|Eye of Gruumsh Rage			BONUS:VAR|EyeGruumshRageTimesLVL,EyeGruumshRagePowerLVL|CL					
2				ABILITY:Special Ability|AUTOMATIC|Swing Blindly								
3				ABILITY:Special Ability|AUTOMATIC|Ritual Scarring|Eye of Gruumsh Ritual Scarring			BONUS:VAR|EyeGruumshRitualScarringLVL|CL					
4				ABILITY:Special Ability|AUTOMATIC|Blinding Spittle			BONUS:VAR|BlindingSpittlePerDay|2					
5				VISION:Blindsight (5')								
6												
7							BONUS:VAR|BlindingSpittlePerDay|2					
8				VISION:Blindsight (10')								
9												
10				ABILITY:Special Ability|AUTOMATIC|Sight of Gruumsh								
#												
CLASS:Frenzied Berserk	HD:12	TYPE:Prestige	ABB:Fre	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Frenzied Berserk	PREALIGN:NG,TN,NE,CG,CN,CE	PREATT:6	PREFEAT:4,Cleave,Destructive Rage,Intimidating Rage,Power Attack									
CLASS:Frenzied Berserk	STARTSKILLPTS:2	CSKILL:Climb|Intimidate|Jump|Ride|Ride|Swim										
1			VFEAT:Diehard	ABILITY:Special Ability|AUTOMATIC|Frenzy|Frenzied Berserker Frenzy			BONUS:VAR|FrenziedBFrenzyTimesLVL|CL	BONUS:VAR|FrenziedBFrenzyPowerLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Supreme Cleave								
3												
4				ABILITY:Special Ability|AUTOMATIC|Deathless Frenzy								
5				ABILITY:Special Ability|AUTOMATIC|Improved Power Attack								
6				ABILITY:Special Ability|AUTOMATIC|Inspire Frenzy|Frenzied Berserker Inspire Frenzy			BONUS:VAR|FrenziedBerserkerInspireFrenzyLVL|CL					
7												
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Supreme Power Attack								
#												
CLASS:Gnome Giant-Slayer	HD:10	TYPE:Prestige	ABB:Ggs	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Gnome Giant-Slayer	PREMULT:1,[PRERACE:1,Gnome%],[PRERACE:1,RACESUBTYPE=Gnome]	PREATT:5	PRESKILL:2,Escape Artist=3,Tumble=3	PRELANG:1,Giant	PREFEAT:3,Dodge,Mobility,Spring Attack							
CLASS:Gnome Giant-Slayer	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Escape Artist|Hide|Intimidate|Jump|Move Silently|Tumble|Use Rope										
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Gnome Giant-Slayer										
#												
1				ABILITY:Special Ability|AUTOMATIC|Basic Favored Enemy|Gnome Giant Slayer Favored Enemy	ABILITY:Special Ability|NORMAL|Favored Enemy (Giant)		BONUS:VAR|GnomeGiantSlayerFavoredEnemyLVL|CL					
2				ABILITY:Special Ability|AUTOMATIC|Crafty Fighter								
3				ABILITY:Special Ability|AUTOMATIC|Slippery								
4												
5				ABILITY:Special Ability|AUTOMATIC|Close Shot								
6				ABILITY:Special Ability|AUTOMATIC|Gnome Giant Slayer Fast Movement								
7												
8				ABILITY:Special Ability|AUTOMATIC|Improved Mobility								
9				ABILITY:Special Ability|AUTOMATIC|Annoying Strike								
10				ABILITY:Special Ability|AUTOMATIC|Defensive Roll								
#												
CLASS:Halfling Outrider	HD:8	TYPE:Prestige	ABB:Hfo	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Halfling Outrider	PREMULT:1,[PRERACE:1,Halfling%],[PRERACE:1,RACESUBTYPE=Halfling]	PREATT:5	PRESKILL:2,Listen=3,Spot=3	PRESKILL:1,Ride=6	PREFEAT:2,Mounted Combat,Mounted Archery							
CLASS:Halfling Outrider	STARTSKILLPTS:4	CSKILL:Handle Animal|Listen|Ride|Spot|Survival						DEFINE:SpecialMountLVL|0	DEFINE:AnimalCompanionLVL|0			
1			VFEAT:Alertness	ABILITY:Special Ability|AUTOMATIC|Outrider AC Bonus|Outrider Mount|Ride Bonus			BONUS:VAR|OutriderACBonusLVL|CL	BONUS:VAR|OutriderMountLVL|CL	BONUS:VAR|RideBonus|CL			
2				ABILITY:Special Ability|AUTOMATIC|Defensive Riding								
3				ABILITY:Special Ability|AUTOMATIC|Unbroken Charge								
4				ABILITY:Special Ability|AUTOMATIC|Stand on Mount								
5				ABILITY:Special Ability|AUTOMATIC|Leap from Saddle								
6				ABILITY:Special Ability|AUTOMATIC|Evasion|Improved Evasion			BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1|TYPE=Prerequisite|PREEQUIP:1,TYPE=Medium,TYPE=Heavy					
7												
8				ABILITY:Special Ability|AUTOMATIC|Full Mounted Attack								
9												
10				ABILITY:Special Ability|AUTOMATIC|Quick Turn								
#												
CLASS:Hulking Hurler	HD:10	TYPE:Prestige	ABB:Hul	MAXLEVEL:3	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Hulking Hurler	PREATT:5	PREFEAT:2,Point Blank Shot,Power Attack	PREFEAT:1,CHECKMULT,Weapon Focus(TYPE=Ranged)	PRESIZEGTEQ:L								
CLASS:Hulking Hurler	STARTSKILLPTS:2	CSKILL:Climb|Intimidate|Jump|Swim										
1				ABILITY:Special Ability|AUTOMATIC|Catch Weapon|Really Throw Anything								
2							BONUS:ABILITYPOOL|Hurl Trick|CL-1					
3												
#												
CLASS:Hunter of the Dead	HD:8	TYPE:Prestige	ABB:Hud	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Hunter of the Dead	PREALIGN:LG,LN,NG,TN,CG,CN	PREATT:5	PRESKILL:1,Knowledge (Religion)=5	PREABILITY:1,CATEGORY=Special Ability,Turn Undead	PRETEXT:Must have lost one level or had an ability score drained by an undead creature.							
CLASS:Hunter of the Dead	STARTSKILLPTS:2	CSKILL:Concentration|Heal|Knowledge (Religion)|TYPE.Profession|Ride|Search										
CLASS:Hunter of the Dead	SPELLSTAT:WIS	SPELLTYPE:Divine	SPELLBOOK:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Hunter of the Dead|CL							
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Detect Undead (Sp)			BONUS:VAR|DetectUndeadLVL|CL					
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Smite Undead|Hunter Dead Smite Undead			BONUS:VAR|HunterDeadSmiteUndeadLVL|CL					
3	CAST:0,1,0			ABILITY:Special Ability|AUTOMATIC|Spurn Death's Touch								
4	CAST:0,1,1											
5	CAST:0,1,1,0			ABILITY:Special Ability|AUTOMATIC|True Death								
6	CAST:0,1,1,1		VFEAT:Extra Turning									
7	CAST:0,2,1,1,0											
8	CAST:0,2,1,1,1			ABILITY:Special Ability|AUTOMATIC|Positive Energy Burst|Hunter of the Dead Positive Energy Burst			BONUS:VAR|HunterOfTheDeadPositiveBurstLVL|CL					
9	CAST:0,2,2,1,1											
10	CAST:0,2,2,2,1			ABILITY:Special Ability|AUTOMATIC|Sealed Life								
#												
CLASS:Invisible Blade	HD:6	TYPE:Prestige	ABB:Inv	MAXLEVEL:5	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Invisible Blade	PRESKILL:1,Sense Motive=6	PRESKILL:1,Bluff=8	PREFEAT:1,Weapon Focus(Dagger),Weapon Focus(Kukri)	PREFEAT:2,Far Shot,Point Blank Shot	PRETEXT:Must defeat a worthy opponent using only daggers o kukris							
CLASS:Invisible Blade	STARTSKILLPTS:4	CSKILL:Balance|Bluff|Climb|TYPE.Craft|Escape Artist|Jump|Hide|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Sense Motive|Spot|Tumble										
1				ABILITY:Special Ability|AUTOMATIC|Dagger Sneak Attack|Invisible Blade Dagger Sneak Attack|Invisible Blade Unfettered Defense|Unfettered Defense			BONUS:VAR|InvisibleBladeDaggerSneakAttackLVL|CL	BONUS:VAR|InvisibleBladeUnfetteredDefenseLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Bleeding Wound								
3				ABILITY:Special Ability|AUTOMATIC|Uncanny Feint|Invisible Blade Uncanny Feint			BONUS:VAR|InvisibleBladeUncannyFeintLVL|CL					
4				ABILITY:Special Ability|AUTOMATIC|Feint Mastery								
5												
#												
###TODO CONTIGUOUS:Paladin												
CLASS:Justicar	HD:10	TYPE:Prestige	ABB:Jus	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Justicar	PREALIGN:LG,LN,LE	PREATT:6	PRESKILL:3,Gather Information=5,Search=5,Survival=5	PREFEAT:1,Skill Focus(Gather Information)								
CLASS:Justicar	STARTSKILLPTS:4	CSKILL:Bluff|Climb|Disguise|Gather Information|Heal|Hide|Intimidate|Jump|TYPE.Knowledge|Listen|Move Silently|Open Lock|Ride|Search|Sense Motive|Spot|Survival|Swim|Use Rope										
1				ABILITY:Special Ability|AUTOMATIC|Bring'em Back Alive|Non Lethal Strike|Justicar Non Lethal Strike			BONUS:VAR|JusticarNonLethalStrikeLVL|CL					
2			VFEAT:Improved Grapple	ABILITY:Special Ability|AUTOMATIC|Justicar Crippling Strike								
3			VFEAT:Exotic Weapon Proficiency(Manacles)	ABILITY:Special Ability|AUTOMATIC|Street Savvy|Justicar Street Savvy								
4												
5				ABILITY:Special Ability|AUTOMATIC|Hog tie|Justicar Hog tie			BONUS:VAR|JusticarHogTieLVL|CL					
6												
7												
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Intuition (Su)								
#												
###TODO CONTIGUOUS:Samurai|Paladin|Monk												
CLASS:Kensai	HD:10	TYPE:Prestige	ABB:Ken	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Kensai	PREALIGN:LG,LN,LE	PREATT:5	PRESKILL:3,Concentration=5,Diplomacy=5,Ride=5	PREFEAT:1,Combat Expertise	PREFEAT:1,CHECKMULT,Weapon Focus(TYPE=ANY)	PRETEXT:Must complete an oath of service to either an overlord or an ideal						
CLASS:Kensai	STARTSKILLPTS:4	CSKILL:Balance|Climb|Concentration|TYPE.Craft|Diplomacy|Intimidate|Jump|Knowledge (Local)|Knowledge (Nobility and Royalty)|Ride|Sense Motive										
1							BONUS:ABILITYPOOL|Signature Weapon|1					
2				ABILITY:Special Ability|AUTOMATIC|Power Surge								
3												
4				ABILITY:Special Ability|AUTOMATIC|Ki Projection|Kensai Ki Projection			BONUS:VAR|KensaiKiProjectionLVL|CL					
5				ABILITY:Special Ability|AUTOMATIC|Withstand								
6												
7												
8				ABILITY:Special Ability|AUTOMATIC|Instill|Kensai Instill								
9												
10				ABILITY:Special Ability|AUTOMATIC|Ki Warlord								
#												
###TODO CONTIGUOUS:Paladin												
CLASS:Knight of the Chalice	HD:10	TYPE:Prestige	ABB:Cha	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Knight of the Chalice	PREALIGN:LG	PREATT:8	PRESKILL:1,Knowledge (The Planes)=5	PRESKILL:1,Knowledge (Religion)=10	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1	PRESPELL:1,Protection from Evil					
CLASS:Knight of the Chalice	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Intimidate|Knowledge (The Planes)|Knowledge (Religion)|TYPE.Profession|Sense Motive										
CLASS:Knight of the Chalice	SPELLSTAT:WIS	SPELLTYPE:Divine	SPELLBOOK:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Knight of the Chalice|CL							
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Fiendslaying|Knight of the Chalice Fiendslaying			BONUS:VAR|KnightChaliceFiendslayingLVL|CL					
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Censure Demons|Knight of the Chalice Censure Demons|Courage of Heavens (fear)			BONUS:VAR|CensurePowerLVL|CL					
3	CAST:0,1,0											
