SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|					Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Bonedrinker (Lesser)	OUTPUTNAME:[NAME] Lesser		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	LANGAUTO:Goblin,Common	LANGBONUS:ALL	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|8		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Move Silently|Spot			AUTO:WEAPONPROF|Bonedrinker Tentacle	AUTO:EQUIP|Bonedrinker Tentacle					LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Bonedrink|Improved Grab|Pounce	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Resistance To Fire|Resistance To Sonic|Scent|Unholy Toughness								MONSTERCLASS:Undead:7	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:10		CR:4	SOURCEPAGE:MM3		BONUS:VAR|ColdResistanceBonus|5	BONUS:VAR|FireResistanceBonus|5	BONUS:VAR|SonicResistanceBonus|5					
Brood Keeper			STARTFEATS:1	SIZE:H	MOVE:Walk,60	FACE:15	REACH:10	VISION:Darkvision (60')|Low-light				LANGBONUS:ALL	BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|14	BONUS:STAT|INT|-4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Spot									LEGS:6	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Fear|Improved Grab|Larva Swarm|Pounce|Rake|Rend	ABILITY:Special Ability|AUTOMATIC|Evasion|Fast Healing					SR:26	DR:5/-		MONSTERCLASS:Magical Beast:22	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:31,44		CR:16	SOURCEPAGE:MM3		BONUS:VAR|FastHealing|5	BONUS:VAR|EvasionUsable|1						
Swarm (Brood Keeper Larva Swarm)	OUTPUTNAME:[NAME] Swarm		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,30	FACE:10	REACH:0	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-10	BONUS:STAT|DEX|14	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)			NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning.Poison,*1,5d6		ABILITY:Special Ability|AUTOMATIC|Distraction	ABILITY:Special Ability|AUTOMATIC|Evasion|Fast Healing				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	SR:22	DR:1/-		MONSTERCLASS:Magical Beast:22	RACETYPE:Magical Beast	RACESUBTYPE:Swarm	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Swarm					CR:12	SOURCEPAGE:MM3		BONUS:VAR|FastHealing|1	BONUS:VAR|EvasionUsable|1	BONUS:VAR|Maneuverability|5					
Cadaver Collector			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light			LANGAUTO:Common		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20			BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,4d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Paralyzing Gas|Impale|Improved Grab|Trample	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:10/Adamantine		MONSTERCLASS:Construct:17	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct				HITDICEADVANCEMENT:34		CR:12	SOURCEPAGE:MM3		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDuration|1						
Cadaver Collector (Greater)	OUTPUTNAME:[NAME] Cadaver Collector		STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:15	VISION:Darkvision (60')|Low-light			LANGAUTO:Common		BONUS:COMBAT|AC|23|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|28	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,6d8		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Paralyzing Gas|Impale|Improved Grab|Trample	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:10/Adamantine		MONSTERCLASS:Construct:35	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct				HITDICEADVANCEMENT:60		CR:17	SOURCEPAGE:MM3		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDuration|1						
Changeling		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				LANGAUTO:Common	LANGBONUS:Auran,Dwarven,Elven,Giant,Gnome,Halfling,Terran			BONUS:SKILL|Bluff,Intimidate,Sense Motive|2|TYPE=Racial	CSKILL:Speak Language											MONCSKILL:Speak Language									LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Sneak Attack	ABILITY:Special Ability|AUTOMATIC|Resistance To Sleep|Resistance To Charm 2|Change Shape (Minor)								MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Shapechanger	TYPE:Humanoid	TEMPLATE:Humanoid	TEMPLATE:Shapechanger					CR:1/2	SOURCEPAGE:MM3		BONUS:VAR|SneakAttack|2	BONUS:VAR|SleepResistanceBonus|2	BONUS:VAR|CharmResistanceBonus|2					
Charnel Hound				SIZE:H	MOVE:Walk,40	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:CE			BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|28	BONUS:STAT|DEX|4				BONUS:STAT|CHA|8								AUTO:FEAT|Power Attack				LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Body Integration|Rend	ABILITY:Special Ability|AUTOMATIC|Aversion To Daylight|Frightful Presence ~ Su|Unholy Toughness					SR:23	DR:10/Silver and Magic		MONSTERCLASS:Undead:21	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead|Mindless				HITDICEADVANCEMENT:31,63		CR:13	SOURCEPAGE:MM3		BONUS:VAR|FrightfulPresRange|60							
Chelicera				SIZE:G	MOVE:Walk,30,Climb,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb,Hide,Listen|8|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|8	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2												LEGS:8	HANDS:0	BONUS:COMBAT|TOHIT.GRAPPLE|4|TYPE=Racial	BONUS:COMBAT|TOHIT.GRAPPLE|DEX-STR		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Disease,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Chelicera|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Mimicry|Scent			ABILITY:Special Ability|AUTOMATIC|Chelicera Skills					MONSTERCLASS:Vermin:12	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin|Mindless				HITDICEADVANCEMENT:16,36		CR:6	SOURCEPAGE:MM3									
Chraal			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10		BONUS:STAT|CON|10	BONUS:STAT|INT|-2		BONUS:STAT|CHA|4			MONCSKILL:Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Cold,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Cold|Death Throes|Freeze (Ex)	ABILITY:Special Ability|AUTOMATIC|Deflecting Cold						DR:5/-		MONSTERCLASS:Elemental (Cold):9	RACETYPE:Elemental	RACESUBTYPE:Cold	TYPE:Elemental	TEMPLATE:Elemental		TEMPLATE:Cold		HITDICEADVANCEMENT:18,27		CR:6	SOURCEPAGE:MM3		BONUS:VAR|BreathWeaponCone|60	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|6					
Swarm (Cinder Swarm)	OUTPUTNAME:[NAME] Swarm		STARTFEATS:1	SIZE:F	MOVE:Walk,40,Fly,40	FACE:10	REACH:0	VISION:Darkvision (60')					BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-10	BONUS:STAT|DEX|12		BONUS:STAT|INT|-6					MONCSKILL:Hide|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)			NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning.Fire,*1,4d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Burn					ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Elemental (Air/Fire):16	RACETYPE:Elemental	RACESUBTYPE:Swarm	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Swarm	TEMPLATE:Fire				CR:13	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|4							
Ooze (Conflagration Ooze)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,10	FACE:10	REACH:10	VISION:Blindsight (60')			LANGAUTO:Ignan		BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|8|TYPE=Racial				BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Climb|Hide|Listen|Move Silently					AUTO:FEAT|Ability Focus(Fire in the Blood)				LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Fire,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Fire in the Blood|Improved Grab							DR:5/Bludgeoning		MONSTERCLASS:Ooze:7	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Ooze				HITDICEADVANCEMENT:11,21		CR:7	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Confusion,14+CHA|Deep Slumber,13+CHA|Hold Monster,15+CHA								
Deathshrieker			STARTFEATS:1	SIZE:M	MOVE:Fly,40	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	LANGAUTO:Common	LANGBONUS:ALL								BONUS:STAT|DEX|15		BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|10			MONCSKILL:Hide|Intimidate|Listen|Search|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal touch,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Death Rattle|Despair|Scream of the Dying	ABILITY:Special Ability|AUTOMATIC|Turn Resistance|Death's Grace|Vulnerability To Silence				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Undead:18	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead	TEMPLATE:Undead	TEMPLATE:Incorporeal			HITDICEADVANCEMENT:30		CR:15	SOURCEPAGE:MM3		BONUS:VAR|TurnResistBonus|4	BONUS:VAR|DeathGraceBonus|HD/3	BONUS:VAR|Maneuverability|4					
Demon (Arrow Demon)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			PREALIGN:CE	LANGAUTO:Abyssal,Celestial,Draconic		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|8	BONUS:STAT|CON|18	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Balance|Bluff|Climb|Concentration|Hide|Jump|Listen|Move Silently|Sense Motive|Spot			AUTO:WEAPONPROF|Longsword|TYPE=Simple						LEGS:2	HANDS:4				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Close Combat Shot|Oversized Weapon(TYPE.Longbow)|Symmetrical Archery	ABILITY:Special Ability|AUTOMATIC|Telepathy|Immunity To Electricity|Immunity To Poison|Resistance To Acid|Resistance To Cold|Resistance To Fire	ABILITY:Special Ability|AUTOMATIC|Summon Tanar'ri ~ Arrow Demon				SR:18	DR:5/Good and Cold Iron		MONSTERCLASS:Outsider:8	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider|Tanar'ri		TEMPLATE:Chaotic|Evil		HITDICEADVANCEMENT:20	LEVELADJUSTMENT:8	CR:7	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Dimension Door	BONUS:VAR|TelepathyRange|100	BONUS:VAR|AcidResistanceBonus|10	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10				
