SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																																																																							
																																																																									
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells									
Nekatrix			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,80	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE										BONUS:STAT|DEX|6		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Listen|Search|Decipher Script|Diplomacy|Hide|Spot|Bluff									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Draining Touch|Manifestation|Eternal Obsession|Rejuvenation|Turn Resistance	ABILITY:Special Ability|AUTOMATIC|Frightful Moan								MONSTERCLASS:Undead:15	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:32		CR:12	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Enervation,13+CHA|Dispel Magic,13+CHA|Lightning Bolt,13+CHA|Fear,14+CHA|Bestow Curse,14+CHA|Ghoul Touch,12+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=15|Finger of Death,17+CHA		DEFINE:TurnResistBonus|4	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5				
Necrofossile			STARTFEATS:1	SIZE:S	MOVE:Walk,30,Burrow,20,Climb,20	FACE:5	REACH:5						BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Listen|Knowledge (Local)|Move Silently|Hide|Spot|Climb									LEGS:10	HANDS:2				NATURALATTACKS:Antenna Touch,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,0		ABILITY:Special Ability|AUTOMATIC|Close|Camouflage	ABILITY:Special Ability|AUTOMATIC|Mineralizing Antenna|Disgregate								MONSTERCLASS:Vermin:8	RACETYPE:Vermin		TYPE:Vermin					HITDICEADVANCEMENT:16,24		CR:6	SOURCEPAGE:Nep										
Onirofago			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5				AUTO:LANG|Telepathy		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Escape Artist|Listen|Concentration|Knowledge (Arcana)|Knowledge (Local)|Spot|Sense Motive|Bluff|Sleight of Hand|Spellcraft									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d10		ABILITY:Special Ability|AUTOMATIC|Telepathy|Generate Oniric Children	ABILITY:Special Ability|AUTOMATIC|Sands of Sleep|Phagocytize Dreams								MONSTERCLASS:Aberration:10	RACETYPE:Aberration	RACESUBTYPE:Chaotic|Evil	TYPE:Aberration					HITDICEADVANCEMENT:20		CR:10	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Displacement|Mirror Image|Invisibility|Blur|Suggestion	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Phantasmal Killer|Confusion|Crushing Despair|Mislead|Nightmare|Fear		DEFINE:TelepathyRange|90	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4				
Piaga Funesta (Garghaust)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:C	MOVE:Walk,40,Climb,40	FACE:30	REACH:20			PREALIGN:LE			BONUS:COMBAT|AC|30|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|30	BONUS:STAT|DEX|6	BONUS:STAT|CON|25	BONUS:STAT|INT|2	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8			MONCSKILL:Listen|Search|Concentration|Intimidate|Spot|Sense Motive|Bluff|Spellcraft									LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,4d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,4d8		ABILITY:Special Ability|AUTOMATIC|Flaming Aura (Ex)|Burden of the Spyres|Wave of Fire|Trample	ABILITY:Special Ability|AUTOMATIC|Suffocating Presence	ABILITY:Special Ability|AUTOMATIC|Immunity to Fire|Vulnerability To Cold				SR:35	DR:10/Epic		MONSTERCLASS:Aberration:42	RACETYPE:Aberration	RACESUBTYPE:Piaga Funesta|Fire	TYPE:Aberration					HITDICEADVANCEMENT:*		CR:20	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=1|CASTERLEVEL=21|Spike Stones,10+WIS+(HD/2)									
Piaga Funesta (Maelgrym)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Fly,90	FACE:20	REACH:15			PREALIGN:NE			BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20	BONUS:STAT|DEX|22	BONUS:STAT|CON|16	BONUS:STAT|INT|2	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10			MONCSKILL:Listen|Search|Concentration|Move Silently|Hide|Spot|Spellcraft									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*3,4d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Swallow Whole|Vortex of Lightning	ABILITY:Special Ability|AUTOMATIC|Gaseous Form (Su)|Bearing Presence	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity to Sonic				SR:35	DR:10/Epic		MONSTERCLASS:Aberration:31	RACETYPE:Aberration	RACESUBTYPE:Piaga Funesta|Air	TYPE:Aberration					HITDICEADVANCEMENT:45,*		CR:18	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Chain Lightning,10+CHA+(HD/2)			DEFINE:VortexOfLightningRadius|900	DEFINE:VortexOfLightningDice|15	DEFINE:VortexOfLightningDamageDie|6	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5		
Piaga Funesta (Uthragor)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Swim,60	FACE:20	REACH:15			PREALIGN:CN			BONUS:COMBAT|AC|25|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Swim|8|TYPE=Racial				BONUS:STAT|STR|28	BONUS:STAT|DEX|4	BONUS:STAT|CON|28	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Listen|Search|Concentration|Intimidate|Swim|Spot|Sense Motive|Spellcraft|Climb									LEGS:0	HANDS:8				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,4d6		ABILITY:Special Ability|AUTOMATIC|Burden of the Tentacles|Improved Grab|Swallow Whole|Corrupting Presence		ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Resistance To Cold|Uthragor Swim Ability				SR:35	DR:10/Epic		MONSTERCLASS:Aberration:36	RACETYPE:Aberration	RACESUBTYPE:Piaga Funesta|Water	TYPE:Aberration					HITDICEADVANCEMENT:49,*		CR:19	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Horrid Wilting,10+CHA+(HD/2)									
Piaga Funesta (Xalmuth)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:C	MOVE:Walk,40,Climb,40	FACE:40	REACH:30			PREALIGN:CE			BONUS:COMBAT|AC|40|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|34	BONUS:STAT|DEX|-2	BONUS:STAT|CON|30		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Concentration|Intimidate|Spot|Climb									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d8|Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,4d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,4d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Swallow Whole|Throw Limbs	ABILITY:Special Ability|AUTOMATIC|Overwhelming Presence|Glide on Earth					SR:35	DR:15/Epic		MONSTERCLASS:Aberration:42	RACETYPE:Aberration	RACESUBTYPE:Piaga Funesta|Earth	TYPE:Aberration					HITDICEADVANCEMENT:*		CR:20	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=21|Earthquake	BONUS:VAR|FastHealing|-15								
Purpuride		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:L	MOVE:Walk,40,Burrow,5	FACE:10	REACH:10	VISION:Blindsight (30')			AUTO:LANG|Common|Purpuride	LANGBONUS:Giant,Orc,Terran	BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Survival|4|TYPE=Racial	BONUS:SKILL|Ride|10|TYPE=Racial			BONUS:STAT|STR|8	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Ride|Swim|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Heavy		AUTO:WEAPONPROF|Lance|Longbow						LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Congenital Blindness|Shared Tremorsense|Immunity To Poison|Empatic Contact								MONSTERCLASS:Humanoid (Will):5	RACETYPE:Humanoid		TYPE:Humanoid						LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:Nep										
Swarm (Cheralyon)	OUTPUTNAME:[NAME] Swarm			SIZE:D	MOVE:Walk,20,Fly,30	FACE:15	REACH:0	VISION:Darkvision (60')|Tremorsense (60')		PREALIGN:NE									BONUS:STAT|STR|-10	BONUS:STAT|DEX|8				BONUS:STAT|CHA|-8			MONCSKILL:Listen|Hide|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Poison|Implant									MONSTERCLASS:Vermin:10	RACETYPE:Vermin	RACESUBTYPE:Swarm	TYPE:Vermin	TEMPLATE:Mindless						CR:7	SOURCEPAGE:Nep		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3							
Squartatore Scarlatto			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Disguise,Hide,Bluff|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|4			BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Listen|Disguise|Intimidate|Move Silently|Hide|Spot|Bluff									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Vase Constrict|Blind Fury	ABILITY:Special Ability|AUTOMATIC|Fake Skin|Vulnerability To Sunlight	ABILITY:Special Ability|AUTOMATIC|Squartatore Scarlatto Skill							MONSTERCLASS:Undead:12	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:24		CR:8	SOURCEPAGE:Nep										
Sussurrante			STARTFEATS:1	SIZE:S	MOVE:Walk,15	FACE:5	REACH:5				AUTO:LANG|Telepathy		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Listen|Search|Knowledge (Dungeoneering)|Knowledge (Local)|Diplomacy|Perform (Comedy)|Move Silently|Hide|Spot|Sense Motive|Bluff|Jump									LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Claw,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*2,0		ABILITY:Special Ability|AUTOMATIC|Incorporeal Claws|Possession	ABILITY:Special Ability|AUTOMATIC|Mimetism|Telepathy								MONSTERCLASS:Aberration:4	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:8		CR:4	SOURCEPAGE:Nep				DEFINE:TelepathyRange|30						
Viandante dei Boschi			STARTFEATS:1	SIZE:H	MOVE:Walk,20,Climb,20	FACE:15	REACH:10	VISION:Darkvision (60')|Tremorsense (60')			AUTO:LANG|Sylvan		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently|4|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial			BONUS:STAT|STR|16	BONUS:STAT|DEX|-6	BONUS:STAT|CON|14			BONUS:STAT|CHA|-2			MONCSKILL:Listen|Search|Knowledge (Nature)|Diplomacy|Move Silently|Hide|Spot|Sense Motive|Bluff|Climb|Survival									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Adhesive Mucus|Breath Weapon ~ Stinking Blow	ABILITY:Special Ability|AUTOMATIC|Immunity To Critical Hits						DR:5/Piercing		MONSTERCLASS:Monstrous Humanoid:6	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid					HITDICEADVANCEMENT:12,18		CR:5	SOURCEPAGE:Nep				DEFINE:BreathWeaponDC|10+(HD/2)+CON	DEFINE:BreathWeaponCone|50					
Visceranea			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,20	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently,Hide|4|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Escape Artist|Listen|Balance|Move Silently|Hide|Spot|Climb									LEGS:6	HANDS:2				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d3|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Poison|Visceral Web	ABILITY:Special Ability|AUTOMATIC|Preserving Saliva	ABILITY:Special Ability|AUTOMATIC|Visceranea Skill							MONSTERCLASS:Magical Beast:11	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:22,33		CR:8	SOURCEPAGE:Nep										
# Race Name																																																																									
Burattino				SIZE:T	MOVE:Walk,15	FACE:5	REACH:0	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Perform (Comedy)|4|TYPE=Racial				BONUS:STAT|STR|-2	BONUS:STAT|DEX|6		BONUS:STAT|INT|-4														LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4											MONSTERCLASS:Construct:4	RACETYPE:Construct		TYPE:Construct							CR:1	SOURCEPAGE:Nep										
