SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE
CLASS:Infested	PREALIGN:LE,NE,CE	PRESKILL:1,Knowledge (The Planes)=4	PRESKILL:1,Knowledge (Religion)=8	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=3	PRETEXT:Spirit Lithurgy						
CLASS:Infested	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Listen|Concentration|Knowledge (Religion)|Move Silently|Hide|Spot|TYPE.Profession|Spellcraft										
#												
1				ABILITY:Special Ability|AUTOMATIC|Infested Rebuke Undead|Manifest			BONUS:VAR|InfestedRebukeUndeadLVL|CL	BONUS:VAR|ManifestPerDay|(CL+1)/2	BONUS:VAR|ManifestDuration|CL			
2	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Unhallow (Sp)			BONUS:VAR|UnhallowPerDay|CL/2	BONUS:VAR|UnhallowLVL|CL				
3												
4	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Speak with Dead (Sp)			BONUS:VAR|SpeakWithDeadTimes|CL/2	BONUS:VAR|SpeakWithDeadLVL|CL				
5												
6	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Death Ward (Sp)			BONUS:VAR|DeathWardPerDay|1	BONUS:VAR|DeathWardLVL|CL				
7												
8	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Ethereal Jaunt (Sp)			BONUS:VAR|EtherealJauntPerDay|1	BONUS:VAR|EtherealJauntLVL|CL				
9												
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Etherealness (Sp)			BONUS:VAR|EtherealnessPerDay|1	BONUS:VAR|EtherealnessLVL|CL				
#												
CLASS:Master of Absurd	HD:4	TYPE:Prestige.Nephandum	ABB:MoA	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE		ALLOWBASECLASS:NO	
CLASS:Master of Absurd	PRESKILL:2,Knowledge (Arcana)=8,Spellcraft=8	PRESKILL:1,Knowledge (The Planes)=12	PREALIGN:CG,CN,CE	PREFEAT:1,Spell Focus(Illusion)	PRESPELLSCHOOL:1,Illusion=5	PRETEXT:Must have at least 7 Illusion spells						
CLASS:Master of Absurd	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Escape Artist|Bluff|Concentration|Knowledge (Arcana)|Knowledge (The Planes)|Balance|TYPE.Perform|Hide|Spot|Sense Motive|Disguise										
#												
SUBCLASS:Master of Absurd Illusionist	COST:1	PROHIBITCOST:0	CHOICE:SCHOOL|Illusion									
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Enhanced Specialization ~ Illusion								
#												
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Specialist Defense ~ Illusion			BONUS:VAR|SpecialistDefenseBonus|CL/2					
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Illusory Prodigy								
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Power of Illusions			BONUS:VAR|PowerOfIllusions|CL/2					
4	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Cosmic Warper								
5	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Elusive Allucinations								
6	ADD:SPELLCASTER|Arcane											
7	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Mask of Madness			BONUS:VAR|MaskOfMadnessDC|CL					
8	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Twilight Reality								
9	ADD:SPELLCASTER|Arcane											
10	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Master of Illusions								
#												
CLASS:Dark Reaper	HD:10	TYPE:Prestige.Nephandum	ABB:DrR	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Dark Reaper	PREALIGN:LN,LE,TN,NE,CN,CE	PREATT:5	PRESKILL:1,Intimidate=8	PREFEAT:1,Weapon Specialization(Scythe)	PREFEAT:1,Improved Trip							
CLASS:Dark Reaper	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Ride|Balance|Intimidate|Sense Motive|TYPE.Profession|Gather Information|Use Rope|Appraise										
#												
1		ABILITY:Special Ability|AUTOMATIC|Dark Reaper Level Advanced Feat Tracker					BONUS:VAR|DarkReaperLVL|CL					
1		ABILITY:Special Ability|AUTOMATIC|Weapon Specialization Qualify										
1		ABILITY:Special Ability|AUTOMATIC|Greater Weapon Focus Qualify										
1		ABILITY:Special Ability|AUTOMATIC|Greater Weapon Specialization Qualify										
#												
1				ABILITY:Special Ability|AUTOMATIC|Shift Grasp			BONUS:VAR|ShiftGraspAdvance|(CL+6)/7					
2				ABILITY:Special Ability|AUTOMATIC|Firm Wrist								
3							BONUS:ABILITYPOOL|Fighter Feat|CL/3					
4												
5				ABILITY:Special Ability|AUTOMATIC|Expert Wrist								
6												
#7			VFEAT:Sanguinary Weapon(Scythe)									
7			VFEAT:Sanguinary Weapon(Weapon Focus(Scythe))									
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Dance of the Scythe								
#												
CLASS:Mimetist	HD:6	TYPE:Prestige.Nephandum	ABB:Mim	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Mimetist	PRESKILL:1,Disguise=8	PRESKILL:2,Move Silently=4,Hide=4	PREFEAT:2,Deceitful,Stealthy									
CLASS:Mimetist	STARTSKILLPTS:6	CSKILL:Tumble|TYPE.Craft|Escape Artist|Listen|Disguise|Knowledge (Dungeoneering)|Knowledge (Nature)|Diplomacy|Balance|Move Silently|Hide|Spot|Sense Motive|Bluff|Survival										
#												
1				ABILITY:Special Ability|AUTOMATIC|Illusory Mimesis			BONUS:VAR|IllusoryMimesisPerDay|(CL+1)/2					
2				ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Mimetist Sneak Attack			BONUS:VAR|MimetistSneakAttackLVL|CL					
3				ABILITY:Special Ability|AUTOMATIC|Social Mimesis			BONUS:VAR|SocialMimesisPerDay|(CL+1)/2					
4				ABILITY:Special Ability|AUTOMATIC|Hide in Plain Sight (Ex)								
5				ABILITY:Special Ability|AUTOMATIC|Vanish at Individualization								
6				ABILITY:Special Ability|AUTOMATIC|Natural Mimesis			BONUS:VAR|NaturalMimesisPerDay|1					
7				ABILITY:Special Ability|AUTOMATIC|Reveal Deception								
8												
9				ABILITY:Special Ability|AUTOMATIC|Forgetful Fog			BONUS:VAR|ForgetfulFogPerDay|1					
10				ABILITY:Special Ability|AUTOMATIC|Artificial Mimesis			BONUS:VAR|ArtificialMimesisPerDay|1					
#												
CLASS:Darkened	HD:10	TYPE:Prestige.Nephandum	ABB:Drk	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Darkened	PREATT:6	PRESKILL:1,Hide=5	PREFEAT:3,Blind Fight,Improved Feint,Stealthy	PRETEXT:Must have defeated a Shadow								
CLASS:Darkened	STARTSKILLPTS:4	CSKILL:Tumble|TYPE.Craft|Escape Artist|Balance|Move Silently|Hide|Spot|Sleight of Hand										
#												
1		AUTO:FEAT|Simple Weapon Proficiency|Martial Weapon Proficiency Output	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|All Martial Weapon Proficiencies									
1		AUTO:FEAT|Armor Proficiency (Light)|Armor Proficiency (Medium)|Armor Proficiency (Heavy)										
1		AUTO:FEAT|Shield Proficiency|Tower Shield Proficiency										
#												
1				ABILITY:Special Ability|AUTOMATIC|Hide in Plain Sight (Su)								
2				ABILITY:Special Ability|AUTOMATIC|Darkness (Sp)			BONUS:VAR|DarknessLVL|CL	BONUS:VAR|DarknessPerDay|1				
3				ABILITY:Special Ability|AUTOMATIC|Spyre of Darkness			BONUS:VAR|SpyreOfDarknessPerDay|(CL-1)/2					
4				ABILITY:Special Ability|AUTOMATIC|Deeper Darkness (Sp)			BONUS:VAR|DeeperDarknessLVL|CL	BONUS:VAR|DeeperDarknessTIMES|1				
5				ABILITY:Special Ability|AUTOMATIC|Shadow Distortion								
6												
7												
8				ABILITY:Special Ability|AUTOMATIC|Refuge of Darkness			BONUS:VAR|RefugeOfDarknessPerDay|1	BONUS:VAR|RefugeOfDarknessDuration|CL				
9												
10				ABILITY:Special Ability|AUTOMATIC|Shadow Walk (Sp) Nep			BONUS:VAR|ShadowWalkLVL|CL					
#												
CLASS:Implacable Bloodhound	HD:8	TYPE:Prestige.Nephandum	ABB:Imb	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Implacable Bloodhound	PREATT:5	PRESKILL:1,Knowledge (Dungeoneering)=8,Knowledge (Local)=8	PRESKILL:1,Survival=8	PREFEAT:3,Track,Far Shot,Precise Shot								
CLASS:Implacable Bloodhound	STARTSKILLPTS:4	CSKILL:TYPE.Craft|Listen|Search|Knowledge (Arcana)|Knowledge (Dungeoneering)|Knowledge (Local)|Knowledge (Nature)|Move Silently|Hide|Swim|Spot|Climb|Survival										
#												
1			ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Bloodhound Weapon Proficiency									
1		AUTO:FEAT|Armor Proficiency (Light)|Armor Proficiency (Medium)										
#												
1				ABILITY:Special Ability|AUTOMATIC|Hit Weak Point			BONUS:VAR|HitWeakPoint|(CL+2)/3					
2				ABILITY:Special Ability|AUTOMATIC|Expeditious Walk								
3				ABILITY:Special Ability|AUTOMATIC|Expert Bloodhound|Trackless Step								
4												
5				ABILITY:Special Ability|AUTOMATIC|Bloodhound Fast Movement|Lethal Precision								
6				ABILITY:Special Ability|AUTOMATIC|Eye of the Hawk								
7												
8				ABILITY:Special Ability|AUTOMATIC|Swift Tracker								
9				ABILITY:Special Ability|AUTOMATIC|Ambush								
10												
