SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Dimenticanza			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 day/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Modifica i ricordi della vittima	SOURCEPAGE:Nep								
Dimenticanza (Superiore)	OUTPUTNAME:Dimenticanza Superiore		TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Any number of creatures wich HD are twice the spellcaster level, no two of wich can be more that 30-ft apart		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Come Dimenticanza, ma agisce su un numero maggiore di creature e a una distanza superiore	SOURCEPAGE:Nep								
Discordia			TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=5		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid creature		DURATION:1 round/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Costringe la vittima ad attaccare l'incantatore	SOURCEPAGE:Nep								
Dissanguare			TYPE:Arcane.Divine	CLASSES:Cleric=6|Druid=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Prosciuga il sangue della vittima, infliggendole 2d6 danni alla COS +1 danno per ogni 2 livelli	SOURCEPAGE:Nep								
Dono Ferale			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Animal Companion		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Il compagno animale ottiene un bonus +4 ai punteggi di FOR e COS e le sue armi naturali aumentano di una categoria di danno	SOURCEPAGE:Nep								
Esplosione di Schegge			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius emanation		DURATION:Up to 20 rounds; See Text	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Una sfera vorticante di schegge infligge 1d4 danni per livello	SOURCEPAGE:Nep								
Evoca Sciame (Superiore)	OUTPUTNAME:Evoca Sciame Superiore		TYPE:Arcane.Divine	CLASSES:Bard=6|Druid=6|Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:1 Swarm of bats, rats or spiders every 4 spellcaster levels		DURATION:Concentration + 5 rounds	SAVEINFO:None	SPELLRES:No	DESC:Evoca un numero di sciami di pipistrelli, topi o ragni pari a uno ogni 4 livelli	SOURCEPAGE:Nep								
Fardello			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 day/level	SAVEINFO:Fort negates	SPELLRES:No	DESC:La vittima e' oberata dal peso degli oggetti trasportati	SOURCEPAGE:Nep								
Ferita Caustica			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Transmutation		DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:18 ft.	TARGETAREA:Quarter circle emanating from you to the extent of the range		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:No	DESC:L'ioncantatore si infligge una ferita per far scaturire uno spruzzo di sangue acido che infligge 1d6 danni +1 danno per ogni 2 livelli	SOURCEPAGE:Nep								
Fiore Rosso			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Necromancy			COMPS:S, M, XP	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature		DURATION:See text	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:L'incantatore e' in grado di fare esplodere una vittima dopo una certa durata di tempo, infliggendo 1d6 danni per ogni 2 2 livelli alle creature circostanti	SOURCEPAGE:Nep			XPCOST:1000					
Fiotto Orrido			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Acid|Cold|Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Una piccola sfera multicolore infligge 1 danno da acido, 1 danno da freddo e 1 danno da fuoco	SOURCEPAGE:Nep								
Fobia			TYPE:Arcane.Divine	CLASSES:Bard=4|Cleric=5|Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:La vittima e' spaventata in determinati ambienti o situazioni oppure quando interagisce con certe creature od oggetti	SOURCEPAGE:Nep								
Fobia (Inferiore)	OUTPUTNAME:Fobia Inferiore		TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=3|Sorcerer,Wizard=2		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Come Fobia ma la vittima e' scossa anzicha' spaventata	SOURCEPAGE:Nep								
Fobia (Superiore)	OUTPUTNAME:Fobia Superiore		TYPE:Arcane.Divine	CLASSES:Bard=6|Cleric=7|Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Come Fobia ma la vittima e' in preda al panico anzicha' spaventata	SOURCEPAGE:Nep								
Gorgo Emotivo			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:La vittima subisce un tracollo emozionale che le infligge penalita' e bonus di morale	SOURCEPAGE:Nep								
Impeto Ferale			TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:L'incantatore manifesta la propria rabbia interiore, ottenendo attacchi naturali migliorati, bonus di movimento e intimorendo le creature che lo osservano	SOURCEPAGE:Nep								
Individuazione degli Esterni			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1|Paladin=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Quarter circle emanating from you to the extent of the range		DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Permette di percepire l'aura delle creature provenienti dai piani esterni	SOURCEPAGE:Nep								
Inoculazione di Parassita			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One humanoid creature		DURATION:See text	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Pone l'uovo di un parassita all'interno del corpo di una vittima, infliggendo danni alla sua COS fino al termine della sua maturazione	SOURCEPAGE:Nep								
Insonnia			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 hour	RANGE:See text	TARGETAREA:One humanoid creature		DURATION:1 day/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Una creatura e' impossibilitata ad addormentarsi per un giorno per livello	SOURCEPAGE:Nep								
Intrusione Onirica			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:S	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One sleeping humanoid creature		DURATION:10 minute; See text	SAVEINFO:None	SPELLRES:Yes	DESC:L'incantatore e' in grado di ottenere informazioni da una creatura addormentata	SOURCEPAGE:Nep								
Invecchiare			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort Negates	SPELLRES:Yes	DESC:Rende temporaneamente devrepita la vittima, infliggendole una penalita' di -2 ai punteggi di FOR, DES, COS e CAR	SOURCEPAGE:Nep		COST:100						
Malia su Animali			TYPE:Arcane	CLASSES:Druid=0		SCHOOL:Enchantment	SUBSCHOOL:Charme	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One animal		DURATION:1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Come Malia su Persone, ma funziona su una creatura del tipo Animale	SOURCEPAGE:Nep								
Malia sui Mostri			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Charme	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 hour/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Come Malia su Persone, ma funziona su creature di qualsiasi tipo	SOURCEPAGE:Nep								
Malia sui Mostri (Massa)			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=4		SCHOOL:Enchantment	SUBSCHOOL:Charme	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more creature, no two of wich can be more than 30-ft apart		DURATION:1 hour/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Come Malia su Mostri, ma funziona su un numero maggiore di creature.	SOURCEPAGE:Nep								
Malia su Persone			TYPE:Arcane	CLASSES:Bard=0|Sorcerer,Wizard=0		SCHOOL:Enchantment	SUBSCHOOL:Charme	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature		DURATION:1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Migliora l'atteggiamento di una creatura nei confronti dell'incanatore	SOURCEPAGE:Nep								
Mistificazione Tattile			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Illusion	SUBSCHOOL:Phantasm		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Crea una falsa sensazione tattile	SOURCEPAGE:Nep								
Movimenti del Manichino			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort Negates	SPELLRES:Yes	DESC:La vittima puo' compiere solo un'azione di movimento o un'azione standard e la sua velocita' e' dimezzata	SOURCEPAGE:Nep								
Orride Fauci			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:One jaws every 4 levels		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Una o piu' fauci scaturiscono dal corpo dell'incantatore e colpiscono a distanza infliggendo 2d6 danni +1 danno per livello incantatore	SOURCEPAGE:Nep								
Penitenza di Guarigione			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing creature touched		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Cura 1d3 danni per ogni caratteristica danneggiara e trasforma un ammontare di danni letali in danni non letali pari a 2d8 danni+1 danno per livello; l'incantatore rischia di perdere i sensi per 1d67 round	SOURCEPAGE:Nep								
Percezione Estrinseca			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Divination	SUBSCHOOL:Scrying		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:L'incantatore orriene le informazioni sensoriali di una creatura	SOURCEPAGE:Nep								
Piaga del Tradimento			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Divination		DESCRIPTOR:Language-Dependent	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Una ferita nel corpo della vittima rivela le sue menzogne nel corso di un interrogatorio	SOURCEPAGE:Nep								
Possessione delle Spoglie			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=5		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:The corpse of a humanoid creature		DURATION:1 hour/LEVEL; See text	SAVEINFO:None	SPELLRES:No	DESC:L'incantatore assume il controllo del cadavere di una creatura deceduta di recente	SOURCEPAGE:Nep		COST:50						
Presagio di Morte			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 minute/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:La vittima pensa di essere sulla soglia della morte e subisce una penalita' morale di -2 al tiro per colpire, danni, tiri salvezza, prove di abilita' o di caratteristica; perde tutti i bonus di DES	SOURCEPAGE:Nep								
Presenza Inosservata			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=4|Ranger=4		SCHOOL:Illusion	SUBSCHOOL:Glamer	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:L'incantatore e' ignorato dalle creature circostanti	SOURCEPAGE:Nep								
Presenza Inosservata (Massa)	OUTPUTNAME:Presenza Inosservata di Massa		TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=7		SCHOOL:Illusion	SUBSCHOOL:Glamer	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one willing creature every 2 level, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Come Presenza Inosservata ma funziona su un numero maggiore di creature	SOURCEPAGE:Nep								
Quadrello Scarlatto			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Evocation			COMPS:S, M F	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Quadrelli di ambra scarlatta compaiono automaticamente nell'incavo della balestra	SOURCEPAGE:Nep								
Querimonia			TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Quarter circle emanating from the creature touched to the extent of 30-ft		DURATION:10 minute/level or until discharged	SAVEINFO:Fort Half	SPELLRES:Yes	DESC:Nel momento in cui subisce una ferita, l'incantatore emette un grido di sofferenza che infligge 4d6 danni	SOURCEPAGE:Nep								
Raffica di Schegge			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone of metallic shards		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Dalle mani dell'incantatore scaturiscono schegge che ingliggono 1d4 danni per livello	SOURCEPAGE:Nep								
Ragnatela di Spine			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Web of thorns that spreads in a 20-ft radius		DURATION:10 minute/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Una ragnatela spinosa infligge danni a ogni creatura invischiata, pari a 1d6 per ogni 1,5m	SOURCEPAGE:Nep								
Riposo Indisturbato			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One creature every 2 levels		DURATION:24 hours	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Protegge dagli effetti del sonno magico e da tutti gli incantesimi che agiscono sulle creature addormentate	SOURCEPAGE:Nep								
Rune Stridenti			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:20-ft radius spread, centered on the object touched		DURATION:24 hours or untll discharged	SAVEINFO:Fort Half	SPELLRES:Yes	DESC:Rune che infliggono 1d6 danni per livello a chi si avvicina entro 3 metri da esse	SOURCEPAGE:Nep								
Sapore			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:Food for 30-ft cubes per level		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Altera il sapore dei cibi, aumentando di +1 la CD per scoprire la presenza di veleni	SOURCEPAGE:Nep								
Senso della Clessidra			TYPE:Arcane.Divine	CLASSES:Bard=1|Sorcerer,Wizard=1|Ranger=1		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You; See text		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Permette di conoscere la quantita' di tempo trascorsa da un evento accadito di recente	SOURCEPAGE:Nep								
Sentore di Sangue			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Stray of bloods		DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:L'incantatore ottiene informazioni dalle tracce di sangue lasciate da una o piu' creature	SOURCEPAGE:Nep								
Sepolto Vivo			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One medium or smaller creature		DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:La vittima viene intrappolata sottoterra a una distanza di 30 m dalla superficie	SOURCEPAGE:Nep								
Sguardo di Agonia			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Fort Half	SPELLRES:Yes	DESC:Lo sguardo dell'incantatore infligge 1d6 danni non letali per ogni 2 livelli	SOURCEPAGE:Nep								
Sinfonia Inquietante			TYPE:Divine	CLASSES:Bard=5		SCHOOL:Evocation		DESCRIPTOR:Fear|Sonic	COMPS:S, F	CASTTIME:1 full round	RANGE:90 ft.	TARGETAREA:Hostile creature in a 90-ft radius spread centered on you.		DURATION:Concentration, up to 1 round/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:La musica dell'incantatore spaventa le creature circostanti	SOURCEPAGE:Nep								
Sonnambulismo			TYPE:Arcane	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Language-Dependent|Mind-Affecting	COMPS:V, S	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One sleeping creature		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Rende sonnambula e al controllo dell'incantatore una creatura addormentata	SOURCEPAGE:Nep								
Sonnambulismo (Massa)	OUTPUTNAME:Sonnambulismo di Massa		TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Language-Dependent|Mind-Affecting	COMPS:V, S	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One sleeping creature for every 4 level, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Come Sonnambulismo ma funziona su un numero maggiore di creature	SOURCEPAGE:Nep								
Sonno Eterno			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One or more living creature, no two of wich can be more than 30-ft apart		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Creature sprofondano in un sonno magico permanente	SOURCEPAGE:Nep		COST:500						
Sonno Rinfrancante			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=1|Paladin=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:See text	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Cura 1 punto ferita e 1 punto di caratteristica extra per livello a una creatura addormentata	SOURCEPAGE:Nep								
Sonno Rinfrancante (Massa)	OUTPUTNAME:Sonno Rinfrancante di Massa		TYPE:Arcane.Divine	CLASSES:Bard=4|Paladin=4		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One touched creature per level, no two of wich can be more than 30-ft apart		DURATION:See text	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Come Sonno Rinfrancante ma funziona su un numero maggiore di creature	SOURCEPAGE:Nep								
