SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-09																																								
																																											
# BASICS																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Greater Multigrab	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Multigrab									PRESTAT:2,STR=19,DEX=15					PREABILITY:1,CATEGORY=Special Ability,Improved Grab				DESC:You can grapple enemies effortlessly with your natural weapons																	SOURCEPAGE:SS		
#Greater Multiweapon Fighting																																											
Greater Mighty Roar	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Mighty Roar													PRERACE:1,TYPE=Animal,TYPE=Magical Beast	PRESIZEGTEQ:L				DESC:You unsettle opponents with a dreadful roar as you attack																	SOURCEPAGE:SS		
Improved Assume Supernatural Ability	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Assume Supernatural Ability									PRESTAT:1,WIS=17					PRETEXT:Ability to assume a new form magically				DESC:You gain skill with using a supernatural ability of an assumed form	STACK:NO	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
#Improved Flyby Attack																																											
#Improved Multiattack																																											
#Improved Multiweapon Fighting																																											
Improved Scent	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Scent				DESC:You can detect and track creatures by smell at greater distances than normal																	SOURCEPAGE:SS		
Improved Turn Resistance	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACETYPE=Undead				DESC:You have a better than normal chance to resist turning																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Turn Resistance	BONUS:VAR|TurnResistBonus|4
Improved Web	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Ability to create web at least twice per day.	PREABILITY:1,CATEGORY=Special Ability,Web				DESC:You gain additional utility from your webs																	SOURCEPAGE:SS		
Inured to Energy	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Resistance To Acid,Resistance To Cold,Resistance To Fire,Resistance To Electricity,Resistance To Water				DESC:You can resist energy attack more efficiently than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:ABILITYPOOL|Inured to Energy|1			SOURCEPAGE:SS		
Involuntary Rage	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:Extreme pain drives you berserk																	SOURCEPAGE:SS		
Irresistible Gaze	TYPE:Monstrous	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack is more potent than normal																	SOURCEPAGE:SS		
Mighty Leaping	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Dodge,Mobility						PRESKILL:1,Jump=9			PRESTAT:1,STR=21									DESC:You have developed your leg muscles and traind yourself to ake mighy leaps													BONUS:SKILL|Jump|10|TYPE=Competence				SOURCEPAGE:SS		
Mighty Roar	TYPE:Monstrous	VISIBLE:YES																	PRESIZEGTEQ:L	PRERACE:1,TYPE=Animal,TYPE=Magical Beast		SAB:Fort DC %|10+(HD/2)+CHA		DESC:You unsettle opponents with a dreadful roar as you attack																	SOURCEPAGE:SS		
Multigrab	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,STR=17					PREABILITY:1,CATEGORY=Special Ability,Improved Grab				DESC:You can grapple enemies more firmly than normal with your natural attacks																	SOURCEPAGE:SS		
Multitasking	TYPE:Monstrous	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Improved Multiweapon Fighting,Multiattack,Multiweapon Fighting				PREHANDSGTEQ:4					PRESTAT:2,DEX=15,INT=15									DESC:You can perform different tasks with different limbs																	SOURCEPAGE:SS		
Multivoice	TYPE:Monstrous	VISIBLE:YES				PREABILITY:4,CATEGORY=FEAT,Improved Two-Weapon Fighting,Multiattack,Quicken Spell,Two-Weapon Fighting									PRESTAT:2,DEX=15,INT=15					PRETEXT:Two or more heads				DESC:If you have two or more heads, you ca cast more spells than usual in a round																	SOURCEPAGE:SS		
Narrowed Gaze	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=13					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack has limited field of effect																	SOURCEPAGE:SS		
Pain Mastery	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:Injuries send you into a fury, increasing yourphisical power.																	SOURCEPAGE:SS		
Peak Hopper	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Hill or Mountain terrain type.				DESC:You are adapted to a hilly or montainous environment													BONUS:SKILL|Balance,Climb|2|TYPE=Competence				SOURCEPAGE:SS		
Pervasive Gaze	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=13					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:You gaze attack is more effective than normal																	SOURCEPAGE:SS		
Piercing Gaze	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Irresistible Gaze									PRESTAT:2,INT=13,CHA=15					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack has greater range than normal																	SOURCEPAGE:SS		
Poison Immunity	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Poison special attack as an extraordinary ability.	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Resistance To Poison],[PREABILITY:1,CATEGORY=FEAT,Poison Resistance]				DESC:You can ignore the effects of poison																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison	
Poison Resistance	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Poison special attack as an extraordinary ability.				DESC:You can resist poison better than you otherwise could																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Resistance To Poison	BONUS:VAR|PoisonResistanceBonus|2|TYPE=Competence
Power Dive	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=15					PREMOVE:1,Fly=1	PREVARGTEQ:Maneuverability,3			DESC:You can fall upon an opponent from the sky																	SOURCEPAGE:SS		
Prehensile Tail	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting									PRESTAT:1,STR=13					PRETEXT:Tail attack				DESC:You can use your tail to manipulate objects.																	SOURCEPAGE:SS		
Quick Change	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15					PREABILITY:1,CATEGORY=Special Ability,Alternate Form				DESC:You can shift to an alternate form faster and more easily than you otherwise could																	SOURCEPAGE:SS		
#Quicken Spell Like Ability	vedi MM																							DESC:																			
Rapid Breath	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Quicken Spell,Quicken Spell Like Ability														PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:-1 round		DESC:You do not have to wait as long to reuse your breath weapon as you normally do																	SOURCEPAGE:SS		
Rending Constriction	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Greater Multigrab,Multigrab									PRESTAT:2,STR=19,DEX=15				PRETEXT:Two constricting limbs	PREABILITY:2,CATEGORY=Special Ability,Constrict,Improved Grab				DESC:You can pull grappled enemies apart																	SOURCEPAGE:SS		
Reverberation	TYPE:General	VISIBLE:YES																		PRETEXT:Sonic special attack.				DESC:Your sonic attack is more potent than normal	STACK:NO	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Roll With It	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:You are adept at lessening the effects of blows	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											DR:0/-			SOURCEPAGE:SS	BONUS:DR|-|2	
Scramble	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15				PREABILITY:1,CATEGORY=Special Ability,Improved Evasion	PRESIZELTEQ:S				DESC:Your slippery ways allow you to evade a damaging blow																	SOURCEPAGE:SS		
Stamp	TYPE:Monstrous	VISIBLE:YES																PRETEXT:feet.	PREABILITY:1,CATEGORY=Special Ability,Trample	PRESIZEGTEQ:H				DESC:You can stamp the ground to crush and disrupt opponents																	SOURCEPAGE:SS		
Supernatural Transformation	TYPE:General	VISIBLE:YES																		PRETEXT:Innate spell-like ability				DESC:You convert a spell-like ability to a supernatural ability	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLBOOK=Innate	SELECT:1													SOURCEPAGE:SS		
Surrogate Spellcasting	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,WIS=13					PRETEXT:nonhumanoid or nonhumanoidlike form				DESC:You use substitute verbal and somatic components when casting spells																	SOURCEPAGE:SS		
Swamp Stalker	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Marsh terrain				DESC:You are adapted to a marshy environment													BONUS:SKILL|Swim|2|TYPE=Competence				SOURCEPAGE:SS		
Thick Skinned	TYPE:Monstrous	VISIBLE:YES	OUTPUTNAME:Thick-Skinned																	PRETEXT:Damage reduction				DESC:Your tough hide grants improved damage reduction	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Thunderclap	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Power Attack									PRESTAT:1,STR=30									DESC:You create a cone of deafening sound by clapping two limbs together																	SOURCEPAGE:SS		
Treefriend	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Forest terrain				DESC:You are adapted to a forest environment													BONUS:SKILL|Climb|2|TYPE=Competence				SOURCEPAGE:SS		
Uncanny Scent	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Improved Scent														PREABILITY:1,CATEGORY=Special Ability,Scent				DESC:You can pinpoint scents at a greater distance																	SOURCEPAGE:SS		
Vicious Wound	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Combat Expertise														PREABILITY:1,CATEGORY=Special Ability,Wounding				DESC:Damage you deal causes wounds that bleed excessively																	SOURCEPAGE:SS		
Virulent Poison	TYPE:General	VISIBLE:YES																		PRETEXT:Poison special attack as an extraordinary ability.				DESC:Your poison attack is more effective																	SOURCEPAGE:SS		
Wingstorm	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Hover,Power Attack									PRESTAT:1,STR=13				PRESIZEGTEQ:L	PREMOVE:1,Fly=20				DESC:You can flatten targets with blasts of air from your wings																	SOURCEPAGE:SS		
Winter's Child	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Cold terrain				DESC:You are adapted to a cold environment																	SOURCEPAGE:SS		
																																											
#	ASPECT:Benefit|																																										
Area Attack.MOD	ASPECT:Benefit|You can use your great size and strength to pick up a heavy object and attack an area as a standard action. Such an attack may consist of swinging a large log or smashing a door down on opponents' heads. The area affected is a half-circle with a radius equal to your reach. You deal damage to all creatures two or more size categories smaller than you within the area. The base damage dealt depends on your size category, as given on the table below. Add 1 1/2 times your Strength bonus to this base damage to determine the total damage for the attack. Though it can deal significant damage, this form of attack is awkward and unbalancing. You incur a -2 penalty to your Armor Class and on Reflex saves until your next action.																																										
Assume Supernatural Ability.MOD	ASPECT:Benefit|You learn to use a single supernatural ability of another kind of creature while assuming its form through aPolymorph Spell pell or a similar effect. The saving throw DC against this ability is based on your ability scores, not those of a standard creature of the kind whose form you've assumed. For a breath weapon, the saving throw DC is 10 + your Constitution modifier + 1/2 your Hit Dice (rounded down). For all other supernatural abilities, the saving throw (if any) DC is 10 + your Charisma modifier + 1/2 your Hit Dice (rounded down). If a creature, such as an undead, has no Constitution score, use its Charisma modifier or its Constitution modifier (+0 for a nonability), whichever is higher, to determine the save DC. Using this alien ability is disorienting. You take a -2 penalty on all attack rolls, saving throws, skill checks, and ability checks. Additionally, in a stressful or demanding situation (such as combat), you must succeed on a Will save (DC 19) or be unable to use the ability.																																										
Blowhard.MOD	ASPECT:Benefit|As an attack action, you can use your breath to affect all creatures in a cone 5 feet in length per point of your Constitution bonus (%1). Each creature in the area is affected as through struck by a wind effect|5*CON																																										
Bonus Breath.MOD	ASPECT:Benefit|You can breathe one additional time per day. The interval you must wait between breaths is 1 hour. Special: You can gain this feat multiple times. Each time you take it, you can breathe one additional time per day.																																										
Controlled Respiration.MOD	ASPECT:Benefit|You can control your breathing so as to remain out of water for a longer period of time than you otherwise could. Double the normal time limit after which you must begin making Constitution checks to avoid suffocation. This feat does not allow creatures that cannot normally breathe air, such as fish, to do so.																																										
Crush.MOD	ASPECT:Benefit|As a standard action, you can jump or fall onto opponents, using your whole body to crush them. This attack is useful only against creatures at least three size categories smaller than yourself. The base damage for a crush attack depends on your size category, as given on the table above. Add 1 1/2 times your Strength bonus to this base damage to determine the total damage for the attack. A crush attack deals bludgeoning damage and affects as many creatures as can fit under your body (see Large and Small Creatures in Combat in Chapter 8 of the PHB). Each creature in the affected area must succeed on a Reflex save (DC 10 + your Str modifier + your size modifier for grapple attacks). On a failure, the opponent is pinned and automatically takes crush damage each round the pin is maintained.																																										
Cumbrous Dodge.MOD	ASPECT:Benefit|You may activate this feat as a free action. You gain a +2 bonus to your Armor Class for the rest of the current encounter. At the end of the encounter, you are fatigued. For details on fatigue, see the Condition Summary in Chapter 3 of the DMG.																																										
Cumbrous Fortitude.MOD	ASPECT:Benefit|Before rolling a Fortitude save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are staggered until the end of the encounter. A staggered character can take only a partial action when he or she would normally be able to take a standard action.																																										
Cumbrous Reflexes.MOD	ASPECT:Benefit|Before rolling a Reflex save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are prone and dazed. For details on these conditions, see the Condition Summary in Chapter 3 of the DMG.																																										
Cumbrous Will.MOD	ASPECT:Benefit|Before rolling a Will save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are shaken until the end of the encounter. A shaken character takes a -2 morale penalty on attack rolls, checks, and saving throws.																																										
Deadly Poison.MOD	ASPECT:Benefit|Your poison attack has the potential to deal more potent secondary damage than it otherwise could. If the subject of the attack fails the second saving throw, the poison deals double its normal secondary damage.																																										
Deep Denizen.MOD	ASPECT:Benefit|Living underground has made you more reliant on nonvisual senses than surface dwellers. You gain a +2 competence bonus on Listen checks and a +4 competence bonus when tracking by scent.																																										
Desert Dweller.MOD	ASPECT:Benefit|As a desert dweller, you are more hardy than those who live in more gentle climates. Your Fortitude save DC to avoid subdual damage from heat is reduced to 10 Heat Dangers in Chapter 3 of the DMG. In addition, you can go without water for a number of hours equal to 24 + twice your Constitution score (see Starvation and Thirst Dangers in Chapter 3 of the DMG).																																										
Detach.MOD	ASPECT:Benefit|As an attack action, you can detach a portion of your body that can make a melee attack other than a bite (such as a paw, tail, or tentacle) and use it as a thrown weapon (range increment 20 feet). The thrown member deals its base damage plus your Strength bonus (not 1 1/2 times your Strength bonus). Special attacks that deal damage, such as poison and acid, take effect normally from the thrown member. Ability damage, ability drain, and energy drain attacks cannot be made with the detached body part.&nl; Special: Tearing off a piece of yourself is traumatic. You take subdual damage equal to one-quarter of your full normal hit point total. Damage reduction cannot reduce the amount of damage taken in this way.																																										
Dust Cloud.MOD	ASPECT:Benefit|As an attack action, you can sweep a limb across the ground and create a dust cloud. This hemispherical cloud has a radius in feet equal to 20 × your Hit Dice. Creating the cloud has a 50%% chance to snuff unprotected flames (candles, torches, small campfires) of nonmagical origin in the area. The cloud obscures vision, and creatures caught within are blinded while inside and for 1 round after emerging. Any creature caught in the cloud must succeed on a Concentration check (DC 10 + 1/2 your Hit Dice + your Str modifier) to cast a spell. The cloud lasts a number of rounds equal to 1 + your Dexterity modifier.&nl; Special: A flying creature with this feat must be within reach of the ground to create the effect, but need not actually be in contact with it.																																										
#Empower Spell Like Ability.MOD																																											
Extend Reach.MOD	ASPECT:Benefit|Your body or a part of your body with which you can deliver a melee attack is boneless and flexible, allowing you to threaten a larger than normal area with melee attacks. Add +5 feet to your normal reach.																																										
Extra Item Space.MOD	ASPECT:Benefit|You can wear one additional magic item beyond the normal limit for the item type in question. The multiple limbs you have must correspond to the limb on which that item type is normally worn. For example, a character is normally limited to two rings, but a marilith (with six arms) could wear three rings with this feat. Likewise, an ettin (with two heads) could wear two periapts or necklaces instead of the one normally allowed.&nl; Special: You can take this feat more than once. Each time, it adds a new item space. You cannot have more item spaces than you have limbs or body parts of the appropriate kind.																																										
Final Strike.MOD	ASPECT:Benefit|When you are killed (that is, when your hit points drop to -10 or lower), your body explodes in a final strike -a blast of elemental destruction- according to the table below. Everything within 60 feet is subject to the effect. Your final strike deals 1d6 points of damage per Hit Die, up to a maximum of 20d6. Each creature in the area may make a successful Reflex save (DC 10 + 1/2 your Hit Dice + your Con modifier) to halve the damage dealt. The blast also has a secondary effect, which can be reduced or negated (as shown on the table below) by a second successful save of the type indicated (same DC_as the save against the primary damage).&nl; Special: Final Strike renders your corpse unsuitable for raise dead or resurrection spells. Only true resurrection, miracle, or wish can restore life.																																										
Fling Enemy.MOD	ASPECT:Benefit|You can make a grapple check at a -20 penalty against an opponent at least two size categories smaller than you. If you succeed, on your next action you can use an attack action to fling the held opponent. The range increment for the thrown creature is 120 feet. A creature may be thrown horizontally or vertically. If thrown vertically, it takes normal falling damage. If thrown horizontally, it takes damage as if it had fallen half the distance thrown (rounded down). For example, if a hurled orc is thrown horizontally 170 feet, it takes 8d6 points of damage. You may also fling the creature at another creature. To do so, make an attack roll at a -4 penalty, with appropriate range penalties, against the target creature. If you hit, both creatures take the amount of damage that the thrown creature would have taken otherwise, as given above.																																										
Gape of the Serpent.MOD	ASPECT:Benefit|You can swallow a creature of up to your own size category. Like a snake, you can stretch your mouth to an outlandish extent to accommodate immense prey. However, this process is time-consuming. If your second grapple check is successful after you have established a hold against a creature larger than you could swallow normally, you begin to swallow the held creature. On the following round, you must make an additional grapple check to complete the swallowing. The held creature can fight or try to break the grapple as normal while you are attempting to swallow it.&nl; Special: Your gullet can hold one creature of the maximum size; other maximum numbers of swallowed creatures remain the same.																																										
Grass Trekker.MOD	ASPECT:Benefit|You are a nomad of the steppes, used to traveling long distances, often on foot. You gain a +2 competence bonus on Jump checks. In addition, you do not need to make Fortitude saves when making a forced march until you have traveled for 12 hours (see Movement in Chapter 9 of the PHB). The save DC for longer travel is 10 + 1 per hour beyond 12.																																										
Great Flyby Attack.MOD	ASPECT:Benefit|Using this feat is a full-round action. When flying, you can move up to your fly speed in a straight line and attack a number of opponents equal to your Dexterity bonus. All targets must be within your reach along the line of your movement. Make one attack roll, add the appropriate modifiers, and compare the result to the AC of each opponent you are attacking. If any hits are successful, make one damage roll and add the appropriate modifiers. Each successful hit does the full damage to that creature; do not divide the result of the damage roll among the targets. Targets of your attack do not get attacks of opportunity against you, but other opponents that would be entitled to attacks of opportunity may take them.																																										
Greater Multigrab.MOD	ASPECT:Benefit|When grappling an opponent with only the part of your body that made the attack, you take no penalty on grapple checks to maintain the hold.																																										
#Greater Multiweapon Fighting.MOD																																											
Greater Mighty Roar.MOD	ASPECT:Benefit|This feat functions like Mighty Roar, except that each opponent that fails a Will save (DC 10 + 1/2 your Hit Dice + your Cha modifier) is panicked for 2d6 rounds. A panicked creature takes a -2 morale penalty on attack rolls, saves, and checks, has a 50%% chance to drop what it is holding, and runs away from you as quickly as it can. The effects of being panicked supersede the effects of being shaken.																																										
Improved Assume Supernatural Ability.MOD	ASPECT:Benefit|This feat functions like Assume Supernatural Ability, except that you do not take the -2 penalty on all attack rolls, saves, skill checks, and ability checks when using it.&nl; Special: You can take this feat multiple times, but you cannot apply it more than once to the same special ability. Each time you take this feat, it applies to a different special ability.																																										
#Improved Flyby Attack.MOD.MOD																																											
#Improved Multiattack.MOD.MOD																																											
Improved Multiweapon Fighting.MOD	ASPECT:Benefit|In addition to the single extra attack you get each round with each off-hand weapon from Multiweapon Fighting, you get a second extra attack with each such weapon, albeit at a -5 penalty.&nl: Special: This feat replaces the Improved Two-Weapon Fighting feat for creatures with more than two arms.																																										
Improved Scent.MOD	ASPECT:Benefit|You can detect approaching enemies and sniff out hidden foes within 60 feet. For strong scents, such as smoke or rotting garbage, double these ranges. Overpowering scents, such as skunk musk or troglodyte stench, can be detected at triple normal range.																																										
Improved Turn Resistance.MOD	ASPECT:Benefit|You are less easily affected by clerics or paladins than you normally would be (see Turn and Rebuke Undead in Chapter 8 of the PHB). When resolving a turn, rebuke, command, or bolster attempt, add 4 to your character level (monster Hit Dice plus class levels) to determine your Hit Dice for turn, rebuke, command, and bolster attempts. For example, a 4 HD wight with this feat is treated as an 8 HD undead for the purpose of turn, rebuke, command, and bolster attempts, even though it is a 4 HD creature for any other purpose.																																										
Improved Web.MOD	ASPECT:Benefit|Add +2 to the DC to escape or burst your webs. You may take a full-round action to attack with your webs, and if you do so, you may attack one additional target per point of Dexterity bonus you have. No such target may be more than 10 feet from another target. Using this feat requires two of the daily uses of your web ability.																																										
