SOURCELONG:Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net																																									
																																											
# BASICS																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Cumbrous Will	TYPE:General	VISIBLE:YES				PREFEAT:1,Iron Will																		DESC:You have a greater chance than normal to resist attacks against your willpower, but a cost																	SOURCEPAGE:SS		
Deadly Poison	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Virulent Poison									PRESTAT:1,CON=19				PRETEXT:the poison must deal ability damage as a secondary damage.	PREABILITY:1,CATEGORY=Special Ability,Poison				DESC:Your poison attack deals more damage than normal																	SOURCEPAGE:SS		
Deep Denizen	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Underground as sole terrain type.		SAB:+4 bonus while tracking by scent.		DESC:You are adapted to a subterran environment													BONUS:SKILL|Listen|2|TYPE=Competence				SOURCEPAGE:SS		
Desert Dweller	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Desert terrain type.				DESC:You are adapted to a desert environment																	SOURCEPAGE:SS		
Detach	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=19					PREABILITY:1,CATEGORY=Special Ability,Regeneration				DESC:You can remove part of your body and use it as a ranged weapon																	SOURCEPAGE:SS		
Dust Cloud	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Combat Reflexes									PRESTAT:2,DEX=19,INT=19				PRETEXT:Wings or tail.	PRESIZEGTEQ:H				DESC:You can sweep dust into the air to hide from opponents																	SOURCEPAGE:SS		
#Empower Spell Like Ability	vedi MM																							DESC:																			
Extend Reach	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Nonrigid body or nonrigid attack form such as a tentacle, feeler or pseudopod.	PRESIZEGTEQ:S				DESC:Your flexible body allows you to reach farther than normal	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[TYPE.Natural]														SOURCEPAGE:SS	SELECT:1	
Extra Item Space	TYPE:Monstrous	VISIBLE:YES								PREMULT:1,[PREHANDSGT:2],[PRELEGSGT:2]														DESC:You can wear more magic items than are normally allowed	STACK:YES	MULT:YES	CHOOSE:STRING|BOOT|BRACER|EYEGEAR|GLOVE|HANDS|HEADGEAR|LEGS|RING														SOURCEPAGE:SS	SELECT:1	BONUS:SLOTS|LIST|1
Final Strike	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Acid,RACESUBTYPE=Air,RACESUBTYPE=Cold,RACESUBTYPE=Earth,RACESUBTYPE=Electricity,RACESUBTYPE=Fire,RACESUBTYPE=Water		SAB:1 secondary attack with one natural weapol.		DESC:Your death throes are destructible																	SOURCEPAGE:SS		
Fling Enemy	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=23				PREABILITY:1,CATEGORY=Special Ability,Improved Grab	PRESIZEGTEQ:H				DESC:You can pick up an opponent and fling it																	SOURCEPAGE:SS		
Gape of the Serpent	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Swallow Whole				DESC:You can swallow a creaure of up to your own size category																	SOURCEPAGE:SS		
Grass Trekker	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Plains terrain type.				DESC:You are adapted to a plains environment													BONUS:SKILL|Jump|2|TYPE=Competence				SOURCEPAGE:SS		
Great Flyby Attack	TYPE:General	VISIBLE:YES				PREFEAT:1,Flyby Attack														PREMOVE:1,Fly=1				DESC:You can make multiple flyby attacks in a round																	SOURCEPAGE:SS		
Greater Multigrab	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Multigrab									PREMULT:2,[PRESTAT:1,STR=19],[PRESTAT:1,DEX=15]					PREABILITY:1,CATEGORY=Special Ability,Improved Grab				DESC:You can grapple enemies effortlessly with your natural weapons																	SOURCEPAGE:SS		
#Greater Multiweapon Fighting	TYPE:Monstrous	VISIBLE:YES		PREATT:15		PREFEAT:3,Improved Multiweapon Fighting,Multiweapon Fighting,Multidexterity				PREHANDSGT:2					PRESTAT:1,DEX=19									DESC:You can fight with a weapon in each hand. You can make up to three attacks per round with extra weapon.																	SOURCEPAGE:SS		
Greater Mighty Roar	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Mighty Roar													PRERACE:1,TYPE=Animal,TYPE=Magical Beast	PRESIZEGTEQ:L				DESC:You unsettle opponents with a dreadful roar as you attack																	SOURCEPAGE:SS		
Improved Assume Supernatural Ability	TYPE:General	VISIBLE:YES				PREFEAT:1,Assume Supernatural Ability									PRESTAT:1,WIS=17					PRETEXT:Ability to assume a new form magically				DESC:You gain skill with using a supernatural ability of an assumed form	STACK:NO	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
#Improved Flyby Attack.MOD	SOURCEPAGE:SS																							DESC:You can attack on the wing with increased mobility.																			
#Improved Multiattack.MOD	SOURCEPAGE:SS																							DESC:You are particularly adept at using all your natural weapons at once.																			
Improved Multiweapon Fighting	TYPE:Monstrous	VISIBLE:YES		PREATT:9		PREFEAT:2,Multidexterity,Multiweapon Fighting				PREHANDSGT:2					PRESTAT:1,DEX=15									DESC:You can fight with a weapon in each hand. You can make up to two attacks per round with extra weapon.																	SOURCEPAGE:SS		
Improved Scent	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Scent				DESC:You can detect and track creatures by smell at greater distances than normal																	SOURCEPAGE:SS		
Improved Turn Resistance	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACETYPE=Undead				DESC:You have a better than normal chance to resist turning																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Turn Resistance	BONUS:VAR|TurnResistBonus|4
Improved Web	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Ability to create web at least twice per day.	PREABILITY:1,CATEGORY=Special Ability,Web				DESC:You gain additional utility from your webs																	SOURCEPAGE:SS		
Inured to Energy (Acid)	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Resistance To Acid				DESC:You can resist energy attack more efficiently than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|AcidResistanceBonus|10			SOURCEPAGE:SS		
Inured to Energy (Cold)	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Resistance To Cold				DESC:You can resist energy attack more efficiently than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ColdResistanceBonus|10			SOURCEPAGE:SS		
Inured to Energy (Electricity)	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Resistance To Electricity				DESC:You can resist energy attack more efficiently than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ElectricityResistanceBonus|10			SOURCEPAGE:SS		
Inured to Energy (Fire)	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Resistance To Fire				DESC:You can resist energy attack more efficiently than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|FireResistanceBonus|10			SOURCEPAGE:SS		
Involuntary Rage	TYPE:General	VISIBLE:YES				PREFEAT:1,Toughness									PRESTAT:1,CON=20									DESC:Extreme pain drives you berserk																	SOURCEPAGE:SS		
Irresistible Gaze	TYPE:Monstrous	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack is more potent than normal																	SOURCEPAGE:SS		
Mighty Leaping	TYPE:General	VISIBLE:YES				PREFEAT:2,Dodge,Mobility						PRESKILL:1,Jump=9			PRESTAT:1,STR=21									DESC:You have developed your leg muscles and traind yourself to ake mighy leaps													BONUS:SKILL|Jump|10|TYPE=Competence				SOURCEPAGE:SS		
Mighty Roar	TYPE:Monstrous	VISIBLE:YES																	PRESIZEGTEQ:L	PRERACE:1,TYPE=Animal,TYPE=Magical Beast		SAB:Fort DC %|10+(HD/2)+CHA		DESC:You unsettle opponents with a dreadful roar as you attack																	SOURCEPAGE:SS		
Multigrab	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,STR=17					PREABILITY:1,CATEGORY=Special Ability,Improved Grab				DESC:You can grapple enemies more firmly than normal with your natural attacks																	SOURCEPAGE:SS		
Multitasking	TYPE:Monstrous	VISIBLE:YES				PREFEAT:3,Improved Multiweapon Fighting,Multiattack,Multiweapon Fighting				PREHANDSGTEQ:4					PRESTAT:2,DEX=15,INT=15									DESC:You can perform different tasks with different limbs																	SOURCEPAGE:SS		
Multivoice	TYPE:Monstrous	VISIBLE:YES				PREFEAT:4,Improved Two Weapon Fighting,Multiattack,Quicken Spell,Two Weapon Fighting									PRESTAT:2,DEX=15,INT=15					PRETEXT:Two or more heads				DESC:If you have two or more heads, you ca cast more spells than usual in a round																	SOURCEPAGE:SS		
Narrowed Gaze	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=13					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack has limited field of effect																	SOURCEPAGE:SS		
Pain Mastery	TYPE:General	VISIBLE:YES				PREFEAT:1,Toughness									PRESTAT:1,CON=20									DESC:Injuries send you into a fury, increasing yourphisical power.																	SOURCEPAGE:SS		
Peak Hopper	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Hill or Mountain terrain type.				DESC:You are adapted to a hilly or montainous environment													BONUS:SKILL|Balance,Climb|2|TYPE=Competence				SOURCEPAGE:SS		
Pervasive Gaze	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=13					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:You gaze attack is more effective than normal																	SOURCEPAGE:SS		
Piercing Gaze	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Irresistible Gaze									PREMULT:2,[PRESTAT:1,INT=13],[PRESTAT:1,CHA=15]					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack has greater range than normal																	SOURCEPAGE:SS		
Poison Immunity	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Poison special attack as an extraordinary ability.	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Resistance To Poison],[PREFEAT:1,Poison Resistance]				DESC:You can ignore the effects of poison																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison	
Poison Resistance	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Poison special attack as an extraordinary ability.				DESC:You can resist poison better than you otherwise could																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Resistance To Poison	BONUS:VAR|PoisonResistanceBonus|2|TYPE=Competence
Power Dive	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=15					PREMOVE:1,Fly=1	PREVARGTEQ:Maneuverability,3			DESC:You can fall upon an opponent from the sky																	SOURCEPAGE:SS		
Prehensile Tail	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Two Weapon Fighting									PRESTAT:1,STR=13					PRETEXT:Tail attack				DESC:You can use your tail to manipulate objects.																	SOURCEPAGE:SS		
Quick Change	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15					PREABILITY:1,CATEGORY=Special Ability,Alternate Form				DESC:You can shift to an alternate form faster and more easily than you otherwise could																	SOURCEPAGE:SS		
#Quicken Spell Like Ability	vedi MM																							DESC:																			
Rapid Breath	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Quicken Spell,Quicken Spell Like Ability														PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:-1 round		DESC:You do not have to wait as long to reuse your breath weapon as you normally do																	SOURCEPAGE:SS		
Rending Constriction	TYPE:Monstrous	VISIBLE:YES				PREFEAT:2,Greater Multigrab,Multigrab									PREMULT:2,[PRESTAT:1,STR=19],[PRESTAT:1,DEX=15]				PRETEXT:Two constricting limbs	PREABILITY:2,CATEGORY=Special Ability,Constrict,Improved Grab				DESC:You can pull grappled enemies apart																	SOURCEPAGE:SS		
Reverberation	TYPE:General	VISIBLE:YES																		PRETEXT:Sonic special attack.				DESC:Your sonic attack is more potent than normal	STACK:NO	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Roll With It	TYPE:General	VISIBLE:YES				PREFEAT:1,Toughness									PRESTAT:1,CON=20									DESC:You are adept at lessening the effects of blows	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											DR:0/-			SOURCEPAGE:SS	BONUS:DR|-|2	
Scramble	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15				PREABILITY:1,CATEGORY=Special Ability,Improved Evasion	PRESIZELTEQ:S				DESC:Your slippery ways allow you to evade a damaging blow																	SOURCEPAGE:SS		
Stamp	TYPE:Monstrous	VISIBLE:YES																PRETEXT:feet.	PREABILITY:1,CATEGORY=Special Ability,Trample	PRESIZEGTEQ:H				DESC:You can stamp the ground to crush and disrupt opponents																	SOURCEPAGE:SS		
Supernatural Transformation	TYPE:General	VISIBLE:YES																		PRETEXT:Innate spell-like ability				DESC:You convert a spell-like ability to a supernatural ability	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLBOOK=Innate	SELECT:1													SOURCEPAGE:SS		
Surrogate Spellcasting	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,WIS=13					PRETEXT:nonhumanoid or nonhumanoidlike form				DESC:You use substitute verbal and somatic components when casting spells																	SOURCEPAGE:SS		
Swamp Stalker	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Marsh terrain				DESC:You are adapted to a marshy environment													BONUS:SKILL|Swim|2|TYPE=Competence				SOURCEPAGE:SS		
Thick Skinned	TYPE:Monstrous	VISIBLE:YES	OUTPUTNAME:Thick-Skinned																	PRETEXT:Damage reduction				DESC:Your tough hide grants improved damage reduction	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Thunderclap	TYPE:General	VISIBLE:YES				PREFEAT:2,Improved Unarmed Strike,Power Attack									PRESTAT:1,STR=30									DESC:You create a cone of deafening sound by clapping two limbs together																	SOURCEPAGE:SS		
Treefriend	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Forest terrain				DESC:You are adapted to a forest environment													BONUS:SKILL|Climb|2|TYPE=Competence				SOURCEPAGE:SS		
Uncanny Scent	TYPE:General	VISIBLE:YES				PREFEAT:1,Improved Scent														PREABILITY:1,CATEGORY=Special Ability,Scent				DESC:You can pinpoint scents at a greater distance																	SOURCEPAGE:SS		
Vicious Wound	TYPE:General	VISIBLE:YES				PREFEAT:1,Combat Expertise														PREABILITY:1,CATEGORY=Special Ability,Wounding				DESC:Damage you deal causes wounds that bleed excessively																	SOURCEPAGE:SS		
Virulent Poison	TYPE:General	VISIBLE:YES																		PRETEXT:Poison special attack as an extraordinary ability.				DESC:Your poison attack is more effective																	SOURCEPAGE:SS		
Wingstorm	TYPE:General	VISIBLE:YES				PREFEAT:2,Hover,Power Attack									PRESTAT:1,STR=13				PRESIZEGTEQ:L	PREMOVE:1,Fly=20				DESC:You can flatten targets with blasts of air from your wings																	SOURCEPAGE:SS		
Winter's Child	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Cold terrain				DESC:You are adapted to a cold environment																	SOURCEPAGE:SS		
