SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																		
#																				
###Block																				
# Ability Name	Category of Ability	Type	Visible		Restricted Ability		Required AL		Prohibited Var. Value			Special ABility					Define	Description	Source Page	
Trick ~ Overrun	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Overrun ~ DC 15 ~ The animal attempts to overrun a designated creature. If the animal hgas the Trample special ability, it uses that ability against the creature if the creature is small enaugh to be affected.	SOURCEPAGE:RE	
Trick ~ Pin	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Pin ~ DC 15 ~ The animal attempts to grapple and pin a designated creature.	SOURCEPAGE:RE	
#Trick ~ Stalk	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Stalk ~ DC 20	SOURCEPAGE:RE	
Purpose ~ Combat Riding	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Combat Riding (Attack/Come/Defend/Down/Guard/Heel)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Attack|Trick ~ Come|Trick ~ Defend|Trick ~ Down|Trick ~ Guard|Trick ~ Heel
Purpose ~ Fighting	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:3	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Fighting (Attack/Down/Stay)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Attack|Trick ~ Down|Trick ~ Stay
Purpose ~ Guarding	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Guarding (Attack/Defend/Down/Guard)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Attack|Trick ~ Defend|Trick ~ Down|Trick ~ Guard
Purpose ~ Heavy Labor	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:3	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Heavy Labor (Come/Work)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Come|Trick ~ Work
Purpose ~ Hunting	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Hunting (Attack/Down/Fetch/Heel/Seek/Track)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Attack|Trick ~ Down|Trick ~ Fetch|Trick ~ Heel|Trick ~ Seek|Trick ~ Track
Purpose ~ Performance	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Performance (Come/Fetch/Heel/Perform/Stay)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Come|Trick ~ Fetch|Trick ~ Heel|Trick ~ Perform|Trick ~ Stay
Purpose ~ Riding	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:3	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Riding (Come/Heel/Stay)	SOURCEPAGE:PHB	ABILITY:Special Ability|AUTOMATIC|Trick ~ Come|Trick ~ Heel|Trick ~ Stay
Purpose ~ Adventuring Pack Animal	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Adventuring Pack (Come/Heel/Stay/Work)	SOURCEPAGE:RE	ABILITY:Special Ability|AUTOMATIC|Trick ~ Come|Trick ~ Heel|Trick ~ Stay|Trick ~ Work
Purpose ~ Assault	CATEGORY:Special Ability	TYPE:TrainingPurpose.SpecialQuality	VISIBLE:YES	MULT:NO	COST:6	!PREABILITY:1,CATEGORY=Special Ability,TYPE.TrainingPurpose												DESC:Purpose ~ Assault Pack (Attack all kind of creature/Ambush/Bull Rush/Overrun/Down)	SOURCEPAGE:G	ABILITY:Special Ability|AUTOMATIC|Trick ~ Attack|Trick ~ Attack Unnatural Creatures|Trick ~ Ambush|Trick ~ Bull Rush|Trick ~ Overrun|Trick ~ Down
