SOURCELONG:Pathfinder Srd	SOURCESHORT:PFSrd	SOURCEWEB:https://sites.google.com/site/pathfinderogc																													
																															
###Block: AB																															
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose					
Manifest II			TYPE:Arcane.Divine	CLASSES:Godling=2		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest III			TYPE:Arcane.Divine	CLASSES:Godling=3		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest IV			TYPE:Arcane.Divine	CLASSES:Godling=4		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest V			TYPE:Arcane.Divine	CLASSES:Godling=5		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest VI			TYPE:Arcane.Divine	CLASSES:Godling=6		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest VII			TYPE:Arcane.Divine	CLASSES:Godling=7		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest VIII			TYPE:Arcane.Divine	CLASSES:Godling=8		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Manifest IX			TYPE:Arcane.Divine	CLASSES:Godling=9		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
Protection from Emissaries			TYPE:Arcane.Divine	CLASSES:Godling=1		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:This spell wards a creature from mental control, from summoned creatures, and from attacks by creatures considered emissaries of your divine heritage	SOURCEPAGE:PFSrd													
Suspend Domain			TYPE:Arcane.Divine	CLASSES:Godling=1		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Short	TARGETAREA:Up to one creature/level, no two of wich can be more than 30 ft apart, max five creature		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell prevents its targets from accessing clerical domains. 	SOURCEPAGE:PFSrd													
Know Faith			TYPE:Arcane.Divine	CLASSES:Godling=3		SCHOOL:Divination			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell makes your eyes glow (gold or red, as you prefer) and allows you to see what clerical domains can be accessed by creatures within 120 feet of you. 	SOURCEPAGE:PFSrd													
Suspend Divine			TYPE:Arcane.Divine	CLASSES:Godling=3		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell prevents its target from accessing divine spells and cleric domain abilities.	SOURCEPAGE:PFSrd													
Celestial Sanctum			TYPE:Arcane.Divine	CLASSES:Godling=6		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 minute	RANGE:Close	TARGETAREA:Extradimensional demiplane, up to three 10-ft cubes/level		DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:This spell allows you to open a portal connecting the plane you are currently on to a demiplane that exists only to be your divine sanctum.	SOURCEPAGE:PFSrd													
#																															
# Spell Name																															
Beast Shape I			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:When you cast this spell, you can assume the form of any Small or Medium creature of the animal type.	SOURCEPAGE:PFSrd	ITEM:Potion												
Beast Shape II			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type.	SOURCEPAGE:PFSrd													
Beast Shape III			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as beast shape II, except that it also allows you to assume the form of a Diminutive or Huge creature of the animal type.	SOURCEPAGE:PFSrd													
Beast Shape IV			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as beast shape III except that it also allows you to assume the form of a Tiny or Large creature of the magical beast type.	SOURCEPAGE:PFSrd													
Elemental Body I		VARIANTS:Air|Earth|Fire|Water	TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:When you cast this spell, you can assume the form of a Small air, earth, fire, or water elemental.	SOURCEPAGE:PFSrd													
Elemental Body II		VARIANTS:Air|Earth|Fire|Water	TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as elemental body I, except that it also allows you to assume the form of a Medium air, earth, fire, or water elemental.	SOURCEPAGE:PFSrd													
Elemental Body III		VARIANTS:Air|Earth|Fire|Water	TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as elemental body II, except that it also allows you to assume the form of a Large air, earth, fire, or water elemental.	SOURCEPAGE:PFSrd													
Elemental Body IV		VARIANTS:Air|Earth|Fire|Water	TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as elemental body III, except that it also allows you to assume the form of a Huge air, earth, fire, or water elemental.	SOURCEPAGE:PFSrd													
Form of the Dragon I			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:You become a Medium chromatic or metallic dragon.	SOURCEPAGE:PFSrd													
Form of the Dragon II			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:This spell functions as form of the dragon I except that it also allows you to assume the form of a Large chromatic or metallic dragon.	SOURCEPAGE:PFSrd													
Form of the Dragon III			TYPE:Arcane			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:This spell functions as form of the dragon II save that it also allows you to take the form of a Huge chromatic or metallic dragon.	SOURCEPAGE:PFSrd													
Giant Form I						SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:When you cast this spell you can assume the form of any Large humanoid creature of the giant subtype.	SOURCEPAGE:PFSrd													
Giant Form II						SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as giant form I except that it also allows you to assume the form of any Huge creature of the giant type.	SOURCEPAGE:PFSrd													
Plant Shape I						SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:When you cast this spell you can assume the form of any Small or Medium creature of the plant type.	SOURCEPAGE:PFSrd													
Plant Shape II						SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as plant shape I except that it also allows you to assume the form of a Large creature of the plant type.	SOURCEPAGE:PFSrd													
Plant Shape III						SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions as plant shape II except that it also allows you to assume the form of a Huge creature of the plant type.	SOURCEPAGE:PFSrd													
#																															
# Spell Name																															
Hydraulic Push			TYPE:Arcane.Divine			SCHOOL:Evocation		DESCRIPTOR:Water	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Wave of water bull rushes an enemy.	SOURCEPAGE:PFSrd													
Slipstream			TYPE:Arcane.Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minute/level	SAVEINFO:Reflex negates (harmless)	SPELLRES:No	DESC:Wave boosts creature's speed.	SOURCEPAGE:PFSrd													
Aqueous Orb			TYPE:Arcane.Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft.-diameter sphere		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Creates rolling sphere of water.	SOURCEPAGE:PFSrd													
Geyser			TYPE:Arcane.Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire|Water	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:spout of boiling water filling a 5 ft. square and spraying upward ((CASTERLEVEL/2) *10) ft.		DURATION:Concentration + 1 round/level	SAVEINFO:Reflex partial	SPELLRES:No	DESC:Creates a geyser of boiling water.	SOURCEPAGE:PFSrd													
Seamantle			TYPE:Arcane.Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Sheathes you in protective water.	SOURCEPAGE:PFSrd													
World Wave			TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Earth|Water	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:see text	TARGETAREA:see text		DURATION:1 round/level or 1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:Earth or water moves you across distances and damages things not of the natural world.	SOURCEPAGE:PFSrd													
Elemental Aura		VARIANTS:Acid|Cold|Electricity|Fire	TYPE:Arcane.Divine			SCHOOL:Evocation		DESCRIPTOR:Acid|Cold|Electricity|Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:Reflex half; see text	SPELLRES:Yes	DESC:Creates an aura of energy around you.	SOURCEPAGE:PFSrd
Bleed			TYPE:Arcane.Divine			SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You cause a living creature that is below 0 hit points but stabilized to resume dying.	SOURCEPAGE:PFSrd	ITEM:Potion												SOURCEPAGE:p.249
Polymorph (Greater)			TYPE:Arcane.Divine			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature, or one nonmagical object of up to (CASTERLEVEL*100) cu. ft.		DURATION:See text	SAVEINFO:Fortitude negates (object)	SPELLRES:Yes	DESC:This spell functions as polymorph except that it allows the creature to take on the form of a dragon or plant creature.	SOURCEPAGE:PFSrd
Expeditious Excavation			TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:dirt in a 5-ft. Cube.		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:You can excavate and move earth, dust, and sand up to the size of a 5-foot cube. If you are buried, you may open a 5-foot cube around yourself, but the spell cannot be used for tunneling.	SOURCEPAGE:PFSrd
Shifting Sand			TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Earth	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft. spread.		DURATION:1 round/level	SAVEINFO:Reflex negates; see text	SPELLRES:No	DESC:Creates difficult terrain and erases tracks; can carry creatures or objects along.	SOURCEPAGE:PFSrd													
Clashing Rocks			TYPE:Arcane.Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:see text		DURATION:Instantaneous	SAVEINFO:Reflex partial; see text	SPELLRES:No	DESC:20d6 damage to target creature.	SOURCEPAGE:PFSrd													
