SOURCELONG:Pathfinder Srd	SOURCESHORT:PFSrd	SOURCEWEB:https://sites.google.com/site/pathfinderogc
Minor Image.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Mirror Image.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Misdirection.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Phantom Trap.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Blindness/Deafness.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Command Undead.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
False Life.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Ghoul Touch.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Scare.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Spectral Hand.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Alter Self.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Bear's Endurance.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Bull's Strength.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Cat's Grace.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Divine
Darkvision.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Divine
Eagle's Splendor.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Divine
Fox's Cunning.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Divine
Knock.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Levitate.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Make Whole.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Owl's Wisdom.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Pyrotechnics.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Rope Trick.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Spider Climb.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Whispering Wind.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Dispel Magic.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Explosive Runes.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Magic Circle against Chaos.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Magic Circle against Evil.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Magic Circle against Good.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Magic Circle against Law.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Nondetection.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Protection from Energy.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Phantom Steed.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Sepia Snake Sigil.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Sleet Storm.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Stinking Cloud.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Summon Monster II.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Arcane Sight.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Clairaudience/Clairvoyance.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Tongues.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Deep Slumber.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Hold Person.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Rage.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Suggestion.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Daylight.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Fireball.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Lightning Bolt.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Tiny Hut.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Wind Wall.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Displacement.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Illusory Script.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Invisibility Sphere.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Major Image.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Gentle Repose.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Halt Undead.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Ray of Exhaustion.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Vampiric Touch.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Beast Shape I.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Blink.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Flame Arrow.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Fly.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Gaseous Form.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Haste.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Keen Edge.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Magic Weapon (Greater).MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Secret Page.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Shrink Item.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Slow.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Water Breathing.MOD	CLASSES:Sorcerer Bloodline=3	TYPE:Arcane
Dimensional Anchor.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Fire Trap.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Globe of Invulnerability (Lesser).MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Remove Curse.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Stoneskin.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Black Tentacles.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Dimension Door.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Minor Creation.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Secure Shelter.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Solid Fog.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Summon Monster IV.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Arcane Eye.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Detect Scrying.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Locate Creature.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Scrying.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Charm Monster.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Confusion.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Crushing Despair.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Geas (Lesser).MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Fire Shield.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Ice Storm.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Resilient Sphere.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Shout.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Wall of Fire.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Wall of Ice.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Hallucinatory Terrain.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Illusory Wall.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Invisibility (Greater).MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Phantasmal Killer.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Rainbow Pattern.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Shadow Conjuration.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Animate Dead.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Bestow Curse.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Contagion.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Enervation.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Fear.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Beast Shape II.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Elemental Body I.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Enlarge Person (Mass).MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Reduce Person (Mass).MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Stone Shape.MOD	CLASSES:Sorcerer Bloodline=4	TYPE:Arcane
Break Enchantment.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Dismissal.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Mage's Private Sanctum.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Cloudkill.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Mage's Faithful Hound.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Major Creation.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Planar Binding (Lesser).MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Secret Chest.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Summon Monster V.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Teleport.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Wall of Stone.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Contact Other Plane.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Prying Eyes.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Telepathic Bond.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Dominate Person.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Feeblemind.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Hold Monster.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Mind Fog.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Symbol of Sleep.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Cone of Cold.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Interposing Hand.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Sending.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Wall of Force.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Dream.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
False Vision.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Mirage Arcana.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Nightmare.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Persistent Image.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Seeming.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Shadow Evocation.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Blight.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Magic Jar.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Symbol of Pain.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Waves of Fatigue.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Animal Growth.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Baleful Polymorph.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Beast Shape III.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Elemental Body II.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Fabricate.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Overland Flight.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Passwall.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Plant Shape I.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Polymorph.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Telekinesis.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Transmute Rock to Mud.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Transmute Mud to Rock.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Permanency.MOD	CLASSES:Sorcerer Bloodline=5	TYPE:Arcane
Antimagic Field.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Dispel Magic (Greater).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Globe of Invulnerability.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Guards and Wards.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Repulsion.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Acid Fog.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Planar Binding.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Summon Monster VI.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Wall of Iron.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Analyze Dweomer.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Legend Lore.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
True Seeing.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Geas/Quest.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Heroism (Greater).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Suggestion.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Symbol of Persuasion.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Chain Lightning.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Contingency.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Forceful Hand.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Freezing Sphere.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Mislead.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Permanent Image.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Programmed Image.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Shadow Walk.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Veil.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Circle of Death.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Create Undead.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Eyebite.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Symbol of Fear.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Undeath to Death.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Bear's Endurance (Mass).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Beast Shape IV.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Bull's Strength (Mass).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Cat's Grace (Mass).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Control Water.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Disintegrate.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Eagle's Splendor (Mass).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Elemental Body III.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Flesh to Stone.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Form of the Dragon I.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Fox's Cunning (Mass).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Move Earth.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Owl's Wisdom (Mass).MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Plant Shape II.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Stone to Flesh.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Transformation.MOD	CLASSES:Sorcerer Bloodline=6	TYPE:Arcane
Banishment.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Sequester.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Spell Turning.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Instant Summons.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Mage's Magnificent Mansion.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Phase Door.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Plane Shift.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Summon Monster VII.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Teleport (Greater).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Teleport Object.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Arcane Sight (Greater).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Scrying (Greater).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Vision.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Hold Person (Mass).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Insanity.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Power Word Blind.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Symbol of Stunning.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Delayed Blast Fireball.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Forcecage.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Grasping Hand.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Mage's Sword.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Prismatic Ray.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Invisibility (Mass).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Project Image.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Shadow Conjuration (Greater).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Simulacrum.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Control Undead.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Finger of Death.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Symbol of Weakness.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Waves of Exhaustion.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Control Weather.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Elemental Body IV.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Ethereal Jaunt.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Form of the Dragon II.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Giant Form I.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Plant Shape III.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Polymorph (Greater).MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Reverse Gravity.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Statue.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Limited Wish.MOD	CLASSES:Sorcerer Bloodline=7	TYPE:Arcane
Dimensional Lock.MOD	CLASSES:Sorcerer Bloodline=8	TYPE:Arcane
